region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,4.760540489333143e8,0.0,0.0,7.488024466937315e7,0.0,0.0,3.7419122724066556e7,2.3637225707307371e8,0.0,3.741138653406465e7,0.0,0.0,3.1686911515787163e9,0.0,0.0,0.0,0.0,0.0,2.3065540916448426e9,0.0,3.1686911515787163e9,3.1686911515787354e9,-1.9073486328125e-5
CT,CT_natural_gas_combined_cycle,2,1,2,1.5985354249370387e8,0.0,0.0,2.370427607192569e7,0.0,0.0,1.2446743168434888e7,6.027451799747424e7,0.0,1.2265460217788069e7,0.0,0.0,1.0348245298827702e9,0.0,0.0,0.0,0.0,0.0,7.662799899334384e8,0.0,1.0348245298827702e9,1.0348245298827652e9,5.0067901611328125e-6
ME,ME_natural_gas_combined_cycle,3,1,3,3.544399823045566e7,0.0,0.0,8.829024085204177e6,0.0,0.0,4.0923328004933577e6,2.355057202055659e7,0.0,4.1468437165782e6,0.0,0.0,2.6071718938916397e8,0.0,0.0,0.0,0.0,0.0,1.8465441853587663e8,0.0,2.6071718938916397e8,2.607171893891646e8,-6.258487701416016e-7
MA,MA_solar_pv,1,1,4,1.6572476134671588e9,0.0,0.0,3.644779042045006e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0217255176716583e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0217255176716583e9,2.0217255176716595e9,-1.1920928955078125e-6
CT,CT_onshore_wind,2,1,5,1.3689403556651292e9,0.0,0.0,6.084883545937438e8,0.0,0.0,2.5929345953749428e6,0.0,0.0,0.0,0.0,0.0,1.9800216448542554e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9800216448542554e9,1.980021644854248e9,7.3909759521484375e-6
CT,CT_solar_pv,2,1,6,1.7438700042490604e9,0.0,0.0,3.835287371595823e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1273987414086442e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1273987414086442e9,2.1273987414086428e9,1.430511474609375e-6
ME,ME_onshore_wind,3,1,7,1.1687580401400428e9,0.0,0.0,5.1950813913838005e8,0.0,0.0,2.2212260758945053e6,0.0,0.0,0.0,0.0,0.0,1.6904874053543162e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6904874053543162e9,1.6904874053543174e9,-1.1920928955078125e-6
MA,MA_battery,1,0,8,6.3967381653274e7,3.731277502568517e8,0.0,1.5988579105023295e7,9.325705574571086e7,0.0,1.1856174157972082e6,0.0,1.4007767199872506e6,0.0,2.8182243685404104e8,0.0,7.913291120224295e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.913291120224295e8,8.307495977506855e8,-3.942048572825599e7
CT,CT_battery,2,0,9,1.1679381100570218e8,7.069839520510637e8,0.0,2.919248901516096e7,1.766988431773397e8,0.0,2.521706541534991e6,0.0,2.97933192525402e6,0.0,8.831273279614657e8,0.0,1.830459692169566e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.830459692169566e9,1.9182974616775212e9,-8.783776950795531e7
ME,ME_battery,3,0,10,4.320973768511433e7,2.2755294523484114e8,0.0,1.0800228041699074e7,5.687306206589655e7,0.0,847696.3718877184,0.0,1.0015316303021193e6,0.0,6.989450616291499e7,0.0,3.9474790996465003e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9474790996465003e8,4.10179707192656e8,-1.5431797228005946e7
