Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,7279.113898062909,7279.113898062909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,2444.2437690168786,2444.2437690168786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,541.9571594870896,541.9571594870896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,19428.45971239342,19428.45971239342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,14083.748515073345,14083.748515073345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,20443.96253515897,20443.96253515897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,12024.25967222266,12024.25967222266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,3266.308295203942,3266.308295203942,0.0,0.0,0.0,16587.87900137155,16587.87900137155,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,5963.736264588551,5963.736264588551,0.0,0.0,0.0,31429.890284123037,31429.890284123037,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,2206.3795795095148,2206.3795795095148,0.0,0.0,0.0,10116.161875826494,10116.161875826494,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,87682.1694007173,87682.1694007173,n/a,0.0,0.0,58133.93116132109,58133.93116132109,0.0,0.0,0.0,0.0
