Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0540597950441284e7,7279.113898062909,0.16530372007710886
CT_natural_gas_combined_cycle,2,3.4864826802338623e6,2444.2437690168786,0.1628316745685564
ME_natural_gas_combined_cycle,3,909407.2889985241,541.9571594870896,0.19155318026213872
MA_solar_pv,1,2.919444681514318e7,19428.45971239342,0.1715369853017997
CT_onshore_wind,2,2.592934595374943e7,14083.748515073345,0.21016925970515404
CT_solar_pv,2,3.131764199731752e7,20443.96253515897,0.1748718371605688
ME_onshore_wind,3,2.221226075894505e7,12024.25967222266,0.2108775321292083
MA_battery,1,7.904116105314721e6,3266.308295203942,0.0
CT_battery,2,1.6811376943566613e7,5963.736264588551,0.0
ME_battery,3,5.651309145918123e6,2206.3795795095148,0.0
