Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338511466581643e6,1.986221283502677e7,6.676877535347507e6,3.587760183695592e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.4202008968355,3354.901469517094,-0.0,5474.3216704139295
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1414.9773320904308,3302.1958939827746,2206.3795795095148,6923.55280558272
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.1239813791217,3558.904246004241,1216.2980693875495,7109.326296770912
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869.356447541576,-0.0,2206.3795795095148,4075.736027051091
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.8089405741648,2321.438614481827,529.3037989765636,3207.551354032555
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.4780155283324,2575.1453970784823,2206.3795795095148,7004.00299211633
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.04734546038169,2930.953613211111,1194.962943841808,4164.963902513301
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2351.151421760856,268.67611156482974,2619.8275333256856
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0877099281583,3415.0215750637813,2121.249776118787,7171.3590611107265
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,3087.356935595116,1194.962943841808,7548.628174640866
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5635.3030858941265,1074.7271114254472,9976.338492523515
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5922.05570827028,381.790850642732,9570.154854116954
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5963.736264588551,687.9056974640192,9917.950257256512
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,4961.866745558216,391.3892959110292,8619.564336673187
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.2030077336926,4540.265316410147,393.4100212306708,6731.878345374511
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0144579744053,3229.9264864539377,1262.0094308645141,6260.950375292857
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.3848074640532,2131.70143388843,-0.0,2647.0862413524833
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.3965626109366,1651.2338323121285,2206.3795795095148,4577.00997443258
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.056737518171,3874.293754611069,2206.3795795095148,6800.730071638754
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.6508497105538,887.0019683540304,2196.2587574002714,3909.9115754648556
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036.3027765344327,2693.8622251751312,2206.3795795095148,5936.544581219079
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.3443814036118,2250.829287981843,0.0,3632.173669385455
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.306000905886,1026.4382351419945,2206.3795795095148,5000.123815557396
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.47850643240858,3117.1219211795046,505.0550951408652,3800.655522752779
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440.212908205663,3592.7395825778012,2206.3795795095148,8239.332070292978
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2583.6855521044135,5292.178512705302,183.54630817410188,8059.410372983817
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2641.781869176091,4812.713213440805,2206.3795795095148,9660.87466212641
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.7507569810477,5140.817579871086,824.4515678737372,8604.019904725872
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.1601161792854,5518.112776662066,554.0576841421723,6609.330576983523
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148.2157667497545,0.0,2206.3795795095148,4354.59534625927
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.3192301816591,3117.4274963921466,183.54630817410188,4777.293034747908
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.9457618986767,258.31027272706564,2206.3795795095148,3563.635614135257
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2076.4619723237697,2077.1272674809265,144.08641055000436,4297.6756503547
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5963.736264588551,2206.3795795095148,11436.42413930201
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2513.252063394274,1498.0370293707997,231.041131349637,4242.33022411471
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,2542.6885881676485,-0.0,5808.99688337159
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5107.489663113128,2206.3795795095148,10580.177537826585
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.3162271627043,5963.736264588551,2206.3795795095148,9752.43207126077
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.4436596106184,431.86575985405807,359.05769079676486,2211.367110261441
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2354.955599225888,5309.96798025485,2206.3795795095148,9871.303158990253
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.6478858363591,1968.4377042414071,1194.962943841808,4258.048533919574
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.52627898792264,3533.4276406466793,1194.962943841808,5201.91686347641
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0448155719907,0.0,1194.962943841808,1719.0077594137988
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.004883859765,4556.979310287972,1194.962943841808,6466.947137989545
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.8257228770908,4928.836900431004,1194.962943841808,7113.625567149903
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1393.9740155496297,4747.117670596154,1194.962943841808,7336.054629987592
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.6749374878234,0.0,1194.962943841808,3095.6378813296315
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132.8759051625643,-0.0,1194.962943841808,2327.8388490043726
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2651.885576492905,5639.184447484066,1194.962943841808,9486.03296781878
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.7834203905904,5719.875724702186,1194.962943841808,9751.622088934586
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.1234951088527,0.0,-0.0,1545.1234951088527
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.450127704743,4774.838894297489,958.0537851477153,8683.342807149947
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.5513454390855,0.0,599.0188225041961,1466.5701679432816
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.897376496632,1830.461866331132,2206.3795795095148,6543.738822337279
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1793.4136927535053,2206.3795795095148,3999.7932722630203
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2128.135318085403,0.0,2128.135318085403
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0503881512475,2521.452697458083,404.01882915878883,3340.5219147681196
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2915.0096466727264,2944.72314648097,407.0499171382511,6266.782710291947
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2455.9154665085434,5963.736264588551,1168.8390714880798,9588.490802585176
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5963.736264588551,1979.889469698834,11209.934029491327
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5963.736264588551,2206.3795795095148,11436.42413930201
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5963.736264588551,2203.5466924372886,11433.591252229782
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.308295203942,5963.736264588551,800.0727785478372,10030.117338340331
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.8725222714856,3871.474102611298,428.77271432439755,6322.119339207181
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0144579744053,3229.9264864539377,0.0,4998.940944428343
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.4834999870923,2882.031145687506,-0.0,3748.5146456745983
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.3145765381594,3080.201031298739,2206.3795795095148,6177.895187346413
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.6938838517783,2066.4630605099283,2206.3795795095148,5298.536523871221
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.4391472607897,1591.1665942691257,0.0,2835.6057415299156
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3889.1707780945817,2206.3795795095148,6095.5503576040965
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059.3031423617945,0.0,0.0,2059.3031423617945
