Costs,Total,Zone1,Zone2,Zone3
cTotal,1.102485917566777e10,3.4327897385021963e9,5.411135059928272e9,2.1068353772373457e9
cFix,1.0508030118139252e10,3.1190005780352073e9,5.31805436548241e9,2.0709751746216335e9
cVar,6.870901996902734e7,4.000551685985094e7,2.054071623059888e7,8.162786878577696e6
cFuel,3.2019734709110695e8,2.3637225707307371e8,6.027451799747424e7,2.355057202055659e7
cNSE,0.0,0.0,0.0,0.0
cStart,5.382369046843094e7,3.741138653406465e7,1.2265460217788069e7,4.1468437165782e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.4099e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
