Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,425722.8242007909,1.2516442510874974e7,690654.0142567348,2.0611401152486954e7,0.0,0.0,0.0,3.4244220501819454e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,4798.07611681359,0.0,0.0,0.0,4798.07611681359
t2,0.0,0.0,0.0,0.0,0.0,0.0,2289.235669451478,0.0,0.0,0.0,2289.235669451478
t3,0.0,0.0,0.0,0.0,0.0,0.0,2861.7519320913348,0.0,0.0,0.0,2861.7519320913348
t4,0.0,0.0,0.0,0.0,5964.1489685079705,0.0,0.0,0.0,0.0,0.0,5964.1489685079705
t5,0.0,0.0,0.0,0.0,0.0,0.0,6708.601938765171,0.0,0.0,0.0,6708.601938765171
t6,0.0,0.0,0.0,0.0,0.0,0.0,820.0190812260706,0.0,0.0,0.0,820.0190812260706
t7,0.0,0.0,0.0,0.0,0.0,0.0,6702.826655833628,0.0,0.0,0.0,6702.826655833628
t8,0.0,0.0,0.0,0.0,0.0,0.0,6674.829520866395,0.0,0.0,0.0,6674.829520866395
t9,0.0,0.0,0.0,0.0,4998.717969872621,0.0,3153.3700805418707,0.0,0.0,0.0,8152.088050414492
t10,0.0,0.0,0.0,0.0,2834.834376891653,0.0,1193.6655414968081,0.0,0.0,0.0,4028.499918388461
t11,0.0,0.0,0.0,0.0,182.73110206991024,0.0,0.0,0.0,0.0,0.0,182.73110206991024
t12,0.0,0.0,0.0,0.0,487.77599680485804,0.0,800.1100384669052,0.0,0.0,0.0,1287.8860352717631
t13,0.0,0.0,0.0,0.0,1165.4362738016778,0.0,574.6980721712407,0.0,0.0,0.0,1740.1343459729185
t14,0.0,0.0,0.0,0.0,509.5371205617137,0.0,393.9006183568995,0.0,0.0,0.0,903.4377389186131
t15,0.0,0.0,0.0,0.0,85.98217196067921,0.0,714.2181303396101,0.0,0.0,0.0,800.2003023002893
t16,0.0,0.0,0.0,0.0,1680.463300041306,0.0,0.0,0.0,0.0,0.0,1680.463300041306
t17,0.0,0.0,0.0,0.0,0.0,0.0,4394.288206627878,0.0,0.0,0.0,4394.288206627878
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,1551.5327444171642,0.0,0.0,0.0,1551.5327444171642
t20,0.0,0.0,0.0,0.0,0.0,0.0,2013.2430918598025,0.0,0.0,0.0,2013.2430918598025
t21,0.0,0.0,0.0,0.0,0.0,0.0,1675.7513833615726,0.0,0.0,0.0,1675.7513833615726
t22,0.0,0.0,0.0,0.0,0.0,0.0,6534.725810756476,0.0,0.0,0.0,6534.725810756476
t23,0.0,0.0,0.0,0.0,4904.911746750825,0.0,1799.729606944326,0.0,0.0,0.0,6704.641353695151
t24,0.0,0.0,0.0,0.0,0.0,0.0,9670.600446168151,0.0,0.0,0.0,9670.600446168151
t25,0.0,0.0,0.0,0.0,0.0,0.0,2640.718748221108,0.0,0.0,0.0,2640.718748221108
t26,0.0,0.0,0.0,0.0,0.0,0.0,6639.942906053651,0.0,0.0,0.0,6639.942906053651
t27,0.0,0.0,0.0,0.0,0.0,0.0,3249.9947177603044,0.0,0.0,0.0,3249.9947177603044
t28,0.0,0.0,0.0,0.0,0.0,0.0,6583.119943938565,0.0,0.0,0.0,6583.119943938565
t29,0.0,0.0,0.0,0.0,0.0,0.0,10822.157361997992,0.0,0.0,0.0,10822.157361997992
t30,0.0,0.0,0.0,0.0,9679.901898921642,0.0,2983.1239564965076,0.0,0.0,0.0,12663.02585541815
t31,0.0,0.0,0.0,0.0,0.0,0.0,6660.823949428968,0.0,0.0,0.0,6660.823949428968
t32,0.0,0.0,0.0,0.0,0.0,0.0,3838.035694388231,0.0,0.0,0.0,3838.035694388231
t33,0.0,0.0,0.0,0.0,0.0,0.0,8013.585253277543,0.0,0.0,0.0,8013.585253277543
t34,0.0,0.0,0.0,0.0,1141.0667789721617,0.0,5227.927847792599,0.0,0.0,0.0,6368.994626764761
