Zone,1,2,3,Total
CO2_Price_1,549.6460291594342,0.0,0.0,0.0
CO2_Price_2,0.0,575.8275609240774,0.0,0.0
CO2_Price_3,0.0,0.0,300.941358705307,0.0
AnnualSum,4.196435468063355e6,1.3307455945730044e6,613589.3694714678,6.140770432107828e6
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,1560.723986749637,0.0,0.0,1560.723986749637
t91,1716.630036349746,0.0,0.0,1716.630036349746
t92,1377.4821995385707,0.0,0.0,1377.4821995385707
t93,1716.630036349746,0.0,0.0,1716.630036349746
t94,1716.630036349746,0.0,0.0,1716.630036349746
t95,1716.630036349746,0.0,0.0,1716.630036349746
t96,1716.630036349746,0.0,0.0,1716.630036349746
t97,1475.8483443384587,0.0,0.0,1475.8483443384587
t98,818.6336043067307,0.0,0.0,818.6336043067307
t99,1716.630036349746,0.0,0.0,1716.630036349746
t100,1716.630036349746,0.0,0.0,1716.630036349746
t101,1366.1536018036973,0.0,0.0,1366.1536018036973
t102,1716.630036349746,0.0,0.0,1716.630036349746
t103,1716.630036349746,0.0,0.0,1716.630036349746
t104,1716.630036349746,0.0,0.0,1716.630036349746
t105,1259.511530548211,0.0,0.0,1259.511530548211
t106,160.86830728437383,0.0,0.0,160.86830728437383
t107,160.86830728437383,0.0,0.0,160.86830728437383
t108,160.86830728437383,0.0,0.0,160.86830728437383
t109,160.86830728437383,0.0,0.0,160.86830728437383
t110,160.86830728437383,0.0,0.0,160.86830728437383
t111,343.735699325585,0.0,0.0,343.735699325585
t112,343.735699325585,0.0,0.0,343.735699325585
t113,343.735699325585,0.0,0.0,343.735699325585
t114,343.735699325585,0.0,0.0,343.735699325585
t115,343.735699325585,0.0,0.0,343.735699325585
t116,343.735699325585,0.0,0.0,343.735699325585
t117,343.735699325585,0.0,0.0,343.735699325585
t118,343.735699325585,0.0,0.0,343.735699325585
t119,343.735699325585,0.0,0.0,343.735699325585
t120,342.2355817412899,0.0,0.0,342.2355817412899
t121,122.24473417291544,0.0,0.0,122.24473417291544
t122,122.24473417291544,0.0,0.0,122.24473417291544
t123,122.24473417291544,0.0,0.0,122.24473417291544
t124,122.24473417291544,0.0,0.0,122.24473417291544
t125,122.24473417291544,0.0,0.0,122.24473417291544
t126,122.24473417291544,0.0,0.0,122.24473417291544
t127,122.24473417291544,0.0,0.0,122.24473417291544
t128,261.206696950674,0.0,0.0,261.206696950674
t129,261.206696950674,0.0,0.0,261.206696950674
t130,261.206696950674,0.0,0.0,261.206696950674
t131,225.95773379815247,0.0,0.0,225.95773379815247
t132,261.206696950674,0.0,0.0,261.206696950674
