Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0540597950441284e7,3.4864826802338623e6,909407.2889985241,2.919444681514318e7,2.5929345953749422e7,3.131764199731752e7,2.221226075894505e7,7.904116105314721e6,1.681137694356661e7,5.651309145918123e6,1.539569856396283e8
t1,-0.0,-0.0,-0.0,-0.0,9210.779697432106,-0.0,3040.3114929762983,1146.8880943071067,2608.834795071457,2206.3795795095148,18213.19365929648
t2,-0.0,-0.0,-0.0,-0.0,9022.50296446315,-0.0,5681.08382490691,1851.3309631135114,2661.5403706057764,0.0,19216.45812308935
t3,-0.0,-0.0,-0.0,-0.0,9495.497433432758,-0.0,5413.296234821972,932.1843138248207,2404.8320185843104,990.0815101219654,19235.891510785827
t4,-0.0,-0.0,-0.0,-0.0,2361.520047394947,-0.0,6374.535082647844,1396.9518476623662,5963.736264588551,0.0,16096.743242293709
t5,-0.0,-0.0,-0.0,-0.0,7019.555614511099,-0.0,0.0,2909.4993546297774,3642.297650106724,1677.075780532951,15248.42839978055
t6,-0.0,-0.0,-0.0,-0.0,7592.655311698562,-0.0,7423.770134860525,1043.8302796756095,3388.590867510068,0.0,19448.846593744765
t7,-0.0,-0.0,-0.0,-0.0,8420.48566979963,-0.0,1418.2094784750748,3227.2609497435606,3032.7826513774407,1011.4166356677066,17110.15538506341
t8,-0.0,-0.0,-0.0,-0.0,7387.20077150326,-0.0,0.0,3266.308295203942,3612.584842827695,1937.703467944685,16203.797377479581
t9,-0.0,-0.0,-0.0,4225.689987445569,5066.446613224512,4616.246740438895,3411.2235527441185,1631.2205852757838,2548.7146895247697,85.12980339072803,21584.67197204438
t10,-0.0,-0.0,-0.0,7928.754408627756,0.0,9052.586610568393,1608.1576585213786,0.0,2876.379328993435,1011.4166356677066,22477.294642378667
t11,-0.0,-0.0,-0.0,10905.19443656643,0.0,11321.866451971036,1386.8828842252515,0.0,328.4331786944241,1131.652468084067,25074.02941954121
t12,-0.0,-0.0,-0.0,10339.82625893578,0.0,12464.683957686426,0.0,0.0,41.680556318270945,1824.5887288667827,24670.77950180726
t13,-0.0,-0.0,-0.0,11033.422270668223,0.0,12386.99690005282,0.0,0.0,0.0,1518.4738820454954,24938.893052766536
t14,-0.0,-0.0,-0.0,10194.112811092831,0.0,10506.152346818195,0.0,0.0,1001.8695190303346,1814.9902835984856,23517.124960539844
t15,-0.0,-0.0,-0.0,8216.29561237118,0.0,8651.884944879275,0.0,1468.1052874702496,1423.4709481784043,1812.9695582788438,21572.726351177953
t16,-0.0,-0.0,-0.0,6050.022354439312,767.5097012905079,7421.158400262706,1740.2299072471485,1497.2938372295368,2733.809778134613,944.3701486450009,21154.394127248823
t17,-0.0,-0.0,-0.0,2117.702108650883,3662.364624395612,3692.17963384971,0.0,2750.9234877398885,3832.034830700121,2206.3795795095148,18261.58426484573
t18,-0.0,-0.0,-0.0,-0.0,6601.783565720341,-0.0,7827.498752861474,2546.9117325930056,4312.502432276423,0.0,21288.696483451244
t19,-0.0,-0.0,-0.0,-0.0,11048.913966195054,-0.0,7833.977374747756,2546.2515576857713,2089.442509977482,0.0,23518.585408606064
t20,-0.0,-0.0,-0.0,-0.0,5013.697041070992,-0.0,7785.445576054286,2439.6574454933884,5076.734296234519,10.120822109243647,20325.65518096243
t21,-0.0,-0.0,-0.0,-0.0,8508.171961246884,-0.0,7748.09654866299,2230.0055186695095,3269.8740394134197,0.0,21756.148067992803
t22,-0.0,-0.0,-0.0,-0.0,7425.047690877851,-0.0,3240.3632996208094,1884.9639138003304,3712.9069766067073,2206.3795795095148,18469.661460415213
t23,-0.0,-0.0,-0.0,-0.0,4754.953848171699,-0.0,7548.044742018478,1499.002294298056,4937.298029446557,0.0,18739.298913934792
t24,-0.0,-0.0,-0.0,-0.0,8711.977815589766,-0.0,0.0,3087.8297887715335,2846.6143434090463,1701.3244843686496,16347.746432138996
t25,-0.0,-0.0,-0.0,-0.0,9503.545309846724,-0.0,7365.169100590921,826.0953869982792,2370.99668201075,0.0,20065.806479446677
t26,-0.0,-0.0,-0.0,-0.0,12819.55758820141,-0.0,3280.0984141870854,682.622743099528,671.5577518832494,2022.8332713354132,19476.669768706688
t27,-0.0,-0.0,-0.0,-0.0,11828.289201613758,-0.0,7310.609516960599,624.5264260278507,1151.0230511477457,0.0,20914.448195749952
t28,-0.0,-0.0,-0.0,-0.0,12486.519046227984,-0.0,4547.763856348865,627.5575382228951,822.918684717465,1381.928011635777,19866.68713715299
