BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,3.973504476558438e7,7.904116105314721e6,-9.338511466581643e6,0.0,0.0,0.0,0.0,4.458105199701871e7,-387387.4013361984,-8.249431400000015e7,6.0733470631300755e7,1.681137694356661e7,-1.986221283502677e7,0.0,0.0,0.0,0.0,-3.390550990437798e7,-213048.83546248917,-2.3564075999999933e7,2.3121668047943596e7,5.651309145918123e6,-6.676877535347507e6,0.0,0.0,0.0,0.0,-1.0675542092640517e7,-174338.56587370945,-1.1246219000000006e7
t1,0.0,1146.8880943071067,-2119.4202008968355,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8851.857980260273,9210.779697432106,2608.834795071457,-3354.901469517094,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2528.4108038364684,3040.3114929762983,2206.3795795095148,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,1851.3309631135114,-1414.9773320904308,0.0,0.0,0.0,0.0,8184.277589519619,-58.749640274973686,-8561.881580267725,9022.50296446315,2661.5403706057764,-3302.1958939827746,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2445.5452219361523,5681.08382490691,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-2284.277589519618,-22.447421124973687,-1167.979234752803
t3,0.0,932.1843138248207,-2334.1239813791217,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8422.4504192957,9495.497433432758,2404.8320185843104,-3558.904246004241,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2405.1229868628275,5413.296234821972,990.0815101219654,-1216.2980693875495,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,1396.9518476623662,-1869.356447541576,0.0,0.0,0.0,0.0,8898.995523276428,-65.77311873407993,-8360.817804663138,2361.520047394947,5963.736264588551,-0.0,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2388.9540928334977,6374.535082647844,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-2998.9955232764273,-29.47089958407992,-1139.6890802778216
t5,0.0,2909.4993546297774,-356.8089405741648,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-8416.388194905612,7019.555614511099,3642.297650106724,-2321.438614481827,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2404.1124309859947,0.0,1677.075780532951,-529.3037989765636,0.0,0.0,0.0,0.0,-0.0,-0.0,-1147.7719815563876
t6,0.0,1043.8302796756095,-2222.4780155283324,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8645.742350997278,7592.655311698562,3388.590867510068,-2575.1453970784823,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2469.7985629801474,7423.770134860525,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,3227.2609497435606,-39.04734546038169,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-9051.911385133179,8420.48566979963,3032.7826513774407,-2930.953613211111,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2586.012488815956,1418.2094784750748,1011.4166356677066,-1194.962943841808,0.0,0.0,0.0,0.0,-0.0,-0.0,-1234.6631703009734
t8,0.0,3266.308295203942,-0.0,0.0,0.0,0.0,0.0,6270.105428754333,-39.93921688530352,-9496.474507072971,7387.20077150326,3612.584842827695,-2351.151421760856,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2712.3319734200963,0.0,1937.703467944685,-268.67611156482974,0.0,0.0,0.0,0.0,-370.1054287543322,-3.636997735303523,-1295.2849298902192
t9,4225.689987445569,1631.2205852757838,-1635.0877099281583,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-10085.520643643194,9682.693353663406,2548.7146895247697,-3415.0215750637813,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2880.0842489743945,3411.2235527441185,85.12980339072803,-2121.249776118787,0.0,0.0,0.0,0.0,-0.0,-0.0,-1375.1035800160596
t10,7928.754408627756,0.0,-3266.308295203942,0.0,0.0,0.0,0.0,5821.617561285746,-35.819938392759944,-10448.2437363168,9052.586610568393,2876.379328993435,-3087.356935595116,0.0,0.0,0.0,0.0,-5821.617561285746,-35.819938392759944,-2984.171504288206,1608.1576585213786,1011.4166356677066,-1194.962943841808,0.0,0.0,0.0,0.0,-0.0,-0.0,-1424.611350347277
t11,10905.19443656643,0.0,-3266.308295203942,0.0,0.0,0.0,0.0,2971.1112441930163,-18.28100533995323,-10591.71638021555,11321.866451971036,328.4331786944241,-5635.3030858941265,0.0,0.0,0.0,0.0,-2971.1112441930163,-18.28100533995323,-3025.604295238364,1386.8828842252515,1131.652468084067,-1074.7271114254472,0.0,0.0,0.0,0.0,-0.0,-0.0,-1443.8082408838713
t12,10339.82625893578,0.0,-3266.308295203942,0.0,0.0,0.0,0.0,3537.9463706966176,-21.76869567626708,-10589.695638752188,12464.683957686426,41.680556318270945,-5922.05570827028,0.0,0.0,0.0,0.0,-3537.9463706966176,-21.76869567626708,-3024.593739361531,0.0,1824.5887288667827,-381.790850642732,0.0,0.0,0.0,0.0,-0.0,-0.0,-1442.7978782240507
t13,11033.422270668223,0.0,-3266.308295203942,0.0,0.0,0.0,0.0,2785.819208356855,-26.890901164872133,-10526.042282656263,12386.99690005282,0.0,-5963.736264588551,0.0,0.0,0.0,0.0,-3395.9618255440514,-20.895076341683765,-3006.4037335785347,0.0,1518.4738820454954,-687.9056974640192,0.0,0.0,0.0,0.0,610.1426171871966,-5.995824823188366,-1434.7149769454845
t14,10194.112811092831,0.0,-3266.308295203942,0.0,0.0,0.0,0.0,3540.201047483328,-21.782568518779545,-10446.222994853435,10506.152346818195,1001.8695190303346,-4961.866745558216,0.0,0.0,0.0,0.0,-3540.201047483328,-21.782568518779545,-2984.171504288206,0.0,1814.9902835984856,-391.3892959110292,0.0,0.0,0.0,0.0,-0.0,-0.0,-1423.6009876874562
t15,8216.29561237118,1468.1052874702496,-1798.2030077336926,0.0,0.0,0.0,0.0,2544.358842657203,-15.655232593624092,-10414.901502171315,8651.884944879275,1423.4709481784043,-4540.265316410147,0.0,0.0,0.0,0.0,-2544.358842657203,-15.655232593624092,-2975.076501396708,0.0,1812.9695582788438,-393.4100212306708,0.0,0.0,0.0,0.0,-0.0,-0.0,-1419.559537048173
t16,6050.022354439312,1497.2938372295368,-1769.0144579744053,0.0,0.0,0.0,0.0,4683.604277050075,-28.81783540294053,-10433.088175341578,8188.668101553214,2733.809778134613,-3229.9264864539377,0.0,0.0,0.0,0.0,-4683.604277050075,-28.81783540294053,-2980.1292807808736,1740.2299072471485,944.3701486450009,-1262.0094308645141,0.0,0.0,0.0,0.0,-0.0,-0.0,-1422.5906250276355
t17,2117.702108650883,2750.9234877398885,-515.3848074640532,0.0,0.0,0.0,0.0,6610.12665858449,-43.28057949922039,-10920.086868011987,7354.544258245322,3832.034830700121,-2131.70143388843,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3118.575435907011,0.0,2206.3795795095148,-0.0,0.0,0.0,0.0,0.0,-710.1266585844886,-6.978360349220388,-1489.2745605758057
t18,0.0,2546.9117325930056,-719.3965626109366,0.0,0.0,0.0,0.0,9894.584954016173,-75.55669990736794,-11646.543424090874,6601.783565720341,4312.502432276423,-1651.2338323121285,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3326.749946534634,7827.498752861474,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-3994.5849540161726,-39.25448075736794,-1587.27973857842
t19,0.0,2546.2515576857713,-720.056737518171,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11650.584907017601,11048.913966195054,2089.442509977482,-3874.293754611069,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3327.760502411467,7833.977374747756,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1588.2901012382406
t20,0.0,2439.6574454933884,-826.6508497105538,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11437.396682632836,5013.697041070992,5076.734296234519,-887.0019683540304,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3267.12714980148,7785.445576054286,10.120822109243647,-2196.2587574002714,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1559.9999467632592
t21,0.0,2230.0055186695095,-1036.3027765344327,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-11018.092828985078,8508.171961246884,3269.8740394134197,-2693.8622251751312,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-3147.8815563351714,7748.09654866299,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1502.4092751534758
t22,0.0,1884.9639138003304,-1381.3443814036118,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-10328.009619246719,7425.047690877851,3712.9069766067073,-2250.829287981843,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2950.823160352713,3240.3632996208094,2206.3795795095148,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1407.435185130324
t23,0.0,1499.002294298056,-1767.306000905886,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-9556.08638024217,4754.953848171699,4937.298029446557,-1026.4382351419945,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2729.5114233262593,7548.044742018478,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1302.3574685089645
t24,0.0,3087.8297887715335,-178.47850643240858,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-8773.049063189126,8711.977815589766,2846.6143434090463,-3117.1219211795046,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2505.1680186693065,0.0,1701.3244843686496,-505.0550951408652,0.0,0.0,0.0,0.0,-0.0,-0.0,-1196.2693892277844
t25,0.0,826.0953869982792,-2440.212908205663,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-8210.272565642617,9503.545309846724,2370.99668201075,-3592.7395825778012,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2345.5001901296737,7365.169100590921,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1119.4818270814062
t26,0.0,682.622743099528,-2583.6855521044135,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7923.327277845115,12819.55758820141,671.5577518832494,-5292.178512705302,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2262.6346082293576,3280.0984141870854,2022.8332713354132,-183.54630817410188,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1080.0776833483965
t27,0.0,624.5264260278507,-2641.781869176091,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7807.13464370176,11828.289201613758,1151.0230511477457,-4812.713213440805,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2230.2968201706976,7310.609516960599,0.0,-2206.3795795095148,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1064.922243451085
t28,0.0,627.5575382228951,-2638.7507569810477,0.0,0.0,0.0,0.0,9900.0,-75.60991315,-7813.196868091848,12486.519046227984,822.918684717465,-5140.817579871086,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2232.317931924364,4547.763856348865,1381.928011635777,-824.4515678737372,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1065.932606110906
t29,0.0,2729.1481790246567,-537.1601161792854,0.0,0.0,0.0,0.0,5900.0,-36.30221915,-8055.685843695372,13309.827239434597,445.6234879264853,-5518.112776662066,0.0,0.0,0.0,0.0,-5900.0,-36.30221915,-2301.0357315490164,0.0,1652.3218953673424,-554.0576841421723,0.0,0.0,0.0,0.0,-0.0,-0.0,-1098.2642112251701
