Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10094.528029746445,20699.849754199182,5319.68452906668
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9383.990911015826,20844.891312961405,7349.553742215433
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10518.141154509813,21505.13537299801,7392.372411571582
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10719.523164875925,15022.813346271327,9422.241624720336
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7885.288091693529,13199.517686695994,8086.292662677741
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8795.369735897411,11885.400509062472,10116.161875826494
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5323.40095704318,11285.374951284695,10116.161875826494
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1773.0658535606344,9521.711604057187,8257.144476787133
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.280693133906,9893.189399284596,10116.161875826494
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4509.284324721532,9607.058509387065,10116.161875826494
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7514.287956309159,14434.544762872243,9874.853787811746
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10519.291587896787,19837.531061961043,8242.8527520696
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13524.295219484413,25324.16842538251,7225.210904556611
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16529.298851072042,28800.0972236544,5612.47353114423
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16587.87900137155,31429.890284123037,4003.7916655907484
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16587.87900137155,31429.890284123037,4138.351049980666
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14071.898798434255,29225.800352539394,1740.1123766007588
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11965.361318000441,26057.432834487834,3769.9815897495123
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9860.148779902189,27350.649925711015,5799.850802898266
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7968.865990447433,22648.5022841679,7809.407966109512
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6498.345502827036,21572.64461892313,9839.277179258264
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5720.308514370174,19607.639111033048,7441.038505878357
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5716.879715314399,15185.333994486993,9470.907719027111
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.7432143066344,14958.940136527523,8086.292662677741
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3871.809321379454,15687.090245965675,10116.161875826494
