Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035662
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.286154890876304,28.591927862334884,14.895258341035664
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035662
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.286154890876304,28.591927862334888,14.895258341035664
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28932831410212,28.595062472743848,14.895258341035664
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334884,14.895258341035664
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.89525834103566
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2861548908763,28.591927862334888,14.895258341035664
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.285410791243713,28.591927862334888,14.895258341035664
