Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1.0,1.0,2000,11,168,673.8461538461539,1,8851.857980260273,2528.4108038364684,1207.3833784858127
,2,0.9,0.04,1800,,,842.3076923076924,2,8561.881580267725,2445.5452219361523,1167.979234752803
,3,0.55,0.024,1100,,,673.8461538461539,3,8422.4504192957,2405.1229868628275,1147.7719815563876
,4,0.2,0.003,400,,,673.8461538461539,4,8360.817804663138,2388.9540928334977,1139.6890802778216
,,,,,,,1347.6923076923078,5,8416.388194905612,2404.1124309859947,1147.7719815563876
,,,,,,,168.46153846153848,6,8645.742350997278,2469.7985629801474,1178.0828613510105
,,,,,,,505.3846153846154,7,9051.911385133179,2586.012488815956,1234.6631703009734
,,,,,,,1347.6923076923078,8,9496.474507072971,2712.3319734200963,1295.2849298902192
,,,,,,,1179.2307692307693,9,10085.520643643194,2880.0842489743945,1375.1035800160596
,,,,,,,673.8461538461539,10,10448.2437363168,2984.171504288206,1424.611350347277
,,,,,,,673.8461538461539,11,10591.71638021555,3025.604295238364,1443.8082408838713
,,,,,,,,12,10589.695638752188,3024.593739361531,1442.7978782240507
,,,,,,,,13,10526.042282656263,3006.4037335785347,1434.7149769454845
,,,,,,,,14,10446.222994853435,2984.171504288206,1423.6009876874562
,,,,,,,,15,10414.901502171315,2975.076501396708,1419.559537048173
,,,,,,,,16,10433.088175341578,2980.1292807808736,1422.5906250276355
,,,,,,,,17,10920.086868011987,3118.575435907011,1489.2745605758057
,,,,,,,,18,11646.543424090874,3326.749946534634,1587.27973857842
,,,,,,,,19,11650.584907017601,3327.760502411467,1588.2901012382406
,,,,,,,,20,11437.396682632836,3267.12714980148,1559.9999467632592
,,,,,,,,21,11018.092828985078,3147.8815563351714,1502.4092751534758
,,,,,,,,22,10328.009619246719,2950.823160352713,1407.435185130324
,,,,,,,,23,9556.08638024217,2729.5114233262593,1302.3574685089645
,,,,,,,,24,8773.049063189126,2505.1680186693065,1196.2693892277844
,,,,,,,,25,8210.272565642617,2345.5001901296737,1119.4818270814062
,,,,,,,,26,7923.327277845115,2262.6346082293576,1080.0776833483965
,,,,,,,,27,7807.13464370176,2230.2968201706976,1064.922243451085
,,,,,,,,28,7813.196868091848,2232.317931924364,1065.932606110906
,,,,,,,,29,8055.685843695372,2301.0357315490164,1098.2642112251701
,,,,,,,,30,8794.266848554435,2511.2313539303054,1198.290114547426
,,,,,,,,31,10138.059921690625,2895.242587126891,1382.1761186348049
,,,,,,,,32,10892.80685825659,3111.501544769179,1484.222747276702
,,,,,,,,33,11055.476546057287,3158.997670980336,1507.4610884525796
,,,,,,,,34,11147.42028264029,3184.2615679011637,1519.5854403704288
,,,,,,,,35,11234.312165564885,3209.525464821992,1531.7097922882779
,,,,,,,,36,11218.146233857984,3203.462129560993,1529.6890669686363
,,,,,,,,37,11110.03656556808,3173.1454532559997,1514.5336270713249
,,,,,,,,38,11034.258760691979,3151.923779842504,1504.4300004731174
,,,,,,,,39,10915.03501435358,3117.564880030178,1488.264197915985
,,,,,,,,40,10920.086868011987,3118.575435907011,1489.2745605758057
,,,,,,,,41,11418.19963873089,3261.063814540481,1555.9584961239761
,,,,,,,,42,12143.645824078098,3468.2277692912708,1655.984399446232
,,,,,,,,43,12042.608750909962,3439.9322047399432,1641.8393222087411
,,,,,,,,44,11660.688614334413,3330.7921700419665,1590.3108265578821
,,,,,,,,45,11111.046936299761,3173.1454532559997,1514.5336270713249
,,,,,,,,46,10302.750350954684,2942.738713338048,1404.4040971508616
,,,,,,,,47,9289.348507078295,2652.709176686942,1265.984412755417
,,,,,,,,48,8370.921511979952,2390.975204587164,1141.7098055974632
,,,,,,,,49,7786.927229068133,2224.233484909699,1060.880792811802
,,,,,,,,50,7417.131541272761,2119.1356737190545,1010.3626598207638
,,,,,,,,51,7236.2751803018,2066.5867681237323,986.1139559850654
,,,,,,,,52,7189.798126644458,2053.449541724902,980.0517800261408
,,,,,,,,53,7394.903385175771,2112.061782581223,1008.3419345011223
,,,,,,,,54,8076.903629060679,2307.099066810015,1101.2952992046326
,,,,,,,,55,9433.831521708727,2694.1419676371,1286.1916659518322
,,,,,,,,56,10182.516233884604,2908.379813525722,1388.2382945937295
,,,,,,,,57,10258.294038760705,2930.6120428160507,1398.341921191937
,,,,,,,,58,10215.858468030088,2918.485372294053,1392.2797452330126
,,,,,,,,59,10227.982916810264,2921.5170399245526,1394.3004705526541
,,,,,,,,60,10185.54734607965,2909.390369402555,1388.2382945937295
,,,,,,,,61,10068.344341204613,2876.042025467062,1372.0724920365972
,,,,,,,,62,9991.55616559683,2854.8203520535662,1361.9688654383897
,,,,,,,,63,9884.456868038607,2823.4931198717395,1346.8134255410782
,,,,,,,,64,9892.539833892059,2825.514231625406,1348.8341508607195
,,,,,,,,65,10387.621492415918,2966.992054382043,1416.5284490687109
,,,,,,,,66,11297.96552166081,3227.7154706049882,1540.8030562266647
,,,,,,,,67,11308.069228977623,3229.7365823586542,1541.8134188864856
,,,,,,,,68,11039.310614350386,3152.934335719337,1504.4300004731174
,,,,,,,,69,10601.820087532364,3028.6359628688633,1444.8186035436922
,,,,,,,,70,9877.384272916837,2821.4720081180735,1345.8030628812573
,,,,,,,,71,8972.092097330353,2562.7697036487943,1223.5491810429448
,,,,,,,,72,8125.401424181384,2321.2468490856786,1107.3574751635572
,,,,,,,,73,7580.811599805139,2165.621244053378,1033.6010009966415
,,,,,,,,74,7307.001131519494,2086.7978856603945,996.217582583273
,,,,,,,,75,7184.746272986051,2052.4389858480686,979.0414173663202
,,,,,,,,76,7190.808497376139,2054.4600976017346,980.0517800261408
,,,,,,,,77,7422.183394931168,2120.1462295958877,1011.3730224805845
,,,,,,,,78,8170.868107107045,2333.373519607676,1113.4196511224816
,,,,,,,,79,9588.418243655973,2738.6064262177574,1307.4092818080683
,,,,,,,,80,10379.538526562466,2964.9709426283766,1415.51808640889
,,,,,,,,81,10445.212624121754,2983.160948411373,1423.6009876874562
,,,,,,,,82,10503.814126559273,3000.340398317536,1432.694251625843
,,,,,,,,83,10551.301550948296,3013.4776247163663,1438.7564275847676
,,,,,,,,84,10524.0215411929,3006.4037335785347,1434.7149769454845
,,,,,,,,85,10418.94298509804,2976.087057273541,1420.569899707994
,,,,,,,,86,10362.362224123885,2959.918163244211,1412.4869984294278
,,,,,,,,87,10243.138477785486,2925.559263431885,1397.3315585321163
,,,,,,,,88,10226.972546078583,2921.5170399245526,1394.3004705526541
,,,,,,,,89,10687.701599725277,3052.889303912858,1456.9429554615415
,,,,,,,,90,11693.020477748216,3340.8977288102974,1594.3522771971652
,,,,,,,,91,11760.715316770868,3360.098290470127,1603.445541135552
,,,,,,,,92,11492.96707287531,3283.2960438308096,1567.0724853820047
,,,,,,,,93,11071.64247776419,3163.0398944876683,1509.4818137722211
,,,,,,,,94,10316.895541198224,2946.7809368453804,1406.4248224705032
,,,,,,,,95,9338.85667293068,2666.856958962606,1273.0569513741623
,,,,,,,,96,8471.958585148086,2419.2707691384912,1154.844520175133
,,,,,,,,97,7906.150975406532,2258.592384722025,1078.056958028755
,,,,,,,,98,7617.184946145667,2175.726802821709,1038.6528142957452
,,,,,,,,99,7480.784897368685,2136.3151236252174,1020.4662864189714
,,,,,,,,100,7474.722672978597,2135.304567748384,1019.4559237591507
,,,,,,,,101,7711.149424192033,2203.0118114962033,1050.7771662135942
,,,,,,,,102,8429.52301441747,2408.154654493327,1148.7823442162085
,,,,,,,,103,9837.979814381266,2809.345337596076,1341.7616122419743
,,,,,,,,104,10590.706009483869,3025.604295238364,1443.8082408838713
,,,,,,,,105,10641.224546067935,3039.7520775140274,1450.8807795026169
,,,,,,,,106,10608.892682654132,3030.6570746225293,1446.8393288633338
,,,,,,,,107,10582.623043630418,3022.5726276078644,1442.7978782240507
,,,,,,,,108,10512.907463144404,3003.372065948035,1432.694251625843
,,,,,,,,109,10429.046692414853,2979.1187249040404,1421.5802623678146
,,,,,,,,110,10420.963726561402,2976.087057273541,1420.569899707994
,,,,,,,,111,10391.662975342642,2968.002610258876,1416.5284490687109
,,,,,,,,112,10471.48226314547,2991.2453954260377,1427.6424383267392
,,,,,,,,113,10980.709111912867,3136.7654416900073,1497.3574618543719
,,,,,,,,114,11780.922731404493,3365.1510698542925,1606.4766291150145
,,,,,,,,115,11750.611609454054,3356.0560669627944,1601.4248158159105
,,,,,,,,116,11478.821882631772,3279.253820323477,1565.0517600623632
,,,,,,,,117,11024.155053375165,3148.8921122120046,1503.4196378132965
,,,,,,,,118,10296.688126564597,2940.7176015843816,1403.393734491041
,,,,,,,,119,9339.867043662362,2667.867514839439,1273.0569513741623
,,,,,,,,120,8483.07266319658,2423.3129926458237,1156.8652454947746
,,,,,,,,121,7903.119863211488,2257.581828845192,1077.0465953689343
,,,,,,,,122,7571.7182632200065,2162.5895764228785,1031.580275677
,,,,,,,,123,7419.152282736123,2119.1356737190545,1011.3730224805845
,,,,,,,,124,7364.5922632253305,2103.9773355665575,1004.3004838618392
,,,,,,,,125,7559.593814439831,2159.5579087923793,1030.569913017179
,,,,,,,,126,8226.438497349518,2349.542413637006,1121.5025524010478
,,,,,,,,127,9485.360429024477,2709.300305789597,1293.2642045705777
,,,,,,,,128,10339.123697295214,2952.8442721063793,1409.4559104499656
,,,,,,,,129,10602.830458264045,3028.6359628688633,1445.828966203513
,,,,,,,,130,10775.603853381555,3078.1532008336862,1469.0673073793905
,,,,,,,,131,10891.796487524909,3111.501544769179,1484.222747276702
,,,,,,,,132,10929.18020459712,3121.6071035375103,1489.2745605758057
,,,,,,,,133,10854.4127704527,3100.385430124015,1479.1709339775982
,,,,,,,,134,10767.520887528104,3076.13208908002,1468.0569447195699
,,,,,,,,135,10625.058614361034,3034.6992981298617,1448.8600541829753
,,,,,,,,136,10576.560819240329,3021.562071731031,1441.78751556423
,,,,,,,,137,10899.87945337836,3113.5226565228454,1486.2434725963435
,,,,,,,,138,11370.712214341867,3247.9265881416504,1550.9066828248724
,,,,,,,,139,11202.990672882765,3200.430461930494,1527.6683416489948
,,,,,,,,140,10826.122389965622,3092.30098310935,1476.1398459981358
,,,,,,,,141,10418.94298509804,2976.087057273541,1420.569899707994
,,,,,,,,142,9868.290936331707,2819.450896364407,1345.8030628812573
,,,,,,,,143,9134.761785131048,2609.255273983118,1244.766796899181
,,,,,,,,144,8391.128926613577,2397.0385398481626,1143.7305309171047
,,,,,,,,145,7792.989453458221,2226.254596663365,1061.8911554716228
,,,,,,,,146,7432.28710224798,2123.177897226387,1013.393747800226
,,,,,,,,147,7248.399629081976,2069.6184357542315,988.134681304707
,,,,,,,,148,7179.694419327644,2050.417874094402,979.0414173663202
,,,,,,,,149,7244.35814615525,2069.6184357542315,988.134681304707
,,,,,,,,150,7547.469365659655,2156.52624116188,1029.5595503573584
,,,,,,,,151,8071.851775402272,2306.0885109331816,1100.2849365448117
,,,,,,,,152,8631.597160753738,2464.7457835959817,1177.0724986911898
,,,,,,,,153,9223.674409519008,2634.519170903946,1257.9015114768508
,,,,,,,,154,9602.563433899511,2743.659205601923,1309.4300071277098
,,,,,,,,155,9771.295346090297,2791.15533181308,1331.6579856437668
,,,,,,,,156,9677.330868043931,2763.8703231385857,1319.5336337259175
,,,,,,,,157,9494.453765609607,2712.3319734200963,1294.2745672303984
,,,,,,,,158,9246.912936347679,2641.593062041778,1259.9222367964924
,,,,,,,,159,9095.357326595476,2598.139159337954,1239.7149836000772
,,,,,,,,160,9098.38843879052,2599.1497152147867,1239.7149836000772
,,,,,,,,161,9532.8478534135,2722.4375321884277,1300.336743189323
,,,,,,,,162,10448.2437363168,2984.171504288206,1424.611350347277
,,,,,,,,163,10524.0215411929,3006.4037335785347,1434.7149769454845
,,,,,,,,164,10216.86883876177,2918.485372294053,1392.2797452330126
,,,,,,,,165,9903.653911940553,2829.5564551327384,1350.854876180361
,,,,,,,,166,9427.769297318639,2693.131411760267,1285.1813032920115
,,,,,,,,167,8820.53648757815,2519.3158009449703,1202.331565186709
,,,,,,,,168,8171.878477838726,2334.384075484509,1114.4300137823025
,,,,,,,,169,8116.308087596252,2318.2151814551794,1106.3471125037363
,,,,,,,,170,7873.819111992729,2249.497381830527,1073.0051447296512
,,,,,,,,171,7790.9687119948585,2226.254596663365,1061.8911554716228
,,,,,,,,172,7798.041307116628,2227.2651525401984,1062.9015181314435
,,,,,,,,173,7903.119863211488,2257.581828845192,1077.0465953689343
,,,,,,,,174,8145.608838815011,2327.3101843466775,1110.3885631430194
,,,,,,,,175,8538.643053439055,2439.481886675154,1163.93778411352
,,,,,,,,176,8974.112838793715,2563.7802595256276,1223.5491810429448
,,,,,,,,177,9587.407872924292,2738.6064262177574,1306.3989191482476
,,,,,,,,178,10028.93988266904,2864.9259108218976,1367.0206787374934
,,,,,,,,179,10247.17996071221,2926.5698193087183,1397.3315585321163
,,,,,,,,180,10294.667385101235,2940.7176015843816,1403.393734491041
,,,,,,,,181,10251.221443638937,2928.5909310623842,1397.3315585321163
