Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,6911.102824440295,6911.102824440295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,1711.4612178856144,1711.4612178856144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,429.83517746078553,429.83517746078553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,19148.414743214464,19148.414743214464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,21515.115581167534,21515.115581167534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,11663.735837119806,11663.735837119806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,3008.8840389470492,3008.8840389470492,0.0,0.0,0.0,27681.733158312854,27681.733158312854,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,7254.013146964306,7254.013146964306,0.0,0.0,0.0,45392.96984205975,45392.96984205975,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,3513.688201662532,3513.688201662532,0.0,0.0,0.0,33290.71540639801,33290.71540639801,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,85156.25076886239,85156.25076886239,n/a,0.0,0.0,106365.41840677061,106365.41840677061,0.0,0.0,0.0,0.0
