Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.057158703523718e7,6911.102824440295,0.17461788713439388
CT_natural_gas_combined_cycle,2,3.573223605646423e6,1711.4612178856144,0.23833565950821448
ME_natural_gas_combined_cycle,3,952357.1061628824,429.83517746078553,0.252926168753107
MA_solar_pv,1,2.9171264451222178e7,19148.414743214464,0.17390750431317228
CT_onshore_wind,2,2.1017242271040834e7,10000.0,0.2399228569753571
CT_solar_pv,2,3.3421391684679594e7,21515.115581167534,0.17732776507156642
ME_onshore_wind,3,2.576135752687784e7,11663.735837119806,0.25213141649428106
MA_battery,1,7.1353227197950715e6,3008.8840389470492,0.0
CT_battery,2,1.9725505566389985e7,7254.013146964306,0.0
ME_battery,3,8.502701036591722e6,3513.688201662532,0.0
