Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.430201701081155e6,2.3305181434770696e7,1.0045724287088517e7,4.178110742294037e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.8939219089123,3013.7366094487834,-0.0,4659.630531357696
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790.8821219051858,2988.327560398941,1780.0338024343328,6559.243484738459
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.77723582570053,3176.460757935604,809.1572916909105,4232.395285452215
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.414009707479,2769.233749950268,2259.0492910949506,6919.697050752698
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.3174600320712,2297.9593508740195,3513.688201662532,6599.965012568622
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.6797895689876,1210.3265192606073,-0.0,2124.0063088295947
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.6656956985646,2704.366276959039,3513.688201662532,7317.720174320135
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.5856585025624,2274.3706396569696,0.0,3597.956298159532
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.2018905008247,5570.279405993634,3513.688201662532,10940.16949815699
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,4279.2999488934065,805.5928053953129,8093.776793235768
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,6627.781869159803,1034.9399803893302,10671.605888496182
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,6948.598325935001,1035.4451617192403,10992.927526601292
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,7254.013146964306,1079.2488538280886,11342.146039739444
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,5938.16430416529,1045.0436069875377,9992.091950099877
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,4072.999317643714,969.6315564260544,8051.514913016817
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1856.3408468867515,3928.7332901669765,1889.5750521911339,7674.649189244862
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.5949084418594,2691.6757953929405,0.0,4321.2707038348
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.55119999361187,1688.3235280997005,2739.9536645572457,4676.828392650558
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.3012950728426,3266.634570161284,3513.688201662532,7008.624066896658
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.1245707226311,1154.3338464662772,0.0,1507.4584171889082
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.7764975465102,2454.562053199432,3513.688201662532,6531.026752408474
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.8181024156884,2168.5614261906608,3513.688201662532,6590.067730268881
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.7797219179627,3072.6203797038884,3513.688201662532,7880.088303284383
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2848.273797032364,3513.688201662532,6361.9619986948965
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.68662921774,3209.12930630218,3513.688201662532,8689.504137182452
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.159273116491,4427.809857252339,0.0,6537.96913036883
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.2555901881683,4092.0595212816693,3513.688201662532,9774.003313132369
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.2244779931243,4324.733145404835,3513.688201662532,10003.645825060492
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.9799901913625,4582.664395592509,0.0,6626.644385783871
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.6894877618313,4070.669219401865,3513.688201662532,9259.046908826229
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.7929511937359,2791.937412803571,0.0,3794.730363997307
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.4194829107533,730.501438982428,3513.688201662532,4869.609123555713
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.6732425155935,2478.736753129198,3513.688201662532,7580.098197307323
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,6241.389903870134,0.0,9250.273942817183
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2682.040846532729,4848.3712982704365,178.75085932468738,7709.163004127853
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,5314.777079761422,70.46376681969969,8394.12488552817
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.8840389470492,5079.452086197614,3513.688201662532,11602.024326807195
