Costs,Total,Zone1,Zone2,Zone3
cTotal,9.621842960415388e9,3.1045550720953827e9,4.396057409271606e9,2.0554998864957075e9
cFix,9.134304657244246e9,2.807202071730775e9,4.306299295368459e9,2.0208032901450112e9
cVar,7.082070471663247e7,3.9863962638223544e7,2.1312735549435902e7,9.644006528972797e6
cFuel,3.2290591464979255e8,2.375339315216122e8,6.188357236528711e7,2.3488410762893323e7
cNSE,0.0,0.0,0.0,0.0
cStart,2.8081091252026733e7,1.9955106204771683e7,6.561805988424753e6,1.5641790588302913e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,6.573059255226874e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
