Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.057158703523718e7,3.573223605646423e6,952357.1061628824,2.9171264451222178e7,2.101724227104083e7,3.3421391684679594e7,2.576135752687784e7,7.1353227197950715e6,1.972550556638998e7,8.502701036591722e6,1.598319530036437e8
t1,-0.0,-0.0,-0.0,-0.0,6540.0058,-0.0,1733.0028708232812,1362.990117038137,4240.276537515521,3513.688201662532,17389.963527039472
t2,-0.0,-0.0,-0.0,-0.0,6406.32212,-0.0,5253.666331958937,1218.0019170418634,4265.685586565364,1733.654399228199,18877.33035479436
t3,-0.0,-0.0,-0.0,-0.0,6742.16628,-0.0,0.0,2762.1068031213485,4077.5523890287013,2704.5309099716214,16286.35638212167
t4,-0.0,-0.0,-0.0,-0.0,5911.543369999999,-0.0,6183.407154805191,1117.4700292395703,4484.779397014037,1254.638910567581,18951.83886162638
t5,-0.0,-0.0,-0.0,-0.0,4984.15291,-0.0,6507.457671669101,2220.566578914978,4956.053796090286,0.0,18668.230956674364
t6,-0.0,-0.0,-0.0,-0.0,2874.5733787673275,-0.0,0.0,2095.2042493780614,6043.686627703698,3513.688201662532,14527.152457511618
t7,-0.0,-0.0,-0.0,-0.0,5978.866819999999,-0.0,7877.542799004789,1909.2183432484846,4549.6468700052665,0.0,20315.27483225854
t8,-0.0,-0.0,-0.0,-0.0,5245.195030000001,-0.0,1820.9044222276873,1685.2983804444868,4979.642507307336,3513.688201662532,17244.72854164204
t9,-0.0,-0.0,-0.0,4164.780206649145,7146.651739999999,4858.113098227629,6367.767172690551,1152.6821484462246,1683.7337409706706,0.0,25373.72810698422
t10,-0.0,-0.0,-0.0,7814.468056705823,0.0,9526.893179340987,0.0,0.0,2974.7131980708987,2708.095396267219,23024.169830384926
t11,-0.0,-0.0,-0.0,10748.005195366279,0.0,11915.07100885058,0.0,0.0,626.2312778045018,2478.7482212732016,25768.05570329456
t12,-0.0,-0.0,-0.0,10190.786326338737,0.0,13117.765969837847,0.0,0.0,305.41482102930394,2478.2430399432915,26092.210157149177
t13,-0.0,-0.0,-0.0,10874.384732671493,0.0,13036.00853062941,0.0,0.0,0.0,2434.439347834443,26344.832611135345
t14,-0.0,-0.0,-0.0,10047.17321576463,0.0,11056.617897161997,0.0,0.0,1315.8488427990153,2468.644594674994,24888.28455040064
t15,-0.0,-0.0,-0.0,8097.864594905395,0.0,9105.196913950102,0.0,0.0,3181.013829320591,2544.056645236477,22928.131983412564
