BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,3.9742851486459106e7,7.1353227197950715e6,-8.430201701081155e6,0.0,0.0,0.0,0.0,4.441945978517825e7,-373118.29035162803,-8.249431400000015e7,5.801185756136686e7,1.972550556638998e7,-2.3305181434770696e7,0.0,0.0,0.0,0.0,-3.06790332306658e7,-189072.46232031527,-2.3564075999999933e7,2.6713714633040767e7,8.502701036591722e6,-1.0045724287088517e7,0.0,0.0,0.0,0.0,-1.374042655451266e7,-184045.8280313115,-1.1246219000000006e7
t1,0.0,1362.990117038137,-1645.8939219089123,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-8851.857980260273,6540.0058,4240.276537515521,-3013.7366094487834,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2528.4108038364684,1733.0028708232812,3513.688201662532,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,1218.0019170418634,-1790.8821219051858,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-8561.881580267725,6406.32212,4265.685586565364,-2988.327560398941,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2445.5452219361523,5253.666331958937,1733.654399228199,-1780.0338024343328,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,2762.1068031213485,-246.77723582570053,0.0,0.0,0.0,0.0,5946.4287064773225,-39.30785447727085,-8422.4504192957,6742.16628,4077.5523890287013,-3176.460757935604,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2405.1229868628275,0.0,2704.5309099716214,-809.1572916909105,0.0,0.0,0.0,0.0,-740.3265047966639,-7.275131927659199,-1147.7719815563876
t4,0.0,1117.4700292395703,-1891.414009707479,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-8360.817804663138,5911.543369999999,4484.779397014037,-2769.233749950268,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2388.9540928334977,6183.407154805191,1254.638910567581,-2259.0492910949506,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,2220.566578914978,-788.3174600320712,0.0,0.0,0.0,0.0,7034.13574435158,-49.99666832887277,-8416.388194905612,4984.15291,4956.053796090286,-2297.9593508740195,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2404.1124309859947,6507.457671669101,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-1828.03354267092,-17.963945779261117,-1147.7719815563876
t6,0.0,2095.2042493780614,-913.6797895689876,0.0,0.0,0.0,0.0,7518.979077864998,-54.76118667679413,-8645.742350997278,2874.5733787673275,6043.686627703698,-1210.3265192606073,0.0,0.0,0.0,0.0,-5206.102201680659,-32.03272254961166,-2469.7985629801474,0.0,3513.688201662532,-0.0,0.0,0.0,0.0,0.0,-2312.876876184339,-22.72846412718247,-1178.0828613510105
t7,0.0,1909.2183432484846,-1099.6656956985646,0.0,0.0,0.0,0.0,8304.842544427407,-62.48380684414773,-9051.911385133179,5978.866819999999,4549.6468700052665,-2704.366276959039,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2586.012488815956,7877.542799004789,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-3098.740342746748,-30.451084294536074,-1234.6631703009734
t8,0.0,1685.2983804444868,-1323.5856585025624,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-9496.474507072971,5245.195030000001,4979.642507307336,-2274.3706396569696,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2712.3319734200963,1820.9044222276873,3513.688201662532,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
t9,4164.780206649145,1152.6821484462246,-1856.2018905008247,0.0,0.0,0.0,0.0,6670.685247145439,-46.425068096791065,-10085.520643643194,12004.76483822763,1683.7337409706706,-5570.279405993634,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2880.0842489743945,6367.767172690551,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-1464.58304546478,-14.392345547179415,-1375.1035800160596
t10,7814.468056705823,0.0,-3008.8840389470492,0.0,0.0,0.0,0.0,5679.342941656463,-36.68322309843727,-10448.2437363168,9526.893179340987,2974.7131980708987,-4279.2999488934065,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2984.171504288206,0.0,2708.095396267219,-805.5928053953129,0.0,0.0,0.0,0.0,-473.2407399758035,-4.650500548825612,-1424.611350347277
t11,10748.005195366279,0.0,-3008.8840389470492,0.0,0.0,0.0,0.0,2870.2556730266165,-17.66044923029542,-10591.71638021555,11915.07100885058,626.2312778045018,-6627.781869159803,0.0,0.0,0.0,0.0,-2870.2556730266165,-17.66044923029542,-3025.604295238364,0.0,2478.7482212732016,-1034.9399803893302,0.0,0.0,0.0,0.0,-0.0,-0.0,-1443.8082408838713
