Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.62938575096479,9.218413154596194
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.673017666240195,18.629385750964794,9.218413154596194
