Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,3.418079507847928e11
CT,CT_natural_gas_combined_cycle,2,1,1.0706529341236464e11
ME,ME_natural_gas_combined_cycle,3,1,2.7207210259241432e10
MA,MA_solar_pv,1,1,2.9382274469302795e11
CT,CT_onshore_wind,2,1,3.6515724382584467e11
CT,CT_solar_pv,2,1,3.2486692923606305e11
ME,ME_onshore_wind,3,1,4.617325523504415e11
MA,MA_battery,1,0,1.280769136329512e11
CT,CT_battery,2,0,1.2754388975504236e11
ME,ME_battery,3,0,1.5262084388393036e11
