region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.7609252201166786e7,2.0981047657375386e8,0.0,2.128375688369981e7,0.0,0.0,3.418079507847928e11,0.0,0.0,0.0,0.0,0.0,2.879760022256853e11,0.0,3.418079507847928e11,2.882933883534764e11,5.351456243131641e10
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,1.2507475510448407e7,5.731936942994238e7,0.0,5.791434332064849e6,0.0,0.0,1.0706529341236464e11,0.0,0.0,0.0,0.0,0.0,9.387927015539064e10,0.0,1.0706529341236464e11,9.396593082500078e10,1.3099362587363861e10
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777831e6,0.0,0.0,4.119943791854387e6,2.6005702868947934e7,0.0,840568.0777253055,0.0,0.0,2.7207210259241432e10,0.0,0.0,0.0,0.0,0.0,2.116720494236191e10,0.0,2.7207210259241432e10,2.1203761023442215e10,6.003449235799217e9
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9382274469302795e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9382274469302795e11,2.2590586242054912e8,2.935968388306074e11
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.9406672551956763e6,0.0,0.0,0.0,0.0,0.0,3.6515724382584467e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6515724382584467e11,4.867643447598134e8,3.6467047948108484e11
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.470991254211371e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2486692923606305e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2486692923606305e11,2.470991254211371e8,3.246198301106419e11
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.751586115333388e6,0.0,0.0,0.0,0.0,0.0,4.617325523504415e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.617325523504415e11,5.903672318523961e8,4.611421851185891e11
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803371e7,1.6216724907967083e7,0.0,952075.8242104994,0.0,1.1248532894736505e6,0.0,1.051902256349354e11,0.0,1.280769136329512e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.280769136329512e11,1.0522269444403285e11,2.285421918891835e10
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.1804637508384157e7,3.638528499426992e7,0.0,927947.560110654,0.0,1.0963463611893372e6,0.0,7.319134955329333e10,0.0,1.2754388975504236e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2754388975504236e11,7.326156376971729e10,5.428232598532507e10
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.135622163449793e7,0.0,1.0537915677424502e6,0.0,1.2450278446862593e6,0.0,8.645392965874748e10,0.0,1.5262084388393036e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5262084388393036e11,8.651499339709813e10,6.610585048683223e10
