Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072109,19616.632254509164,80429.64423999288
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39754.44683493605,19616.632254509164,80429.64423999288
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40325.11409119452,19616.632254509164,80429.64423999288
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40325.11409119452,19373.56374785494,80429.64423999288
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893.318803937604,19373.56374785494,80429.64423999288
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38893.318803937604,18095.567277325892,84193.6317858468
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37771.404776988136,18095.567277325892,84193.6317858468
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35148.535621370196,18095.567277325892,84193.6317858468
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.877762337506,20083.51557329727,84193.6317858468
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39982.053997217816,20615.109412339007,81693.44689232648
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42646.230232098125,22098.23572477126,77435.74869664328
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45310.406466978435,24158.33000209731,72458.96472519176
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47974.582701858744,27144.51638029696,67214.30393384708
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50638.758936739054,28146.337311462365,61759.81923976115
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51810.093819867936,28146.337311462365,56702.87367999693
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52710.971807706024,28146.337311462365,52901.92360348439
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49563.315575569555,27480.251464192155,52285.98718233121
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47582.71412204687,23117.40821015934,52285.98718233121
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45083.64336110318,23117.40821015934,56858.65063854947
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41935.98712896671,18858.49798584181,56858.65063854947
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40638.484148385105,16337.702018427834,56858.65063854947
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40091.07161317128,13094.99335949971,56858.65063854947
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39325.1239733171,13094.99335949971,56858.65063854947
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38841.966140216275,13094.99335949971,62010.02990707413
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39667.83424259281,13094.99335949971,62010.02990707413
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41416.812026877305,14929.658024852928,62010.02990707413
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43272.68703457369,16068.9466987811,62010.02990707413
