Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072109,19786.661887533195,80429.64423999288
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072109,57204.58468639775,122500.33086078968
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072109,94622.50748526231,164571.01748158646
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072109,132040.43028412687,206641.7041023833
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39690.56016072109,169458.35308299144,248712.39072318008
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38950.77840431357,152378.28271938005,238319.35727935727
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38210.99664790605,135298.21235576863,227926.32383553445
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37471.21489149852,118218.14199215724,217533.29039171163
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36731.43313509101,101138.07162854585,207140.25694788882
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35991.651378683484,84058.00126493444,196747.223504066
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39200.37014230973,75464.77934657798,213877.95302608452
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42409.08890593597,66871.55742822152,231008.68254810307
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45617.80766956221,58278.33550986506,248139.41207012162
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48826.526433188454,49685.1135915086,265270.14159214013
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98766.83180041045,181983.11337719657,279534.38042753784
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148707.1371676325,314281.1131628845,293798.61926293554
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198647.4425348545,446579.1129485724,308062.85809833324
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248587.7479020765,578877.1127342603,322327.0969337309
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222959.55883302286,547336.913597228,304301.88447278907
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235773.65336754944,578877.1127342603,368804.27287108
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248587.74790207608,610417.3118712927,433306.66126937093
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222959.55883302243,578877.1127342603,415281.4488084291
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197331.36976396877,547336.913597228,397256.2363474873
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171703.18069491515,515796.7144601956,379231.02388654544
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146074.9916258615,484256.51532316324,361205.81142560364
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217003.6888740315,471860.1801030787,371169.76551485824
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220774.45067970917,461844.3842503414,345151.4136653565
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224545.21248538682,451828.588397604,319133.0618158548
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228315.97429106449,441812.7925448666,293114.70996635314
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228788.62915193918,493680.4926502161,299273.7801117277
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229261.28401281382,545548.1927555655,305432.8502571022
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233032.0458184915,535532.3969028281,279414.49840760056
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236802.80762416916,525516.6010500907,253396.14655809887
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240573.56942984686,515500.8051973533,227377.7947085972
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244344.33123552453,505485.009344616,201359.44285909555
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244816.98609639917,557352.7094499654,207518.51300447006
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248587.74790207684,547336.913597228,181500.1611549684
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222959.5588330232,515796.7144601956,163474.9486940266
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235773.65336754982,547336.913597228,227977.3370923174
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248587.74790207646,578877.1127342603,292479.7254906083
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222959.5588330228,547336.913597228,274454.5130296665
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235773.65336754944,578877.1127342603,338956.90142795735
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248587.7479020761,610417.3118712927,403459.2898262482
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222959.55883302246,578877.1127342603,385434.0773653064
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235773.6533675491,610417.3118712927,449936.4657635973
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176993.0370235196,459133.5111324519,357559.7603826961
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118212.42067949013,307849.71039361105,265183.05500179506
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59431.8043354606,156565.90965477022,172806.34962089398
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.187991431108,5282.108915929427,80429.64423999288
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10411.031033753588,8908.247158830369,80429.64423999288
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20170.874076076067,12534.38540173131,80429.64423999288
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29930.71711839855,16160.523644632252,80429.64423999288
