Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0594155549624449e7,4732.443096374386,0.25555056083539207
CT_natural_gas_combined_cycle,2,3.503494540741851e6,1138.6255246114902,0.3512500734672263
ME_natural_gas_combined_cycle,3,915543.0648565307,343.1260414816667,0.30459375233747277
MA_solar_pv,1,1.8358780848521866e7,12041.890320924793,0.17403839285714345
CT_onshore_wind,2,2.940667255195676e7,11198.326061905283,0.29977034709015093
CT_solar_pv,2,2.0534737099572405e7,13171.595171702402,0.17796994518656103
ME_onshore_wind,3,3.751586115333389e7,13577.494404283363,0.31542141902112575
MA_battery,1,6.34717216140333e6,2895.8437335655512,0.0
CT_battery,2,6.1863170674043605e6,6497.372320405344,0.0
ME_battery,3,7.025277118283001e6,5599.325291874628,0.0
