Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.499021929824348e6,7.308975741262239e6,8.300185631241736e6,2.3108183302328322e7
t1,0.0,0.0,0.0,0.0
t2,69.44203719016568,0.0,0.0,69.44203719016568
t3,620.2904959331221,0.0,0.0,620.2904959331221
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,4091.2908107107755,4091.2908107107755
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,2357.9805880079475,2160.813365186282,0.0,4518.79395319423
t10,2895.8437335655512,577.8193902627552,0.0,3473.663123828306
t11,2895.8437335655512,1612.0938178611445,0.0,4507.937551426696
t12,2895.8437335655512,2239.232910137012,0.0,5135.076643702563
t13,2895.8437335655512,3245.854758912661,0.0,6141.698492478212
t14,2895.8437335655512,1088.935794745008,0.0,3984.7795283105593
t15,1273.190090357477,0.0,0.0,1273.190090357477
t16,979.2152041718347,0.0,0.0,979.2152041718347
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,4970.286365454632,4970.286365454632
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,5599.325291874628,5599.325291874628
t25,897.6827199744987,0.0,0.0,897.6827199744987
t26,1901.0628090048858,1994.20072321002,0.0,3895.263532214906
t27,2017.2554431482404,1238.3572542697516,0.0,3255.612697417992
t28,2011.1932187581524,1759.710471145878,0.0,3770.90368990403
t29,1768.7042431546286,2345.6247523978673,5599.325291874628,9713.654287427125
t30,1030.1232382955661,1224.1152566165604,0.0,2254.2384949121265
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,2572.52132302888,2841.8783651461654,5599.325291874628,11013.724980049674
t35,2632.7111552453925,0.0,0.0,2632.7111552453925
t36,2846.7891348686353,0.0,0.0,2846.7891348686353
t37,2743.5700226633558,707.8290925944319,0.0,3451.399115257788
t38,1931.8605108873007,3116.1046056345467,0.0,5047.965116521847
t39,1776.5291579086143,1463.6967137583206,5566.97170528526,8807.197576952196
t40,478.17828378288317,1179.1581593271321,0.0,1657.3364431100154
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,606.2118245373664,0.0,606.2118245373664
t45,0.0,1229.8556259666568,5599.325291874628,6829.180917841285
t46,0.0,988.0818119530747,0.0,988.0818119530747
t47,535.041579771704,786.4079129744753,0.0,1321.4494927461792
t48,1453.4685748700476,2146.595621401758,0.0,3600.0641962718055
t49,2037.4628577818673,2553.8936672550426,0.0,4591.35652503691
