Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,37417.92279886456,42070.6866207968
w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-739.7817564075211,-17080.070363611394,-10393.033443822816
w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.718763626242,-8593.221918356463,17130.729522018526
w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49940.30536722201,132297.99978568795,14264.23883539772
w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25628.189069053642,-31540.199137032374,-18025.21246094183
w6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70928.69724817,-12396.335220084475,9963.954089254543
w7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.65486087464365,51867.700105349446,6159.0701453745405
w8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3770.761805677676,-10015.79585273739,-26018.351849501676
w9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12814.094534526626,31540.199137032374,64502.388398290874
w10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58780.61634402949,-151283.8007388408,-92376.70538090108
w11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9759.84304232248,3626.1382429009423,-0.0
