Zone,1,2,3
t1,6977.615953116165,6892.275640536584,0.1
t2,5905.577182717523,5833.3485295324945,0.1
t3,5905.577182717523,5833.3485295324945,0.1
t4,6977.615953116166,6892.275640536585,0.1
t5,6977.615953116166,6892.275640536585,0.1
t6,6977.615953116166,6892.275640536585,-0.43657153451237646
t7,6977.615953116166,6892.275640536585,0.1
t8,6977.615953116166,6892.275640536585,0.1
t9,5905.577182717523,5833.345142150166,0.1
t10,5905.57375339255,5833.345142150166,-0.18857695476414985
t11,5905.57375339255,5833.345142150166,-0.18857695476414985
t12,5905.57375339255,5833.345142150166,-0.18857695476414985
t13,5905.57375339255,5833.345142150166,-0.18857695476414985
t14,5905.57375339255,5833.345142150166,-0.18857695476414985
t15,5905.577182717523,5833.3485295324945,-0.18857695476414985
t16,5905.577182717523,5833.3485295324945,-0.18857695476414985
t17,6977.615953116166,6892.275640536585,-0.18857695476414985
t18,6977.615953116166,6892.275640536585,0.1
t19,6977.615953116166,6892.275640536585,-0.43657153451237646
t20,6977.615953116166,6892.275640536585,0.1
t21,6977.615953116166,6892.275640536585,0.1
t22,6977.615953116166,6892.275640536585,0.1
t23,6977.615953116166,6892.275640536585,0.1
t24,6977.615953116166,6892.275640536585,0.1
t25,5905.577182717523,5833.3485295324945,0.1
t26,5905.577182717523,5833.345142150166,0.1
t27,5905.577182717523,5833.345142150166,0.1
t28,5905.577182717523,5833.345142150166,0.1
t29,5905.577182717523,5833.345142150166,0.1
t30,5905.577182717523,5833.345142150166,0.1
t31,6977.615953116166,6892.275640536585,0.1
t32,6977.615953116166,6892.275640536585,0.1
t33,6977.615953116166,6892.275640536585,0.1
t34,5905.577182717523,5833.345142150166,0.1
t35,5905.577182717523,5833.3485295324945,0.1
t36,5905.577182717523,5833.3485295324945,0.1
t37,5905.577182717523,5833.345142150166,0.1
t38,5905.577182717523,5833.345142150166,0.1
t39,5905.577182717523,5833.345142150166,-0.43657153451237646
t40,5905.577182717523,5833.345142150166,0.1
t41,6977.615953116166,6892.275640536585,0.1
t42,6977.615953116166,6892.275640536585,0.1
