Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.2730731019496622e9,2.9918205710525293e9,2.283391530930656e9,6.548285203932848e9
t1,39690.56016072109,131870.40065110283,206641.7041023833,378202.6649142072
t2,39754.44683493605,131870.40065110283,206641.7041023837,378266.55158842256
t3,40325.11409119451,131870.40065110283,206641.7041023837,378837.21884468105
t4,40325.11409119451,131627.33214444862,206641.7041023837,378594.1503380268
t5,38893.3188039376,131627.33214444862,206641.7041023837,377162.3550507699
t6,38893.3188039376,130349.33567391957,210405.6916482376,379648.3461260948
t7,37771.40477698813,130349.33567391957,210405.6916482376,378526.4320991453
t8,35148.53562137019,130349.33567391957,210405.6916482376,375903.56294352736
t9,37317.8777623375,132337.28396989097,210405.6916482376,380060.8533804661
t10,39982.0539972178,132868.87780893268,207905.5067547173,380756.4385608678
t11,42646.2302320981,134352.00412136497,203647.80855903408,380646.0429124972
t12,45310.40646697841,136412.098398691,198671.02458758256,380393.529453252
t13,47974.58270185872,139398.28477689065,193426.36379623789,380799.2312749872
t14,50638.75893673903,140400.10570805607,187971.879102152,379010.7437469471
t15,51810.09381986791,140400.10570805607,182914.93354238776,375125.13307031174
t16,52710.971807705995,140400.10570805607,179113.9834658752,372225.0609816373
t17,49563.315575569526,139734.01986078586,178498.047044722,367795.3824810774
t18,47582.71412204684,135371.17660675303,178498.047044722,361451.9377735219
t19,45083.643361103146,135371.17660675303,183070.7105009403,363525.5304687965
t20,41935.98712896668,131112.2663824355,183070.7105009403,356118.9640123425
t21,40638.484148385076,128591.47041502154,183070.7105009403,352300.6650643469
t22,40091.071613171254,125348.76175609343,183070.7105009403,348510.54387020494
t23,39325.123973317066,125348.76175609343,183070.7105009403,347744.5962303508
t24,38841.966140216246,125348.76175609343,188222.08976946495,352412.8176657746
t25,39667.834242592784,125348.76175609343,188222.08976946495,353238.6857681512
t26,41416.81202687728,127183.42642144664,188222.08976946495,356822.32821778883
t27,43272.68703457366,128322.7150953748,188222.08976946495,359817.4918994134
t28,45122.98479583116,129941.64872882902,188222.08976946495,363286.7232941252
t29,46750.192699533414,132099.62350103506,193373.46903798962,372223.2852385581
t30,47697.906078765336,133225.8095371223,193373.46903798962,374297.1846538773
t31,45645.758725015905,133225.8095371223,193373.46903798962,372245.0373001278
t32,42498.102492879436,128514.1180379286,193373.46903798962,364385.68956879765
t33,39350.44626074296,127756.94632889982,193373.46903798962,360480.8616276324
t34,41717.16587792953,130371.4744248343,198524.8483065143,370613.4886092781
t35,44139.260140755294,130371.4744248343,198524.8483065143,373035.5828721039
t36,46758.306144834445,130371.4744248343,198524.8483065143,375654.62887618307
t37,49282.39056568473,131022.67719002118,198524.8483065143,378829.91606222023
t38,51059.70223570104,133889.49342720493,198524.8483065143,383474.04396942025
t39,52694.10906097697,135236.0944038626,203646.46227537675,391576.6657402163
t40,53134.03308205722,136320.91991044357,203646.46227537675,393101.4152678775
t41,49986.37684992075,134245.2505142669,203646.46227537675,387878.0896395644
t42,47465.44670075978,133104.33054292775,203646.46227537675,384216.2395190643
t43,44818.87223388733,133104.33054292775,203646.46227537675,381569.6650521918
t44,42822.89557357818,133662.04542150215,203646.46227537675,380131.40327045706
t45,41424.355519828445,134793.51259739147,208797.8415439014,385015.7096611213
t46,40904.39871101901,135702.5478643883,208797.8415439014,385404.78811930865
t47,41396.63696440897,136426.0431443248,208797.8415439014,386620.5216526352
t48,42733.82805328941,138400.9111160144,208797.8415439014,389932.5807132052
t49,44608.293882448736,140750.49328988904,208797.8415439014,394156.6287162391
t50,46822.97174437979,143237.93853078972,213949.22081242607,404010.1310875956
t51,49204.037458404135,145807.65146875495,213949.22081242607,408960.9097395851
t52,51627.86206179324,146924.86217568765,213949.22081242607,412501.94504990696
t53,51995.927979448556,146924.86217568765,213949.22081242607,412870.01096756227
t54,50116.1889457625,146924.86217568765,213949.22081242607,410990.2719338762
t55,46968.53271362603,146565.06462476024,213949.22081242607,407482.81815081235
t56,43820.87648148957,145912.27058961728,219100.60008095074,408833.7471520576
t57,44538.401586533,147030.1301763949,219100.60008095074,410669.13184387865
t58,47202.57782141331,149960.9656947913,219100.60008095074,416264.14359715534
t59,49866.75405629361,155938.5482295642,219100.60008095074,424905.90236680856
t60,52530.93029117392,161916.13076433714,219100.60008095074,433547.6611364618
t61,55195.10652605423,167893.71329911007,224251.97934947538,447340.7991746397
t62,57859.28276093453,173871.295833883,224251.97934947538,455982.5579442929
t63,60523.45899581484,179848.8783686559,224251.97934947538,464624.3167139461
t64,63187.63523069515,181358.26674828562,224251.97934947538,468797.88132845616
t65,64387.74375124791,184865.43393268282,224251.97934947538,473505.1570334061
t66,61240.08751911144,184217.20105300375,224251.97934947538,469709.2679215906
t67,59627.392799407506,182345.97504172058,229403.35861800006,471376.72645912814
t68,56479.73656727103,180589.2888677098,229403.35861800006,466472.3840529809
t69,53332.08033513456,178520.1397294984,229403.35861800006,461255.578682633
t70,52897.16955099502,178520.1397294984,229403.35861800006,460820.66789849347
t71,53681.283701353095,179089.08437116462,229403.35861800006,462173.72669051774
t72,55244.35327100822,180482.58980799618,229403.35861800006,465130.30169700447
t73,57308.445479089496,182177.886228665,234554.73788652473,474041.0695942793
t74,59624.443317993566,182334.58980607972,234554.73788652473,476513.77101059805
t75,62052.9156267484,182998.09282386172,234554.73788652473,479605.74633713486
t76,64475.81068906435,185371.94489458442,234554.73788652473,484402.4934701735
t77,66685.84084562967,187721.1717998929,234554.73788652473,488961.75053204736
t78,68207.0810669932,187811.116234781,234554.73788652473,490572.9351882989
t79,68424.1751627317,189444.12557285343,234554.73788652473,492423.03862210986
t80,67376.70198564482,189444.12557285343,239706.11715504937,496526.9447135476
t81,69230.6374593052,191457.67861815504,239706.11715504937,500394.43323250965
t82,71894.81369418552,195448.74432040463,239706.11715504937,507049.6751696395
t83,74558.98992906582,201426.32685517755,239706.11715504937,515691.4339392928
t84,77223.16616394614,207403.90938995048,239706.11715504937,524333.192708946
t85,79887.34239882644,213381.4919247234,239706.11715504937,532974.9514785992
t86,82551.51863370673,219359.07445949633,244857.49642357405,546768.0895167771
