Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04475749095197589,0.04712521365607905,0.31149079838301785
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6419.268676866873,-6340.755589293659,0.31149079838301785
