region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,4.212900987973096e8,0.0,0.0,6.626622700807222e7,0.0,0.0,3.774756497302413e7,2.1829650523654428e8,0.0,7.428347693874429e6,0.0,0.0,1.909702057776014e9,0.0,0.0,0.0,0.0,0.0,1.1586733140671737e9,0.0,1.909702057776014e9,1.909702057775998e9,1.5974044799804688e-5
CT,CT_natural_gas_combined_cycle,2,1,2,8.473160257183014e7,0.0,0.0,1.2564634277394626e7,0.0,0.0,1.2542089146765996e7,5.995019586931289e7,0.0,2.5209011284556733e6,0.0,0.0,5.618674225721465e8,0.0,0.0,0.0,0.0,0.0,3.8955799957839113e8,0.0,5.618674225721465e8,5.618674225721505e8,-3.933906555175781e-6
ME,ME_natural_gas_combined_cycle,3,1,3,2.6187039318486515e7,0.0,0.0,6.523135436352658e6,0.0,0.0,4.120176042747258e6,2.450803376872638e7,0.0,806418.9610356903,0.0,0.0,1.454630243436225e8,0.0,0.0,0.0,0.0,0.0,8.331822081627448e7,0.0,1.454630243436225e8,1.4546302434362298e8,-4.76837158203125e-7
MA,MA_solar_pv,1,1,4,1.3310124102679584e9,0.0,0.0,2.9272910687722045e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6237415171451812e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6237415171451812e9,1.6237415171451788e9,2.384185791015625e-6
CT,CT_onshore_wind,2,1,5,1.0036798621824088e9,0.0,0.0,4.4613156837027746e8,0.0,0.0,2.485922146841809e6,0.0,0.0,0.0,0.0,0.0,1.4522973526995282e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4522973526995282e9,1.452297352699528e9,2.384185791015625e-7
CT,CT_solar_pv,2,1,6,1.2524148587156587e9,0.0,0.0,2.754431740856479e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527858032801305e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527858032801305e9,1.5278580328013065e9,-1.430511474609375e-6
ME,ME_onshore_wind,3,1,7,1.2729786173844504e9,0.0,0.0,5.658337568322549e8,0.0,0.0,3.5209499514799314e6,0.0,0.0,0.0,0.0,0.0,1.8423333241681888e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8423333241681888e9,1.8423333241681852e9,3.5762786865234375e-6
MA,MA_battery,1,0,8,6.021982643004213e7,6.887888643959069e7,0.0,1.5051881657223051e7,1.7219721609897673e7,0.0,1.0494052484977162e6,0.0,1.2398455204368115e6,0.0,5.411704222408894e8,0.0,7.04829989146575e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04829989146575e8,7.048299891465776e8,-2.6226043701171875e-6
CT,CT_battery,2,0,9,1.1656754679955518e8,1.3332889339818406e8,0.0,2.9135934517147806e7,3.3332223349546015e7,0.0,1.1047057338060914e6,0.0,1.3051816325686327e6,0.0,4.762221712177709e8,0.0,7.909966566485786e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.909966566485786e8,7.909966566485786e8,0.0
ME,ME_battery,3,0,10,9.028618603616346e7,1.0326851344005623e8,0.0,2.2566936307548e7,2.581712836001406e7,0.0,901622.025749677,0.0,1.0652434141654957e6,0.0,3.123711563218799e8,0.0,5.562767859055767e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.562767859055767e8,5.562767859055768e8,-1.1920928955078125e-7
