Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,6441.74462992828,6441.74462992828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,1295.590253391898,1295.590253391898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,400.41344523679686,400.41344523679686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,15603.896955075716,15603.896955075716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,10325.924508049473,10325.924508049473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,14682.471966185918,14682.471966185918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,13096.487833173358,13096.487833173358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,3074.9502874817267,3074.9502874817267,0.0,0.0,0.0,307495.0287481727,307495.0287481727,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,5952.182740990359,5952.182740990359,0.0,0.0,0.0,595218.274099036,595218.274099036,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,4610.201492859654,4610.201492859654,0.0,0.0,0.0,461020.14928596537,461020.14928596537,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,75483.86411237318,75483.86411237318,n/a,0.0,0.0,1.363733452133174e6,1.363733452133174e6,0.0,0.0,0.0,0.0
