Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0633116893809615e7,6441.74462992828,0.18843127121042644
CT_natural_gas_combined_cycle,2,3.5131902371893544e6,1295.590253391898,0.30954934462067946
ME_natural_gas_combined_cycle,3,915594.6761660576,400.41344523679686,0.2610300464306184
MA_solar_pv,1,2.377254814402264e7,15603.896955075716,0.1739156065608862
CT_onshore_wind,2,2.4859221468418088e7,10325.924508049473,0.2748238831010782
CT_solar_pv,2,2.2918470989228845e7,14682.471966185918,0.17818960033304523
ME_onshore_wind,3,3.520949951479932e7,13096.487833173358,0.30690283615575914
MA_battery,1,6.996034989984775e6,3074.9502874817267,0.0
CT_battery,2,7.364704892040609e6,5952.182740990359,0.0
ME_battery,3,6.010813504997847e6,4610.201492859654,0.0
