Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,8.265636802912082e6,8.701210883790882e6,7.101622761103338e6,2.40684704478063e7
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,39.29673983487478,0.0,0.0,39.29673983487478
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,1125.9400478456507,1125.9400478456507
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,2113.3157197132723,2910.5178983682185,0.0,5023.833618081491
t10,3074.9502874817267,691.3926495388258,0.0,3766.3429370205527
t11,3074.9502874817267,336.8079322956048,0.0,3411.7582197773318
t12,3074.9502874817267,1380.658427244544,0.0,4455.608714726271
t13,3074.9502874817267,1945.9561702675935,0.0,5020.90645774932
t14,3074.9502874817267,30.45467141090974,0.0,3105.4049588926364
t15,363.30138396632196,0.0,0.0,363.30138396632196
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,316.19654460294674,0.0,0.0,316.19654460294674
t26,881.661497782429,2232.1315791398124,0.0,3113.793076922241
t27,997.8541319258204,1537.6910868162925,0.0,2535.545218742113
t28,991.7919075356922,2018.2710153437151,0.0,3010.0629228794073
t29,749.3029319321735,2553.186420388353,4610.201492859654,7912.69084518018
t30,10.721927073120696,1502.6725033042148,0.0,1513.3944303773355
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,2705.429157954227,3714.236556853453,0.0,6419.665714807679
t35,3074.9502874817267,910.8742073729017,0.0,3985.8244948546285
t36,3074.9502874817267,1471.671123558905,0.0,4546.621411040632
t37,2916.0161312277733,1638.2143980952133,0.0,4554.2305293229865
t38,1841.7867305148125,3895.7917143238624,0.0,5737.578444838675
t39,1605.2416262775305,2167.0100579632426,0.0,3772.251684240773
t40,0.0,1963.4181698919804,0.0,1963.4181698919804
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,99.34467317780982,0.0,99.34467317780982
t44,0.0,869.0590254374735,0.0,869.0590254374735
t45,0.0,1456.3994920212035,0.0,1456.3994920212035
t46,0.0,1251.4107337983864,4610.201492859654,5861.6122266580405
t47,0.0,1088.0428136695039,0.0,1088.0428136695039
t48,434.0672636476113,2362.6558798588935,0.0,2796.723143506505
t49,1018.061546559416,2751.2134718634957,0.0,3769.2750184229117
t50,1387.8572343547607,2897.5781381876945,0.0,4285.435372542455
t51,1568.7135953257325,2984.12700889218,0.0,4552.840604217912
t52,1615.190648983052,1529.3400592550563,0.0,3144.530708238108
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,119.5675499384601,1858.189296185043,0.0,1977.7568461235032
t58,3074.9502874817267,4520.835306198675,0.0,7595.785593680403
t59,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t60,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t61,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t62,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t63,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t64,3074.9502874817267,3163.3397439398486,0.0,6238.290031421575
t65,837.5317009438277,4302.113133449725,0.0,5139.644834393553
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,25.707879677554477,0.0,25.707879677554477
t71,0.0,940.1468783579717,0.0,940.1468783579717
t72,679.5873514461633,1785.4014159324115,0.0,2464.9887673785747
t73,1224.1771758224133,2100.0037052537764,0.0,3324.1808810761895
t74,1497.987644108024,564.0473207832902,0.0,2062.0349648913143
t75,1620.2425026414817,1074.6777479532311,0.0,2694.920250594713
t76,1614.1802782514153,2788.764779519771,0.0,4402.945057771186
t77,1382.805380696331,2758.96627424225,0.0,4141.771654938581
t78,634.1206685204803,477.9267440628141,0.0,1112.0474125832943
t79,0.0,1992.9365557205276,4610.201492859654,6603.138048580181
t80,0.0,0.0,0.0,0.0
t81,1775.4691949718285,2800.793151726741,0.0,4576.26234669857
t82,3074.9502874817267,5615.228354229229,0.0,8690.178641710956
t83,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t84,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t85,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t86,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t87,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t88,3074.9502874817267,4469.07002959392,0.0,7544.020317075647
t89,246.0832781108395,0.0,0.0,246.0832781108395
t90,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,4610.201492859654,4610.201492859654
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,1140.7985469989758,0.0,0.0,1140.7985469989758
t107,3074.9502874817267,1675.7192336689864,0.0,4750.669521150713
t108,3074.9502874817267,0.0,0.0,3074.9502874817267
t109,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0
t119,0.0,0.0,3049.64727103531,3049.64727103531
t120,0.0,0.0,0.0,0.0
t121,901.8689124160247,127.71875354251705,0.0,1029.5876659585417
t122,1233.2705124075128,1554.4999383679014,0.0,2787.7704507754142
t123,1385.836492891364,1575.0157704139972,0.0,2960.8522633053612
t124,1440.3965124022084,504.75104759361767,0.0,1945.147559995826
t125,654.0477067433229,0.0,0.0,654.0477067433229
t126,578.5502782779995,194.4259013784855,0.0,772.976179656485
t127,0.0,493.91228575539793,0.0,493.91228575539793
t128,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0
t135,0.0,0.0,4610.201492859654,4610.201492859654
t136,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0
t139,0.0,511.1936442774212,0.0,511.1936442774212
t140,0.0,1819.7424015699353,0.0,1819.7424015699353
t141,0.0,2443.308619058552,0.0,2443.308619058552
t142,0.0,2602.1949538068584,0.0,2602.1949538068584
t143,0.0,2812.3905761881465,0.0,2812.3905761881465
t144,413.85984901398473,3024.607310323102,0.0,3438.4671593370867
t145,1011.9993221693497,3195.391253507899,0.0,4207.390575677248
t146,1372.701673379595,3298.4679529448763,0.0,4671.169626324471
t147,1556.589146545538,3352.0274144170326,0.0,4908.6165609625705
t148,1625.2943562999117,3364.863365335986,0.0,4990.157721635898
t149,1560.6306294722694,2994.3969390648376,0.0,4555.027568537107
t150,1257.5194099679018,1130.3500575469104,0.0,2387.869467514812
t151,0.0,0.0,0.0,0.0
t152,0.0,0.0,4610.201492859654,4610.201492859654
t153,3074.9502874817267,1794.2453136489985,0.0,4869.195601130725
t154,3074.9502874817267,1536.0180623733077,0.0,4610.968349855035
t155,3074.9502874817267,3124.3897171467843,0.0,6199.340004628511
t156,3074.9502874817267,3460.114224664018,0.0,6535.064512145745
t157,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t158,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t159,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t160,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t161,1380.6755868898172,5157.143999484608,0.0,6537.819586374425
t162,0.0,1111.8807719922518,0.0,1111.8807719922518
t163,0.0,562.3099904749562,0.0,562.3099904749562
t164,0.0,0.0,0.0,0.0
t165,0.0,1438.8916742163883,0.0,1438.8916742163883
t166,0.0,2692.6126651777904,0.0,2692.6126651777904
t167,0.0,2869.110507165524,0.0,2869.110507165524
t168,633.1102977893999,3001.2124898357147,0.0,3634.3227876251144
t169,688.6806880312868,3103.4306687160865,578.9803355568779,4371.091692304251
t170,931.1696636348095,3172.148468340736,0.0,4103.318131975546
t171,1014.0200636326804,3195.391253507899,4610.201492859654,8819.612810000232
t172,1006.9474685109108,3194.3806976310657,0.0,4201.328166141977
t173,901.8689124160502,3164.064021326072,4610.201492859654,8676.134426601777
t174,659.3799368125275,3094.3356658245875,0.0,3753.715602637115
t175,266.3457221884844,2834.4239605826306,0.0,3100.769682771115
t176,458.15259442786703,2498.6536309368857,4610.201492859654,7567.007718224406
t177,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t178,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t179,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t180,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t181,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t182,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t183,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t184,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t185,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t186,0.0,3261.045490870299,0.0,3261.045490870299
t187,0.0,2028.1992157656443,4610.201492859654,6638.400708625298
t188,0.0,1885.183149818344,0.0,1885.183149818344
t189,0.0,2203.025382457774,4610.201492859654,6813.226875317428
t190,0.0,2369.752236453858,0.0,2369.752236453858
t191,0.0,0.0,4610.201492859654,4610.201492859654
t192,0.0,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0
t194,0.0,0.0,4610.201492859654,4610.201492859654
t195,0.0,0.0,0.0,0.0
t196,0.0,0.0,4605.9995593060885,4605.9995593060885
t197,289.58424901715495,678.4897879873357,0.0,968.0740370044907
t198,0.0,2055.5017972356263,3693.1944715646605,5748.696268800287
t199,0.0,2190.409806507463,0.0,2190.409806507463
t200,0.0,1050.9388615561043,0.0,1050.9388615561043
t201,1695.1332282850492,5718.348734369525,3891.7118599024284,11305.193822557003
t202,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t203,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t204,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t205,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t206,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t207,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t208,3074.9502874817267,5952.182740990359,4610.201492859654,13637.33452133174
t209,3074.9502874817267,5952.182740990359,0.0,9027.133028472086
t210,0.0,0.0,0.0,0.0
t211,0.0,0.0,4599.759241953336,4599.759241953336
t212,0.0,0.0,1877.214768637903,1877.214768637903
t213,0.0,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0
t215,0.0,843.9381601744022,0.0,843.9381601744022
t216,84.28499930535878,722.313805702294,0.0,806.5988050076528
t217,633.9266773400124,1991.6372475739247,0.0,2625.563924913937
t218,915.8201114791066,970.5086377305498,0.0,1886.3287492096565
t219,0.0,0.0,0.0,0.0
t220,0.0,0.0,2826.8105028274704,2826.8105028274704
t221,0.0,0.0,0.0,0.0
t222,0.0,0.0,3533.0915274346976,3533.0915274346976
t223,0.0,0.0,0.0,0.0
t224,0.0,0.0,0.0,0.0
t225,0.0,0.0,0.0,0.0
t226,526.0449553074258,0.0,0.0,526.0449553074258
t227,3074.9502874817267,398.2771386293748,0.0,3473.2274261111015
t228,3074.9502874817267,1575.9112640708254,0.0,4650.861551552553
t229,3074.9502874817267,2845.406805856619,0.0,5920.357093338345
t230,3074.9502874817267,5751.131739100321,0.0,8826.082026582048
t231,3074.9502874817267,1015.8739560175869,0.0,4090.8242434993135
t232,2342.07472557448,0.0,0.0,2342.07472557448
t233,0.0,0.0,2920.1462440964797,2920.1462440964797
t234,0.0,0.0,0.0,0.0
t235,0.0,0.0,4610.201492859654,4610.201492859654
t236,0.0,0.0,0.0,0.0
t237,0.0,0.0,3962.0106637328254,3962.0106637328254
t238,0.0,0.0,1908.4801011793022,1908.4801011793022
t239,0.0,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0
t241,0.0,0.0,1313.7574057929858,1313.7574057929858
t242,0.0,0.0,0.0,0.0
t243,0.0,0.0,0.0,0.0
t244,0.0,0.0,0.0,0.0
t245,0.0,0.0,0.0,0.0
t246,0.0,0.0,0.0,0.0
t247,0.0,0.0,0.0,0.0
t248,0.0,0.0,0.0,0.0
t249,0.0,0.0,0.0,0.0
t250,0.0,0.0,0.0,0.0
t251,2585.7815227300057,0.0,0.0,2585.7815227300057
t252,2438.8859345481947,0.0,0.0,2438.8859345481947
t253,3012.450002346452,0.0,0.0,3012.450002346452
t254,3074.9502874817267,35.23812264300435,0.0,3110.188410124731
t255,3074.9502874817267,1750.9693422332177,0.0,4825.919629714945
t256,2874.642543333637,0.0,0.0,2874.642543333637
t257,0.0,0.0,0.0,0.0
t258,0.0,0.0,0.0,0.0
t259,0.0,0.0,0.0,0.0
t260,0.0,0.0,0.0,0.0
t261,0.0,0.0,0.0,0.0
t262,0.0,0.0,0.0,0.0
t263,0.0,0.0,0.0,0.0
