Costs,Total,Zone1,Zone2,Zone3
cTotal,8.215781786983207e9,2.5384298277596917e9,3.467239293925401e9,2.148383757279231e9
cFix,7.773459770470291e9,2.2726681590873146e9,3.3873302982676506e9,2.1134613131153264e9
cVar,6.7082705836082906e7,4.00368157419586e7,1.7437898659982536e7,9.607991434142396e6
cFuel,3.027547348745843e8,2.1829650523654428e8,5.995019586931289e7,2.450803376872638e7
cNSE,0.0,0.0,0.0,0.0
cStart,1.0755667783365792e7,7.428347693874429e6,2.5209011284556733e6,806418.9610356903
cUnmetRsv,0.0,-,-,-
cNetworkExp,6.1728908018859655e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
