Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,16783.67569717418,3.328466554644013e6,69289.23910719049,1.1432837101616105e7,0.0,0.0,0.0,1.4847376571064483e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,3290.661809243365,0.0,0.0,0.0,3290.661809243365
t2,0.0,0.0,0.0,0.0,0.0,0.0,3473.762477183225,0.0,0.0,0.0,3473.762477183225
t3,0.0,0.0,0.0,0.0,0.0,0.0,3825.871690360919,0.0,0.0,0.0,3825.871690360919
t4,0.0,0.0,0.0,0.0,0.0,0.0,1763.9688159357138,0.0,0.0,0.0,1763.9688159357138
t5,0.0,0.0,0.0,0.0,0.0,0.0,993.8021570007392,0.0,0.0,0.0,993.8021570007392
t6,0.0,0.0,0.0,0.0,0.0,0.0,3761.514434295373,0.0,0.0,0.0,3761.514434295373
t7,0.0,0.0,0.0,0.0,0.0,0.0,3571.2348968014257,0.0,0.0,0.0,3571.2348968014257
t8,0.0,0.0,0.0,0.0,0.0,0.0,1935.4452821004022,0.0,0.0,0.0,1935.4452821004022
t9,0.0,0.0,0.0,0.0,0.0,0.0,1735.560781782474,0.0,0.0,0.0,1735.560781782474
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,2898.905610277719,0.0,0.0,0.0,2898.905610277719
t19,0.0,0.0,0.0,0.0,0.0,0.0,4594.837717171797,0.0,0.0,0.0,4594.837717171797
t20,0.0,0.0,0.0,0.0,0.0,0.0,5073.150408096332,0.0,0.0,0.0,5073.150408096332
t21,0.0,0.0,0.0,0.0,0.0,0.0,4722.475018362192,0.0,0.0,0.0,4722.475018362192
t22,0.0,0.0,0.0,0.0,0.0,0.0,5200.011190725637,0.0,0.0,0.0,5200.011190725637
t23,0.0,0.0,0.0,0.0,0.0,0.0,4839.669602844762,0.0,0.0,0.0,4839.669602844762
t24,0.0,0.0,0.0,0.0,0.0,0.0,5297.370851629222,0.0,0.0,0.0,5297.370851629222
t25,0.0,0.0,0.0,0.0,0.0,0.0,5739.344089155324,0.0,0.0,0.0,5739.344089155324
t26,0.0,0.0,0.0,0.0,0.0,0.0,5685.246591406711,0.0,0.0,0.0,5685.246591406711
t27,0.0,0.0,0.0,0.0,0.0,0.0,6398.085268738703,0.0,0.0,0.0,6398.085268738703
t28,0.0,0.0,0.0,0.0,0.0,0.0,7018.207482681735,0.0,0.0,0.0,7018.207482681735
t29,0.0,0.0,0.0,0.0,0.0,0.0,2039.4181699342048,0.0,0.0,0.0,2039.4181699342048
t30,0.0,0.0,0.0,0.0,0.0,0.0,6119.309778010644,0.0,0.0,0.0,6119.309778010644
t31,0.0,0.0,0.0,0.0,0.0,0.0,5734.928384422384,0.0,0.0,0.0,5734.928384422384
t32,0.0,0.0,0.0,0.0,0.0,0.0,7075.95297337145,0.0,0.0,0.0,7075.95297337145
