Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0633116893809615e7,3.5131902371893544e6,915594.6761660575,2.377254814402264e7,2.4859221468418088e7,2.291847098922884e7,3.520949951479931e7,6.996034989984775e6,7.364704892040609e6,6.010813504997847e6,1.4219319531065714e8
t1,-0.0,-0.0,-0.0,-0.0,6753.160617300571,-0.0,5246.691072485813,46.86920463273306,679.5288444141067,0.0,12726.249738833223
t2,-0.0,-0.0,-0.0,-0.0,6615.119858536746,-0.0,5207.286928752803,0.0,488.5866671365229,0.0,12310.993454426072
t3,-0.0,-0.0,-0.0,-0.0,6961.910002799675,-0.0,5187.079675556388,0.0,0.0,0.0,12148.989678356062
t4,-0.0,-0.0,-0.0,-0.0,6104.215056468037,-0.0,5178.996774277821,0.0,739.3469882892838,0.0,12022.558819035143
t5,-0.0,-0.0,-0.0,-0.0,5146.598668523509,-0.0,6313.019723402039,0.0,1768.38017845531,0.0,13227.99857038086
t6,-0.0,-0.0,-0.0,-0.0,5566.783976604676,-0.0,5217.390555351009,0.0,1646.0750267985347,0.0,12430.249558754222
t7,-0.0,-0.0,-0.0,-0.0,6173.732742700182,-0.0,5273.9708643009735,246.92260950564028,1316.5584039939838,0.0,13011.18462050078
t8,-0.0,-0.0,-0.0,-0.0,5416.14879097763,-0.0,5334.592623890218,691.4857314454323,2200.461840320675,0.0,13642.688986633955
t9,-0.0,-0.0,-0.0,3393.8475877289684,7379.578635256041,3315.3021699647807,5414.411274016059,0.0,0.0,0.0,19503.13966696585
t10,-0.0,-0.0,-0.0,6367.9503473664,2078.4442250781153,6501.398586627125,3051.6675828706725,0.0,0.0,729.7607357456824,18729.221477687996
t11,-0.0,-0.0,-0.0,8758.467360884,133.97481240361026,8131.15297487376,1510.5541059838847,0.0,0.0,0.0,18534.149254145257
t12,-0.0,-0.0,-0.0,8304.393959491297,357.6276667007296,8951.903157783554,871.4575092043681,0.0,0.0,1097.5370155254866,19582.919308705434
t13,-0.0,-0.0,-0.0,8861.453080787498,854.4747138404814,8896.109764312048,625.9450906009563,0.0,0.0,808.7698863445282,20046.752535885513
t14,-0.0,-0.0,-0.0,8187.3647323282285,373.58249015438054,7545.322343422944,429.0255530415552,0.0,0.0,1493.8037916649673,18029.098910612072
t15,-0.0,-0.0,-0.0,6598.88802230152,63.04041965488604,6213.622136089881,777.9064415776631,0.0,0.0,1577.985684884777,15231.442704508727
t16,-0.0,-0.0,-0.0,4859.053511810578,1794.805153077101,5329.737323725488,1895.4098155278637,0.0,0.0,1036.8733947336132,14915.879198874645
