BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,3.440566503783223e7,6.996034989984775e6,-8.265636802912082e6,0.0,0.0,0.0,0.0,4.976830870652059e7,-410057.9314254284,-8.249431400000015e7,5.129088269483622e7,7.364704892040609e6,-8.701210883790882e6,0.0,0.0,0.0,0.0,-2.6227981179513056e7,-162319.52357284748,-2.3564075999999933e7,3.612509419096534e7,6.010813504997847e6,-7.101622761103338e6,0.0,0.0,0.0,0.0,-2.3540327527007338e7,-247738.40785257667,-1.1246219000000006e7
t1,0.0,46.86920463273306,-0.0,0.0,0.0,0.0,0.0,8874.287563752872,-69.29878812533498,-8851.857980260273,6753.160617300571,679.5288444141067,-0.0,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-2528.4108038364684,5246.691072485813,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8629.675289002422,-67.79370873469584,-8561.881580267725,6615.119858536746,488.5866671365229,-0.0,0.0,0.0,0.0,0.0,-4629.675289002421,-28.486014734695843,-2445.5452219361523,5207.286928752803,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-39.29673983487478,0.0,0.0,0.0,0.0,8528.920934533717,-67.1737754031298,-8422.4504192957,6961.910002799675,0.0,-0.0,0.0,0.0,0.0,0.0,-4528.920934533718,-27.866081403129797,-2405.1229868628275,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8427.366725293481,-66.54892063034268,-8360.817804663138,6104.215056468037,739.3469882892838,-0.0,0.0,0.0,0.0,0.0,-4427.366725293481,-27.24122663034268,-2388.9540928334977,5178.996774277821,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8483.281152449219,-66.8929575436061,-8416.388194905612,5146.598668523509,1768.38017845531,-0.0,0.0,0.0,0.0,0.0,-4483.281152449218,-27.585263543606118,-2404.1124309859947,6313.019723402039,0.0,-1125.9400478456507,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8714.05524271017,-68.3128917128934,-8645.742350997278,5566.783976604676,1646.0750267985347,-0.0,0.0,0.0,0.0,0.0,-4714.055242710171,-29.005197712893406,-2469.7985629801474,5217.390555351009,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,246.92260950564028,-0.0,0.0,0.0,0.0,0.0,8874.287563752872,-69.29878812533498,-9051.911385133179,6173.732742700182,1316.5584039939838,-0.0,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-2586.012488815956,5273.9708643009735,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,691.4857314454323,-0.0,0.0,0.0,0.0,0.0,8874.287563752872,-69.29878812533498,-9496.474507072971,5416.14879097763,2200.461840320675,-0.0,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-2712.3319734200963,5334.592623890218,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
t9,3393.8475877289684,0.0,-2113.3157197132723,0.0,0.0,0.0,0.0,8874.287563752872,-69.29878812533498,-10085.520643643194,10694.88080522082,0.0,-2910.5178983682185,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-2880.0842489743945,5414.411274016059,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1375.1035800160596
t10,6367.9503473664,0.0,-3074.9502874817267,0.0,0.0,0.0,0.0,7208.169651289706,-52.925974857579746,-10448.2437363168,8579.84281170524,0.0,-691.3926495388258,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-2984.171504288206,3051.6675828706725,729.7607357456824,-0.0,0.0,0.0,0.0,0.0,-2333.882087536833,-22.93488073224476,-1424.611350347277
t11,8758.467360884,0.0,-3074.9502874817267,0.0,0.0,0.0,0.0,4938.830365828363,-30.63105901508678,-10591.71638021555,8265.12778727737,0.0,-336.8079322956048,0.0,0.0,0.0,0.0,-4872.734024419009,-29.981535324427178,-3025.604295238364,1510.5541059838847,0.0,-0.0,0.0,0.0,0.0,0.0,-66.09634140935393,-0.6495236906596032,-1443.8082408838713
t12,8304.393959491297,0.0,-3074.9502874817267,0.0,0.0,0.0,0.0,5395.363635563315,-35.111668820696714,-10589.695638752188,9309.530824484284,0.0,-1380.658427244544,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-3024.593739361531,871.4575092043681,1097.5370155254866,-0.0,0.0,0.0,0.0,0.0,-521.0760718104424,-5.120574695361723,-1442.7978782240507
t13,8861.453080787498,0.0,-3074.9502874817267,0.0,0.0,0.0,0.0,4768.882031828446,-29.342542477954833,-10526.042282656263,9750.584478152528,0.0,-1945.9561702675935,0.0,0.0,0.0,0.0,-4768.882031828446,-29.342542477954833,-3006.4037335785347,625.9450906009563,808.7698863445282,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1434.7149769454845
t14,8187.3647323282285,0.0,-3074.9502874817267,0.0,0.0,0.0,0.0,5368.657782452104,-34.84923244517059,-10446.222994853435,7918.904833577325,0.0,-30.45467141090974,0.0,0.0,0.0,0.0,-4874.287563752873,-29.991094125334985,-2984.171504288206,429.0255530415552,1493.8037916649673,-0.0,0.0,0.0,0.0,0.0,-494.3702186992307,-4.858138319835609,-1423.6009876874562
t15,6598.88802230152,0.0,-363.30138396632196,0.0,0.0,0.0,0.0,4208.616753799244,-29.301889963081756,-10414.901502171315,6276.662555744767,0.0,-0.0,0.0,0.0,0.0,0.0,-3281.395892853099,-20.190161494959852,-2975.076501396708,777.9064415776631,1577.985684884777,-0.0,0.0,0.0,0.0,0.0,-927.2208609461449,-9.111728468121902,-1419.559537048173
t16,4859.053511810578,0.0,-0.0,0.0,0.0,0.0,0.0,5614.0702223932785,-40.03555886227895,-10433.088175341578,7124.542476802589,0.0,-0.0,0.0,0.0,0.0,0.0,-4119.068900779336,-25.34429524237984,-2980.1292807808736,1895.4098155278637,1036.8733947336132,-0.0,0.0,0.0,0.0,0.0,-1495.0013216139423,-14.691263619899107,-1422.5906250276355
t17,1700.8247681032528,3067.4483518362927,-0.0,0.0,0.0,0.0,0.0,6204.686699653444,-52.87295158100161,-10920.086868011987,5336.827393141456,0.0,-0.0,0.0,0.0,0.0,0.0,-2204.6866996534427,-13.565257581001612,-3118.575435907011,4786.135995258427,742.4462593173783,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1489.2745605758057
t18,0.0,3074.9502874817267,-0.0,0.0,0.0,0.0,0.0,8639.446969698774,-67.85383308962852,-11646.543424090874,4840.296505234416,3154.446550088621,-0.0,0.0,0.0,0.0,0.0,-4639.446969698775,-28.546139089628532,-3326.749946534634,5626.58743257842,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1587.27973857842
