Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,2.45181522949372e9,4.798455630055976e9,2.1430851794101598e9,9.393356038959856e9
t1,276259.1270296967,508524.18179179536,11288.44623621425,796071.7550577064
t2,276259.1270296967,507993.1093275165,11288.44623621425,795540.6825934275
t3,276295.2800303448,507993.1093275165,11288.44623621425,795576.8355940756
t4,276295.2800303448,507189.4712967673,11288.44623621425,794773.1975633263
t5,276295.2800303448,505267.3189288811,12324.311080232248,793886.9100394582
t6,276295.2800303448,503478.1069432305,12324.311080232248,792097.6980538075
t7,276026.8858895778,502047.0651997588,12324.311080232248,790398.2621695688
t8,275275.2709640936,499655.2588515841,12324.311080232248,787254.84089591
t9,277219.52142622985,502332.93531808286,12324.311080232248,791876.767824545
t10,280048.47569071304,502969.0165556586,11531.092889204332,794548.5851355761
t11,282877.4299551962,503278.87985337054,11531.092889204332,797687.4026977711
t12,285706.38421967934,504549.08560643555,10338.117872328803,800593.5876984437
t13,288535.3384841625,506339.3652830818,9459.020169780404,804333.7239370246
t14,291364.2927486457,506367.3835807798,7835.320396231527,805566.996725657
t15,291698.5300218947,506367.3835807798,6120.118564835031,804186.0321675095
t16,291698.5300218947,506367.3835807798,4993.082266211539,803058.995868886
t17,288364.34703076835,506367.3835807798,4186.075462605692,798917.8060741537
t18,285022.0097617665,502938.6373306835,4186.075462605692,792146.7225550556
t19,281928.97048851644,502796.0340387531,4186.075462605692,788911.0799898752
t20,279067.6575461194,497909.6614513915,4186.075462605692,781163.3944601166
t21,276662.10966203513,495937.77272821893,4186.075462605692,776785.9578528597
t22,275006.6522233186,493316.89836067,4186.075462605692,772509.6260465943
t23,274190.2417835201,492717.5846551419,4186.075462605692,771093.9019012677
t24,274190.2417835201,491641.86455182923,4186.075462605692,770018.1817979551
t25,274481.1426045548,491641.86455182923,4186.075462605692,770309.0826189897
t26,275292.2711825146,493695.4256046379,4186.075462605692,773173.7722497581
t27,276210.2969838864,495110.10140450887,4186.075462605692,775506.473851001
t28,277122.74553881923,496966.9107386251,4186.075462605692,778275.73174005
t29,277812.10423619684,499315.8422453824,8427.460836036573,785555.4073176158
t30,277821.9684091041,500698.3009484223,8427.460836036573,786947.730193563
t31,276372.97803294857,499474.7908944392,8427.460836036573,784275.2297634244
t32,274103.61055183003,493631.50036292046,8427.460836036573,776162.5717507871
t33,273506.15076669253,490629.23036460305,8427.460836036573,772562.8419673322
t34,275995.1455920104,494046.3279969082,8427.460836036573,778468.9344249552
t35,278824.0998564936,494884.3322676913,8427.460836036573,782135.8929602215
t36,281653.05412097677,496238.26970136556,8427.460836036573,786318.7846583789
t37,284335.78896170633,497745.42694761313,8427.460836036573,790508.6767453561
t38,286030.23275378,501329.55532479106,8427.460836036573,795787.2489146076
t39,287507.05504995526,503323.20457811723,8427.460836036573,799257.7204641091
t40,287424.8063973944,505129.54929441784,8427.460836036573,800981.8165278488
t41,285138.7055602753,501962.5369658387,8427.460836036573,795528.7033621506
t42,281796.3682912734,501235.8989140017,8427.460836036573,791459.7280413117
t43,278454.0310222716,501327.2960133253,8427.460836036573,788208.7878716334
t44,275484.1559412135,502126.83031672775,8427.460836036573,786038.4470939778
t45,273111.7174667148,503466.7178493873,8427.460836036573,785005.8961521387
