region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,3.0695847533111763e8,0.0,0.0,4.8282596876623966e7,0.0,0.0,3.777204165946293e7,2.099511559239999e8,0.0,4.901070988596678e6,0.0,0.0,1.571643825334791e9,0.0,0.0,0.0,0.0,0.0,9.6377848455499e8,0.0,1.571643825334791e9,1.5716438253347912e9,-2.384185791015625e-7
CT,CT_natural_gas_combined_cycle,2,1,2,8.685295123358227e7,0.0,0.0,1.287920368598289e7,0.0,0.0,1.2544603037693534e7,5.995505617180219e7,0.0,2.260268790378038e6,0.0,0.0,4.9963918814869344e8,0.0,0.0,0.0,0.0,0.0,3.2514710522925806e8,0.0,4.9963918814869344e8,4.9963918814869696e8,-3.516674041748047e-6
ME,ME_natural_gas_combined_cycle,3,1,3,2.5029861053144902e7,0.0,0.0,6.234884807596079e6,0.0,0.0,4.124322281334907e6,2.5965660299721092e7,0.0,260419.33563559494,0.0,0.0,1.2421561993446147e8,0.0,0.0,0.0,0.0,0.0,6.26004721570292e7,0.0,1.2421561993446147e8,1.2421561993446176e8,-2.8312206268310547e-7
MA,MA_solar_pv,1,1,4,1.1139388620568745e9,0.0,0.0,2.4498819521907344e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3589270572759478e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3589270572759478e9,1.358927057275948e9,-2.384185791015625e-7
CT,CT_onshore_wind,2,1,5,1.0604863193534161e9,0.0,0.0,4.713818048113615e8,0.0,0.0,2.7754013824688657e6,0.0,0.0,0.0,0.0,0.0,1.5346435255472445e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5346435255472445e9,1.5346435255472465e9,-1.9073486328125e-6
CT,CT_solar_pv,2,1,6,1.092558039510162e9,0.0,0.0,2.4028591818535337e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3328439576955116e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3328439576955116e9,1.3328439576955154e9,-3.814697265625e-6
ME,ME_onshore_wind,3,1,7,1.373779900937762e9,0.0,0.0,6.10639512551605e8,0.0,0.0,3.9275435225211177e6,0.0,0.0,0.0,0.0,0.0,1.9883469570118873e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9883469570118873e9,1.988346957011888e9,-7.152557373046875e-7
MA,MA_battery,1,0,8,6.258005562262085e7,7.15784949931938e7,0.0,1.564181843712873e7,1.789462374829845e7,0.0,1.029032390660102e6,0.0,1.2157755088139134e6,0.0,5.155927165878385e8,0.0,6.855325172885519e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855325172885519e8,6.855325172885543e8,-2.384185791015625e-6
CT,CT_battery,2,0,9,1.2272239424569704e8,1.4036875158821556e8,0.0,3.0674332099299785e7,3.509218789705389e7,0.0,1.0327318233299445e6,0.0,1.2201462941043777e6,0.0,3.8059785478733325e8,0.0,7.117083987350333e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.117083987350333e8,7.117083987350339e8,-5.960464477539062e-7
ME,ME_battery,3,0,10,1.1546790649169846e8,1.320711348761257e8,0.0,2.8861080590117645e7,3.3017783719031423e7,0.0,1.1529006572221396e6,0.0,1.3621227046575386e6,0.0,4.0174380842728424e8,0.0,7.13676737466137e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13676737466137e8,7.136767374661372e8,-1.1920928955078125e-7
