Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23126.18589786679,52015.1911934897,103998.45792585099
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23126.18589786679,51891.07934731502,103998.45792585099
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23372.821652250837,52040.499335426735,103998.45792585099
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23372.821652250837,51612.39117950134,103998.45792585099
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23372.821652250837,50006.856351443,103998.45792585099
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23372.821652250837,48560.11160696383,108113.16929085943
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22980.018799951173,47634.82559303283,108113.16929085943
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22103.995162934345,45702.16858784026,108113.16929085943
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23433.726666107214,48481.39698270925,108113.16929085943
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26373.55771047053,48919.27759911641,105753.8170810211
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29313.388754833846,50466.633660213105,101565.83007858405
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32253.219799197163,52538.9726954743,96629.26336422338
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35193.05084356048,55559.747741053485,91413.48957467462
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38132.881887923795,56598.30761324366,85978.80416028158
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39558.70053295341,56598.30761324366,80957.75853025932
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40585.699027646704,56598.30761324366,77244.28051410365
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39709.48681802298,53601.96874704837,76849.22148485995
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36496.43174946496,50340.113424155126,76849.22148485995
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33278.98376468223,50747.83097132269,76849.22148485995
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30293.262110752505,46213.550677584106,82273.57166727226
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27763.305515135562,44751.37278017193,82273.57166727226
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25983.4393648864,42591.35484351214,82273.57166727226
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25042.620213555223,42553.69918447392,82273.57166727226
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24952.928580759966,41961.735637639365,82273.57166727226
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25394.76796050485,42171.74434156113,82273.57166727226
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26100.597005023435,44821.32010604083,87697.92184968457
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26913.32327295391,46794.16703344027,87697.92184968457
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27720.4722944455,49234.27669001026,87697.92184968457
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28304.531458381844,52197.939898761404,87697.92184968457
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28191.777015406904,54151.374653756364,87697.92184968457
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26618.377927718713,53464.390008920425,87697.92184968457
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24224.601735067517,47909.457902853,87697.92184968457
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23201.226831916294,44969.6780996423,93122.27203209688
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24827.531392039342,48350.40820242692,93122.27203209688
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26767.96598378065,48958.34908377393,93122.27203209688
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28988.790289472385,49502.240436056214,93122.27203209688
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30782.847115014938,50971.36416781416,93122.27203209688
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31761.162186894566,54599.31455608099,93122.27203209688
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32575.236006102998,56748.79902580585,98546.62221450919
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32107.86499297112,58642.693779495545,98546.62221450919
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29621.40464192137,55871.20034485095,98546.62221450919
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26148.069287049777,55744.45966865693,98546.62221450919
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22674.733932178184,56382.11883698788,98546.62221450919
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19577.36631239767,57762.31153141763,98546.62221450919
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17077.43529917656,59705.23175000973,98546.62221450919
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15355.270103538853,61436.89112421963,103970.9723969215
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14734.628651245046,62994.64345718546,103970.9723969215
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15028.67100035958,65777.78075867449,103970.9723969215
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15859.98808975299,68929.94107024904,103970.9723969215
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17031.51721191814,72218.90565356392,103970.9723969215
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18369.434186176575,75589.26558729488,103970.9723969215
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19750.110049799765,77544.78623262083,103970.9723969215
n53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19978.10575602846,77544.78623262083,109395.3225793338
n54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19978.10575602846,75509.74146155748,109395.3225793338
n55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19170.172320494505,72642.26454793483,109395.3225793338
n56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17548.451154334598,70286.0152307019,109395.3225793338
n57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17275.18289784646,72217.89845602162,109395.3225793338
n58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20162.20636848829,74991.20145769208,109395.3225793338
n59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23102.037412851605,80756.34661220807,109395.3225793338
n60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26041.86845721492,86521.49176672407,114819.67276174611
n61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28981.699501578238,92286.63692124006,114819.67276174611
n62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31921.530545941554,98051.78207575605,114819.67276174611
n63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34861.36159030487,103816.92723027205,114819.67276174611
n64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37801.19263466819,105210.3925708493,114819.67276174611
n65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38103.29613782641,109468.81861899569,119729.65939312286
n66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35269.130093648884,108303.97958729255,119729.65939312286
n67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32423.981758909606,107472.37948821888,119729.65939312286
n68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29870.96235311298,104952.37371107607,119729.65939312286
n69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27793.47612864029,101662.37339880367,119729.65939312286
n70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26503.420137445348,102196.24899916444,119729.65939312286
n71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26197.377380583537,103605.55290369185,119729.65939312286
n72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26717.298210472753,105823.92749012753,119729.65939312286
n73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27738.241678788112,108340.01415098722,125154.00957553516
n74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29011.090777926263,109358.93882572047,125154.00957553516
n75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30396.414346915186,110872.44310855526,125154.00957553516
n76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31776.160669465233,114052.26577598994,125154.00957553516
n77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32943.04208626465,117206.54249909816,125154.00957553516
n78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33421.133567862256,118154.5911908621,125154.00957553516
n79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32445.17108673347,120596.43657938008,125154.00957553516
n80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30609.295254619363,121071.19753972333,130578.35975794747
n81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31624.93022079685,123874.06328014734,130578.35975794747
n82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34564.76126516017,127683.86105070113,130578.35975794747
n83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37504.59230952348,133449.00620521713,130578.35975794747
n84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40444.4233538868,139214.15135973314,130578.35975794747
n85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43384.254398250116,144979.29651424914,130578.35975794747
n86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46324.08544261343,150744.44166876515,130578.35975794747
n87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49263.91648697675,156509.58682328116,130578.35975794747
n88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52025.37727979185,159526.21598906175,136002.70994035978
n89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52025.37727979185,159109.60563709348,136002.70994035978
n90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48761.80367464975,154671.25881173494,136002.70994035978
n91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45424.64872274391,149916.80917428283,136002.70994035978
n92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42378.52447072454,147350.33143814435,136002.70994035978
n93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39790.3617351303,141502.86440875422,136002.70994035978
n94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38022.576104499065,137282.8955838993,136002.70994035978
n95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,130642.88105764585,135983.9144246124
n96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,124942.61598445389,141408.2646070247
n97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,120219.91186318312,141408.2646070247
n98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,117010.26398836609,141408.2646070247
n99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,111688.10177786108,141408.2646070247
n100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,106650.18346466566,141408.2646070247
n101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37317.8762002456,102282.56448880455,144271.0382950752
n102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37210.65611073373,95471.19261437638,144271.0382950752
n103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34815.23166747835,88659.82073994822,144271.0382950752
n104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31341.896312606757,81848.44886552005,144271.0382950752
n105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30985.973371693184,75415.08209455707,144271.0382950752
n106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30985.973371693184,74950.89078233136,144271.0382950752
n107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33619.88579795104,74950.89078233136,144271.0382950752
n108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35724.962743387325,74950.89078233136,140902.54456721258
