Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23301.53939704373,52212.40750650596,103911.9538569536
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24429.264936573378,72888.1695381177,138731.74061980264
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25556.990476103027,93563.93156972942,173551.52738265172
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26684.716015632675,114239.69360134116,208371.31414550077
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27812.441555162324,134915.4556329529,243191.10090834982
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27812.441555162324,125695.66477142282,235325.22314436355
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27812.441555162324,116475.87390989275,227459.34538037732
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27812.441555162324,107256.08304836265,219593.46761639105
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27812.441555162324,98036.29218683258,211727.58985240478
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27812.441555162324,88816.5013253025,203861.7120884185
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24710.23346629131,111678.93069262571,219857.46487886927
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21608.025377420297,134541.3600599489,235853.21766932
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18505.817288549286,157403.78942727213,251848.9704597708
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15403.60919967827,180266.21879459533,267844.7232502215
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81336.16382618845,271837.01575989916,278778.8576071807
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147268.71845269864,363407.81272520294,289712.9919641399
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213201.27307920883,454978.6096905067,300647.1263210991
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279133.827705719,546549.4066558104,311581.2606780583
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262260.9233212068,522951.3703381814,254207.92621239464
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279133.827705719,546549.4066558104,352752.010285184
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296006.73209023126,570147.4429734396,451296.0943579735
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279133.82770571904,546549.4066558104,393922.75989230984
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262260.9233212068,522951.3703381814,336549.4254266462
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245388.01893669457,499353.33402055234,279176.0909609825
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228515.11455218235,475755.29770292324,221802.7564953188
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229314.89583436024,504170.056035404,239360.3471694884
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240296.9049966424,510350.0211144393,233878.82528640187
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251278.91415892457,516529.9861934747,228397.30340331537
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262260.92332120676,522709.95127251,222915.78152022883
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243957.57471740313,512490.4824960082,215035.19981801117
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225654.22611359952,502271.01371950645,207154.61811579348
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236636.23527588169,508450.97879854176,201673.09623270697
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247618.24443816385,514630.94387757714,196191.57434962047
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258600.253600446,520810.90895661246,190710.05246653393
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269582.2627627282,526990.8740356478,185228.53058344743
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251278.91415892457,516771.4052591461,177347.94888122973
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262260.92332120676,522951.3703381815,171866.42699814323
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245388.0189366945,499353.33402055246,114493.09253247955
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262260.92332120676,522951.3703381814,213037.176605269
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279133.827705719,546549.4066558104,311581.26067805843
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262260.9233212068,522951.3703381814,254207.92621239473
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279133.827705719,546549.4066558104,352752.01028518414
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296006.73209023126,570147.4429734396,451296.09435797355
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279133.82770571904,546549.4066558104,393922.7598923099
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296006.73209023126,570147.4429734396,492466.8439650993
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222005.04906767345,428207.841885196,395328.1214380629
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148003.36604511563,286268.24079695245,298189.3989110265
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74001.68302255782,144328.6397087088,201050.67638399004
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2389.038620465245,103911.9538569536
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5825.384849260932,14844.880841975424,103911.9538569536
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11650.769698521864,27300.723063485606,103911.9538569536
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17476.154547782797,39756.565284995784,103911.9538569536
