Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,4693.554668671523,4693.554668671523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,1328.0267772719003,1328.0267772719003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,382.71958796857643,382.71958796857643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,13059.072239822677,13059.072239822677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,10910.353079767654,10910.353079767654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,12808.417813718195,12808.417813718195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,14133.538075491379,14133.538075491379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,3195.4685264818654,3195.4685264818654,0.0,0.0,0.0,319546.8526481866,319546.8526481866,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,6266.462124473909,6266.462124473909,0.0,0.0,0.0,626646.2124473909,626646.2124473909,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,5896.032806969897,5896.032806969897,0.0,0.0,0.0,589603.2806969897,589603.2806969897,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,72673.64570063759,72673.64570063759,n/a,0.0,0.0,1.5357963457925674e6,1.5357963457925674e6,0.0,0.0,0.0,0.0
