Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.064001173505998e7,4693.554668671523,0.2587832245509197
CT_natural_gas_combined_cycle,2,3.5138944083175166e6,1328.0267772719003,0.3020492549784308
ME_natural_gas_combined_cycle,3,916516.0625188682,382.71958796857643,0.2733727893245402
MA_solar_pv,1,1.9909552316658847e7,13059.072239822677,0.17403839285714334
CT_onshore_wind,2,2.7754013824688658e7,10910.353079767654,0.29039082375975056
CT_solar_pv,2,2.00536284546769e7,12808.417813718195,0.17872831959706997
ME_onshore_wind,3,3.927543522521117e7,14133.538075491379,0.31722397802164565
MA_battery,1,6.860215937734014e6,3195.4685264818654,0.0
CT_battery,2,6.8848788221996315e6,6266.462124473909,0.0
ME_battery,3,7.686004381480932e6,5896.032806969897,0.0
