Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,8.105170058759472e6,8.134308627362505e6,9.080818031050269e6,2.5320296717172246e7
t1,0.0,0.0,94.0261618449975,94.0261618449975
t2,0.0,0.0,0.0,0.0
t3,268.0823417217875,162.41303055621398,0.0,430.49537227800147
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,4472.512353270037,4472.512353270037
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,1445.3603295357275,3020.9004292054283,0.0,4466.260758741156
t10,3195.4685264818654,475.9571917469089,0.0,3671.4257182287743
t11,3195.4685264818654,1681.9087620616224,0.0,4877.377288543488
t12,3195.4685264818654,2252.542429631733,0.0,5448.010956113598
t13,3195.4685264818654,3283.451136499114,0.0,6478.919662980979
t14,3195.4685264818654,1128.869426293671,0.0,4324.337952775537
t15,1549.80287503219,0.0,0.0,1549.80287503219
t16,1116.3027116231467,0.0,0.0,1116.3027116231467
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,443.1712469212657,0.0,443.1712469212657
t20,0.0,0.0,5896.032806969897,5896.032806969897
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,480.2601953748742,228.2703303497374,0.0,708.5305257246116
t26,767.2054831723738,2879.973657043159,5896.032806969897,9543.211947185431
t27,883.3981173157305,2144.3988341298314,0.0,3027.7969514455617
t28,877.3358929256409,2652.293104967377,0.0,3529.628997893018
t29,634.8469173221145,3221.373052990373,0.0,3856.219970312487
t30,0.0,2123.298646733651,0.0,2123.298646733651
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,5896.032806969897,5896.032806969897
t34,1767.7223479598363,3674.7066334615492,0.0,5442.428981421385
t35,2109.1680345014215,660.8053058119623,0.0,2769.9733403133837
