Costs,Total,Zone1,Zone2,Zone3
cTotal,7.932057365479542e9,2.1367321987564647e9,3.373090110109901e9,2.361895033828173e9
cFix,7.500267089922136e9,1.8818631222849312e9,3.2933019026101246e9,2.325102065027081e9
cVar,6.815662126227084e7,4.001684955893697e7,1.7572882537596546e7,1.0566889165735735e7
cFuel,2.958718723955204e8,2.099511559239999e8,5.995505617180219e7,2.5965660299721092e7
cNSE,0.0,0.0,0.0,0.0
cStart,7.421759114610311e6,4.901070988596678e6,2.260268790378038e6,260419.33563559494
cUnmetRsv,0.0,-,-,-
cNetworkExp,6.034002278501274e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
