Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.7255395296484,20675.76203161173,34819.786762849064
w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-9219.79086153008,-7865.8777639862765
w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3102.208088871014,22862.429367323213,15995.752790450768
w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65932.55462651019,91570.7969653038,10934.134356959199
w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16872.90438451222,-23598.03631762907,-57373.33446566368
w6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.7812821778894,28414.758332480753,17557.59067416957
w7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18303.348603803614,-10219.468776501722,-7880.581702217696
w8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10982.009162282167,6179.965079035313,-5481.521883086508
w9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16872.904384512225,23598.03631762907,98544.08407278941
w10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74001.68302255782,-141939.60108824357,-97138.72252703643
w11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5825.384849260932,12455.84222151018,-0.0
