Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.064001173505998e7,3.5138944083175166e6,916516.0625188682,1.9909552316658847e7,2.7754013824688658e7,2.00536284546769e7,3.927543522521117e7,6.860215937734014e6,6.8848788221996315e6,7.686004381480931e6,1.4349415116854653e8
t1,-0.0,-0.0,-0.0,-0.0,7135.377242172833,-0.0,5340.71723433081,161.32521924278348,181.43900797495976,0.0,12818.858703721386
t2,-0.0,-0.0,-0.0,-0.0,6989.523627192565,-0.0,5207.286928752803,0.0,114.18289848070363,0.0,12310.993454426072
t3,-0.0,-0.0,-0.0,-0.0,7355.9414637303635,-0.0,5187.079675556388,0.0,0.0,0.0,12543.021139286751
t4,-0.0,-0.0,-0.0,-0.0,6449.7025413059555,-0.0,5178.996774277821,0.0,393.8595034513653,0.0,12022.558819035143
t5,-0.0,-0.0,-0.0,-0.0,5437.886805165142,-0.0,5187.079675556388,0.0,1477.0920418136782,0.0,12102.058522535208
t6,-0.0,-0.0,-0.0,-0.0,5881.853838482379,-0.0,9689.902908621047,0.0,1331.0051649208333,0.0,16902.76191202426
t7,-0.0,-0.0,-0.0,-0.0,6523.154802310763,-0.0,5273.9708643009735,361.37862411569,851.2631328165168,0.0,13009.767423543944
t8,-0.0,-0.0,-0.0,-0.0,5722.6929749542505,-0.0,5334.592623890218,805.9417460554821,1778.0444447771702,0.0,13641.27178967712
t9,-0.0,-0.0,-0.0,2840.3482121614325,7797.249382153586,2892.1407423375686,5414.411274016059,0.0,0.0,0.0,18944.149610668646
t10,-0.0,-0.0,-0.0,5329.407381071635,2196.080393046552,5671.567407914417,3293.315011296011,0.0,0.0,2170.6040330512656,18660.97422637988
t11,-0.0,-0.0,-0.0,7330.057248212469,141.557543441225,7093.301785237136,1630.1678926417915,0.0,0.0,3852.9480422420797,20048.032511774698
t12,-0.0,-0.0,-0.0,6950.03824603363,377.8687430609028,7809.292341023985,940.4641950122276,0.0,0.0,4541.641377211823,20619.30490234257
t13,-0.0,-0.0,-0.0,7416.247124995298,902.8364306233038,7760.620353331855,675.5107845606174,0.0,0.0,4798.511886384867,21553.726579895938
t14,-0.0,-0.0,-0.0,6852.09520423496,394.72658054257266,6582.245914469781,462.9981004458588,0.0,0.0,4999.910581241597,19291.97638093477
t15,-0.0,-0.0,-0.0,5522.68165022101,66.60839290422555,5420.52241876554,839.5052514276921,0.0,0.0,4619.36197962048,16468.679692938946
t16,-0.0,-0.0,-0.0,4066.5950954807818,1896.3878647565823,4649.455666379705,2045.4985441644205,0.0,0.0,3416.3997748632146,16074.336945644704
t17,-0.0,-0.0,-0.0,1423.438874140672,2837.1488681611613,2313.2002571575063,5165.127947671602,806.1152328538261,2756.631756899668,363.4543069042042,15665.11724378864
t18,-0.0,-0.0,-0.0,-0.0,5114.248495784172,-0.0,5626.58743257842,2956.010663073385,3000.9068970617864,0.0,16697.75348849776
t19,-0.0,-0.0,-0.0,-0.0,8559.337195644059,-0.0,5627.59779523824,2960.052146000112,0.0,0.0,17146.98713688241
t20,-0.0,-0.0,-0.0,-0.0,3883.994725873306,-0.0,11495.340447733157,2746.863921615346,4171.537870239498,0.0,22297.73696546131
t21,-0.0,-0.0,-0.0,-0.0,6591.083337027289,-0.0,5541.7169691534755,2327.560067967588,1345.203665619206,0.0,15805.56403976756
t22,-0.0,-0.0,-0.0,-0.0,5752.0121049370355,-0.0,5446.742879130324,1637.4768582292302,1987.2165017270017,0.0,14823.448344023593
t23,-0.0,-0.0,-0.0,-0.0,7483.273663322417,-0.0,5341.665162508964,865.5536192246816,34.64320631516582,0.0,13725.135651371229
t24,-0.0,-0.0,-0.0,-0.0,6748.967001892841,-0.0,5235.577083227784,82.5163021716362,544.6064630877894,0.0,12611.666850380052
t25,-0.0,-0.0,-0.0,-0.0,7362.1759667907345,-0.0,5158.789521081406,0.0,0.0,0.0,12520.965487872141
t26,-0.0,-0.0,-0.0,-0.0,9931.01371158385,-0.0,11015.418184318294,0.0,0.0,0.0,20946.431895902144
t27,-0.0,-0.0,-0.0,-0.0,9163.101100611857,-0.0,5104.229937451085,0.0,0.0,0.0,14267.331038062941
t28,-0.0,-0.0,-0.0,-0.0,9673.016483203053,-0.0,5105.240300110905,0.0,0.0,0.0,14778.256783313958
t29,-0.0,-0.0,-0.0,-0.0,10310.814230850703,-0.0,5137.57190522517,0.0,0.0,0.0,15448.386136075873
t30,-0.0,-0.0,-0.0,-0.0,9422.935446975283,-0.0,5237.597808547425,103.73408753694503,0.0,0.0,14764.267343059653
t31,-0.0,-0.0,-0.0,-0.0,7051.62216018915,-0.0,5421.483812634804,1447.5271606731353,632.0258732490655,0.0,14552.659006746155
t32,-0.0,-0.0,-0.0,-0.0,2789.3694534984675,-0.0,5523.530441276702,2202.2740972391002,5110.537537582036,0.0,15625.711529596305
