BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,3.0549564051718794e7,6.860215937734014e6,-8.105170058759472e6,0.0,0.0,0.0,0.0,5.362432679499412e7,-434622.7256871144,-8.249431400000015e7,5.1321536687683105e7,6.8848788221996315e6,-8.134308627362505e6,0.0,0.0,0.0,0.0,-2.634507206865303e7,-162958.81386688846,-2.3564075999999933e7,4.019195128773007e7,7.686004381480931e6,-9.080818031050269e6,0.0,0.0,0.0,0.0,-2.727925472634057e7,-271663.9118202233,-1.1246219000000006e7
t1,0.0,161.32521924278348,-0.0,0.0,0.0,0.0,0.0,8759.122950664405,-68.59018964691761,-8851.857980260273,7135.377242172833,181.43900797495976,-0.0,0.0,0.0,0.0,0.0,-4759.122950664407,-29.282495646917614,-2528.4108038364684,5340.71723433081,0.0,-94.0261618449975,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8629.675289002422,-67.79370873469584,-8561.881580267725,6989.523627192565,114.18289848070363,-0.0,0.0,0.0,0.0,0.0,-4629.675289002421,-28.48601473469584,-2445.5452219361523,5207.286928752803,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-268.0823417217875,0.0,0.0,0.0,0.0,8759.122950664405,-68.59018964691761,-8422.4504192957,7355.9414637303635,0.0,-162.41303055621398,0.0,0.0,0.0,0.0,-4759.122950664407,-29.282495646917614,-2405.1229868628275,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8427.366725293481,-66.54892063034268,-8360.817804663138,6449.7025413059555,393.8595034513653,-0.0,0.0,0.0,0.0,0.0,-4427.366725293481,-27.241226630342677,-2388.9540928334977,5178.996774277821,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8483.281152449219,-66.8929575436061,-8416.388194905612,5437.886805165142,1477.0920418136782,-0.0,0.0,0.0,0.0,0.0,-4483.281152449218,-27.585263543606118,-2404.1124309859947,5187.079675556388,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8714.05524271017,-68.3128917128934,-8645.742350997278,5881.853838482379,1331.0051649208333,-0.0,0.0,0.0,0.0,0.0,-4714.055242710171,-29.005197712893402,-2469.7985629801474,9689.902908621047,0.0,-4472.512353270037,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,361.37862411569,-0.0,0.0,0.0,0.0,0.0,8759.122950664405,-68.59018964691761,-9051.911385133179,6523.154802310763,851.2631328165168,-0.0,0.0,0.0,0.0,0.0,-4759.122950664407,-29.282495646917614,-2586.012488815956,5273.9708643009735,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,805.9417460554821,-0.0,0.0,0.0,0.0,0.0,8759.122950664405,-68.59018964691761,-9496.474507072971,5722.6929749542505,1778.0444447771702,-0.0,0.0,0.0,0.0,0.0,-4759.122950664407,-29.282495646917614,-2712.3319734200963,5334.592623890218,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
