Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.3684874513252475e9,3.0212586266296196e9,2.1128448380377257e9,6.502590915992593e9
t1,26509.362516455738,114042.47728832522,208457.81821439817,349009.6580191791
t2,26509.362516455738,113918.36544215055,208457.81821439817,348885.54617300443
t3,26755.998270839784,114067.78543026226,208457.81821439817,349281.60191550024
t4,26755.998270839784,113639.67727433686,208457.81821439817,348853.49375957483
t5,26755.998270839784,112034.14244627852,208457.81821439817,347247.9589315165
t6,26755.998270839784,110587.39770179936,212572.52957940663,349915.9255520458
t7,26363.19541854012,109662.11168786837,212572.52957940663,348597.8366858151
t8,25487.17178152329,107729.45468267577,212572.52957940663,345789.1560436057
t9,26816.90328469616,110508.68307754477,212572.52957940663,349898.11594164756
t10,29756.734329059476,110946.56369395193,210213.1773695683,350916.4753925797
t11,32696.565373422793,112493.91975504863,206025.19036713123,351215.67549560266
t12,35636.39641778611,114566.25879030982,201088.62365277056,351291.2788608665
t13,38576.22746214943,117587.033835889,195872.8498632218,352036.1111612602
t14,41516.058506512745,118625.59370807918,190438.16444882876,350579.81666342064
t15,42941.87715154236,118625.59370807918,185417.1188188065,346984.589678428
t16,43968.875646235654,118625.59370807918,181703.64080265083,344298.1101569657
t17,43092.663436611925,115629.25484188389,181308.58177340712,340030.50005190296
t18,39879.6083680539,112367.39951899066,181308.58177340712,333555.5896604517
t19,36662.16038327117,112775.11706615821,181308.58177340712,330745.8592228365
t20,33676.43872934145,108240.83677241963,186732.93195581943,328650.2074575805
t21,31146.482133724505,106778.65887500744,186732.93195581943,324658.0729645514
t22,29366.61598347534,104618.64093834767,186732.93195581943,320718.18887764245
t23,28425.796832144166,104580.98527930945,186732.93195581943,319739.7140672731
t24,28336.105199348905,103989.0217324749,186732.93195581943,319058.0588876432
t25,28777.94457909379,104199.03043639666,186732.93195581943,319709.90697130986
t26,29483.773623612375,106848.60620087635,192157.28213823173,328489.66196272045
t27,30296.499891542848,108821.45312827581,192157.28213823173,331275.23515805043
t28,31103.648913034438,111261.5627848458,192157.28213823173,334522.493836112
t29,31687.708076970783,114225.22599359693,192157.28213823173,338070.21620879945
t30,31574.953633995843,116178.6607485919,192157.28213823173,339910.89652081946
t31,30001.554546307652,115491.67610375595,192157.28213823173,337650.51278829534
t32,27607.778353656457,109936.74399768852,192157.28213823173,329701.8044895767
t33,26584.40345050523,106996.96419447783,197581.632320644,331162.9999656271
t34,28210.70801062828,110377.69429726245,197581.632320644,336170.03462853475
t35,30151.14260236959,110985.63517860946,197581.632320644,338718.41010162304
t36,32371.966908061324,111529.52653089174,197581.632320644,341483.12575959705
t37,34166.02373360388,112998.6502626497,197581.632320644,344746.3063168976
t38,35144.33880548351,116626.60065091653,197581.632320644,349352.5717770441
t39,35958.41262469194,118776.08512064138,203005.98250305632,357740.48024838965
t40,35491.04161156007,120669.97987433108,203005.98250305632,359167.0039889475
t41,33004.58126051031,117898.48643968647,203005.98250305632,353909.0502032531
t42,29531.24590563872,117771.74576349246,203005.98250305632,350308.9741721875
t43,26057.910550767127,118409.40493182342,203005.98250305632,347473.2979856469
t44,22960.542930986612,119789.59762625316,203005.98250305632,345756.12306029606
t45,20460.611917765505,121732.51784484526,203005.98250305632,345199.11226566706
t46,18738.446722127796,123464.17721905516,208430.3326854686,350632.9566266516
t47,18117.80526983399,125021.929552021,208430.3326854686,351570.0675073236
t48,18411.847618948523,127805.06685351001,208430.3326854686,354647.24715792714
t49,19243.164708341934,130957.22716508457,208430.3326854686,358630.7245588951
t50,20414.693830507083,134246.19174839943,208430.3326854686,363091.2182643751
t51,21752.610804765518,137616.5516821304,208430.3326854686,367799.4951723645
t52,23133.286668388708,139572.07232745635,208430.3326854686,371135.6916813137
t53,23361.282374617404,139572.07232745635,213854.6828678809,376788.03756995464
t54,23361.282374617404,137537.02755639298,213854.6828678809,374752.99279889127
t55,22553.348939083447,134669.55064277034,213854.6828678809,371077.5824497347
t56,20931.62777292354,132313.30132553738,213854.6828678809,367099.61196634185
t57,20658.3595164354,134245.1845508571,213854.6828678809,368758.2269351734
t58,23545.38298707723,137018.48755252757,213854.6828678809,374418.5534074857
t59,26485.214031440548,142783.63270704358,213854.6828678809,383123.529606365
t60,29425.045075803864,148548.7778615596,219279.03305029322,397252.8559876567
t61,32364.87612016718,154313.9230160756,219279.03305029322,405957.832186536
t62,35304.7071645305,160079.0681705916,219279.03305029322,414662.80838541535
t63,38244.53820889381,165844.21332510762,219279.03305029322,423367.78458429466
t64,41184.36925325713,167237.67866568486,219279.03305029322,427701.0809692352
t65,41486.47275641535,171496.10471383124,224189.01968166995,437171.59715191653
t66,38652.306712237834,170331.2656821281,224189.01968166995,433172.5920760359
t67,35807.158377498556,169499.66558305442,224189.01968166995,429495.8436422229
t68,33254.13897170193,166979.65980591162,224189.01968166995,424422.8184592835
t69,31176.652747229236,163689.6594936392,224189.01968166995,419055.33192253835
t70,29886.596756034294,164223.53509399996,224189.01968166995,418299.15153170424
t71,29580.553999172484,165632.83899852738,224189.01968166995,419402.4126793698
t72,30100.4748290617,167851.21358496306,224189.01968166995,422140.7080956947
t73,31121.41829737706,170367.30024582276,229613.36986408225,431102.0884072821
t74,32394.26739651521,171386.224920556,229613.36986408225,433393.8621811535
t75,33779.59096550413,172899.7292033908,229613.36986408225,436292.6900329772
t76,35159.33728805418,176079.55187082547,229613.36986408225,440852.2590229619
t77,36326.2187048536,179233.8285939337,229613.36986408225,445173.41716286953
t78,36804.310186451214,180181.8772856976,229613.36986408225,446599.5573362311
t79,35828.34770532242,182623.7226742156,229613.36986408225,448065.44024362025
t80,33992.47187320831,183098.48363455886,235037.72004649453,452128.67555426166
t81,35008.1068393858,185901.34937498285,235037.72004649453,455947.1762608632
t82,37947.93788374912,189711.14714553664,235037.72004649453,462696.80507578026
t83,40887.76892811243,195476.29230005265,235037.72004649453,471401.7812746596
t84,43827.59997247575,201241.43745456866,235037.72004649453,480106.757473539
t85,46767.431016839066,207006.58260908467,235037.72004649453,488811.7336724183
t86,49707.26206120238,212771.72776360068,235037.72004649453,497516.7098712976
t87,52647.0931055657,218536.8729181167,235037.72004649453,506221.6860701769
t88,55408.5538983808,221553.50208389727,240462.07022890684,517424.1262111849
t89,55408.5538983808,221136.891731929,240462.07022890684,517007.5158592167
t90,52144.98029323871,216698.5449065705,240462.07022890684,509305.59542871604
t91,48807.825341332864,211944.09526911838,240462.07022890684,501213.99083935807
t92,45761.701089313494,209377.61753297987,240462.07022890684,495601.38885120023
t93,43173.53835371926,203530.15050358977,240462.07022890684,487165.75908621587
t94,41405.75272308803,199310.18167873484,240462.07022890684,481178.0046307297
t95,40701.05281883456,192670.1671524814,240443.27471315945,473814.49468447536
t96,40701.05281883456,186969.90207928943,245867.62489557173,473538.5797936957
t97,40701.05281883456,182247.19795801866,245867.62489557173,468815.87567242497
t98,40701.05281883456,179037.55008320164,245867.62489557173,465606.22779760795
t99,40701.05281883456,173715.38787269662,245867.62489557173,460284.0655871029
t100,40701.05281883456,168677.46955950122,245867.62489557173,455246.1472739075
t101,40701.05281883456,164309.8505836401,248730.39858362224,453741.3019860969
t102,40593.8327293227,157498.47870921192,248730.39858362224,446822.7100221568
t103,38198.40828606732,150687.10683478374,248730.39858362224,437615.9137044733
t104,34725.072931195726,143875.73496035556,248730.39858362224,427331.20647517353
t105,34369.14999028215,137442.36818939258,248730.39858362224,420541.916763297
t106,34369.14999028215,136978.17687716687,248730.39858362224,420077.7254510713
t107,37003.06241654001,136978.17687716687,248730.39858362224,422711.63787732914
t108,39108.13936197629,136978.17687716687,245361.9048557596,421448.2210949028
t109,40495.63448946612,136978.17687716687,240885.0142867209,418358.8256533539
t110,40598.69247411244,136978.17687716687,236231.635307137,413808.5046584163
t111,40598.69247411244,135211.34224883234,231549.17072834235,407359.2054512871
t112,40598.69247411244,131649.5152451854,226034.50774599588,398282.71546529373
t113,39078.864520943425,126426.74314097576,220534.43359670733,386040.0412586265
t114,35719.74498791408,121491.56886670625,216307.4176117405,373518.73146636086
t115,32393.57232656998,119474.70257195267,213244.0387135097,365112.31361203233
t116,29362.823281337063,113667.88327484585,212807.36087539606,355838.067431579
t117,26826.277311383066,108762.81446511953,212807.36087539606,348396.45265189867
t118,25080.45626187534,103489.98069390109,212807.36087539606,341377.7978311725
t119,24374.658128565698,99209.48696927725,212807.36087539606,336391.505973239
t120,24374.658128565698,95507.44453424818,212807.36087539606,332689.4635382099
t121,25099.07799454722,96111.11993119097,218231.71105780837,339441.90898354654
t122,26128.387332520906,98096.78070599255,218231.71105780837,342456.8790963218
t123,27298.05737253976,100100.12165339163,218231.71105780837,345629.89008373977
t124,28517.922630508543,101062.30071994712,218231.71105780837,347811.934408264
t125,29452.172560619234,101062.30071994712,218231.71105780837,348746.1843383747
t126,29879.13928319377,101735.60857393274,218231.71105780837,349846.4589149349
t127,29015.19616579487,102718.77096789095,218231.71105780837,349965.6781914942
t128,27223.24949592778,101398.4410072645,218231.71105780837,346853.4015610006
