region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,2.7280468911490005e8,0.0,0.0,4.291042564105469e7,0.0,0.0,3.7784233454582036e7,1.9416288493800762e8,0.0,3.61361196376006e6,0.0,0.0,1.4975209637098417e9,0.0,0.0,0.0,0.0,0.0,9.46245118597539e8,0.0,1.4975209637098417e9,1.4975209637098434e9,-1.6689300537109375e-6
CT,CT_natural_gas_combined_cycle,2,1,2,8.713680653039795e7,0.0,0.0,1.2921295867458707e7,0.0,0.0,1.2554210205715539e7,5.523247567104849e7,0.0,1.3638126478979334e6,0.0,0.0,4.8697235747451603e8,0.0,0.0,0.0,0.0,0.0,3.1776375655199623e8,0.0,4.8697235747451603e8,4.8697235747451484e8,1.1920928955078125e-6
ME,ME_natural_gas_combined_cycle,3,1,3,2.5741332249667265e7,0.0,0.0,6.412110759622774e6,0.0,0.0,4.1237918321685027e6,2.5151483322610818e7,0.0,329294.77894180984,0.0,0.0,1.2500911144961397e8,0.0,0.0,0.0,0.0,0.0,6.325109850660729e7,0.0,1.2500911144961397e8,1.2500911144961846e8,-4.4852495193481445e-6
MA,MA_solar_pv,1,1,4,6.28000943929382e8,0.0,0.0,1.381160340927926e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.661169780221733e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.661169780221733e8,7.661169780221746e8,-1.3113021850585938e-6
CT,CT_onshore_wind,2,1,5,1.4329102666915019e9,0.0,0.0,6.369227167943039e8,0.0,0.0,5.026039452236997e6,0.0,0.0,0.0,0.0,0.0,2.0748590229380403e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0748590229380403e9,2.0748590229380426e9,-2.384185791015625e-6
CT,CT_solar_pv,2,1,6,2.848356799269331e8,0.0,0.0,6.2643814248877674e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474794941758087e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474794941758087e8,3.474794941758108e8,-2.086162567138672e-6
ME,ME_onshore_wind,3,1,7,1.2288063180112827e9,0.0,0.0,5.461993515398917e8,0.0,0.0,4.0023643836637693e6,0.0,0.0,0.0,0.0,0.0,1.7790080339348392e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7790080339348392e9,1.779008033934838e9,1.1920928955078125e-6
MA,MA_battery,1,0,8,5.046375721507044e7,5.7719983742727645e7,0.0,1.2613362518779097e7,1.4429995935681911e7,0.0,791890.7814708058,0.0,935598.7493747137,0.0,2.843278479863053e8,0.0,4.21282436929421e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21282436929421e8,4.212824369294099e8,1.1086463928222656e-5
CT,CT_battery,2,0,9,1.4141442118587554e8,1.6174852096423677e8,0.0,3.534638438035441e7,4.043713024105919e7,0.0,1.480876905507269e6,0.0,1.7496182721021546e6,0.0,3.975398568624265e8,0.0,7.797168088115672e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.797168088115672e8,7.797168088115618e8,5.364418029785156e-6
ME,ME_battery,3,0,10,1.0982283905506264e8,1.2561435839631346e8,0.0,2.745010197990868e7,3.1403589599078365e7,0.0,949013.1546694208,0.0,1.121234823569723e6,0.0,3.536805851971651e8,0.0,6.50041722205769e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50041722205769e8,6.500417222057674e8,1.5497207641601562e-6
