Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,4171.325521634557,4171.325521634557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,1332.367072330244,1332.367072330244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,393.5983524413955,393.5983524413955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,7362.261945244807,7362.261945244807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,14741.87517172327,14741.87517172327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,3339.2225079359096,3339.2225079359096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,12642.040308758053,12642.040308758053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,2576.7849885146265,2576.7849885146265,0.0,0.0,0.0,257678.49885146267,257678.49885146267,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,7220.916114474855,7220.916114474855,0.0,0.0,0.0,722091.6114474855,722091.6114474855,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,5607.78385697828,5607.78385697828,0.0,0.0,0.0,560778.3856978279,560778.3856978279,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,59388.175840036,59388.175840036,n/a,0.0,0.0,1.540548495996776e6,1.540548495996776e6,0.0,0.0,0.0,0.0
