Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.0643446043544235e7,4171.325521634557,0.29127557890429256
CT_natural_gas_combined_cycle,2,3.51658549179707e6,1332.367072330244,0.30129587282185055
ME_natural_gas_combined_cycle,3,916398.1849263341,393.5983524413955,0.2657827816022289
MA_solar_pv,1,1.1454685681438271e7,7362.261945244807,0.17761015981735098
CT_onshore_wind,2,5.0260394522369966e7,14741.87517172327,0.3891966179567075
CT_solar_pv,2,5.358068017507604e6,3339.2225079359096,0.1831718607305939
ME_onshore_wind,3,4.002364383663768e7,12642.040308758053,0.36140599161088044
MA_battery,1,5.279271876472039e6,2576.7849885146265,0.0
CT_battery,2,9.872512703381795e6,7220.916114474855,0.0
ME_battery,3,6.326754364462807e6,5607.78385697828,0.0
