Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,6.237324995831725e6,1.1664121814014466e7,7.474898823798294e6,2.5376345633644488e7
t1,1884.2150114853728,0.0,0.0,1884.2150114853728
t2,2310.215011485372,0.0,1223.6651960391682,3533.8802075245403
t3,2576.7849885146265,2015.5599228268125,0.0,4592.344911341439
t4,2576.7849885146265,0.0,0.0,2576.7849885146265
t5,645.0954783723673,0.0,0.0,645.0954783723673
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,539.5359022792147,0.0,0.0,539.5359022792147
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0
t18,0.0,3298.4812673347255,0.0,3298.4812673347255
t19,0.0,5218.06108737913,3370.287844752794,8588.348932131925
t20,0.0,4374.624171214749,0.0,4374.624171214749
t21,244.2150114853728,4169.815040484011,0.0,4414.030051969384
t22,752.2150114853737,0.0,0.0,752.2150114853737
t23,1381.2150114853732,6119.764044310635,0.0,7500.979055796008
t24,2086.215011485373,0.0,0.0,2086.215011485373
t25,1227.4345569937043,0.0,0.0,1227.4345569937043
t26,2576.7849885146265,0.0,0.0,2576.7849885146265
t27,2576.7849885146265,4392.886091840895,0.0,6969.671080355522
t28,2576.7849885146265,5013.250155184403,0.0,7590.0351436990295
t29,2576.7849885146265,1635.4740167422665,0.0,4212.259005256893
t30,2576.7849885146265,0.0,0.0,2576.7849885146265
t31,2211.215011485373,2998.3713930804442,0.0,5209.586404565817
t32,0.0,0.0,5607.78385697828,5607.78385697828
t33,2399.1769227245422,1920.3307607327274,0.0,4319.50768345727
t34,2576.7849885146265,0.0,0.0,2576.7849885146265
t35,2576.7849885146265,7220.916114474855,0.0,9797.701102989482
t36,2576.7849885146265,7220.916114474855,0.0,9797.701102989482
t37,2576.7849885146265,7220.916114474855,0.0,9797.701102989482
t38,2576.7849885146265,0.0,0.0,2576.7849885146265
