Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,Total
Zone,1,2,3,0
AnnualSum,46084.87964030712,15595.841030738482,3959.1678948091994,65639.8885658548
t1,-0.0,-0.0,-0.0,0.0
t2,-0.0,0.0,-0.0,0.0
t3,0.0,-0.0,-0.0,0.0
t4,-0.0,0.0,-0.0,0.0
t5,-0.0,0.0,-0.0,0.0
t6,-0.0,0.0,-0.0,0.0
t7,-0.0,0.0,-0.0,0.0
t8,-0.0,0.0,-0.0,0.0
t9,-0.0,0.0,-0.0,0.0
t10,-0.0,0.0,-0.0,0.0
t11,-0.0,0.0,-0.0,0.0
t12,-0.0,0.0,-0.0,0.0
t13,-0.0,0.0,-0.0,0.0
t14,-0.0,0.0,-0.0,0.0
t15,0.0,0.0,0.0,0.0
t16,-0.0,0.0,-0.0,0.0
t17,-0.0,0.0,-0.0,0.0
t18,-0.0,0.0,-0.0,0.0
t19,-0.0,0.0,-0.0,0.0
t20,-0.0,0.0,-0.0,0.0
t21,-0.0,0.0,-0.0,0.0
t22,-0.0,0.0,-0.0,0.0
t23,-0.0,0.0,-0.0,0.0
t24,-0.0,0.0,-0.0,0.0
t25,-0.0,0.0,-0.0,0.0
t26,-0.0,0.0,-0.0,0.0
t27,0.0,0.0,-0.0,0.0
t28,-0.0,0.0,0.0,0.0
t29,-0.0,0.0,-0.0,0.0
t30,-0.0,0.0,-0.0,0.0
t31,-0.0,-0.0,-0.0,0.0
t32,-0.0,0.0,-0.0,0.0
t33,-0.0,0.0,-0.0,0.0
t34,-0.0,-0.0,-0.0,0.0
t35,-0.0,-0.0,-0.0,0.0
t36,-0.0,-0.0,-0.0,0.0
t37,-0.0,-0.0,-0.0,0.0
t38,-0.0,-0.0,-0.0,0.0
t39,-0.0,-0.0,-0.0,0.0
t40,-0.0,-0.0,-0.0,0.0
t41,-0.0,0.0,0.0,0.0
t42,-0.0,0.0,-0.0,0.0
t43,-0.0,0.0,-0.0,0.0
t44,-0.0,0.0,-0.0,0.0
t45,-0.0,0.0,-0.0,0.0
t46,-0.0,0.0,-0.0,0.0
t47,-0.0,0.0,-0.0,0.0
t48,-0.0,-0.0,-0.0,0.0
t49,-0.0,-0.0,-0.0,0.0
t50,-0.0,-0.0,-0.0,0.0
t51,-0.0,0.0,-0.0,0.0
t52,-0.0,-0.0,-0.0,0.0
t53,-0.0,-0.0,-0.0,0.0
t54,-0.0,-0.0,0.0,0.0
t55,-0.0,-0.0,-0.0,0.0
t56,-0.0,-0.0,-0.0,0.0
t57,-0.0,-0.0,-0.0,0.0
t58,-0.0,0.0,-0.0,0.0
t59,-0.0,-0.0,-0.0,0.0
t60,-0.0,-0.0,-0.0,0.0
t61,-0.0,-0.0,-0.0,0.0
t62,-0.0,-0.0,-0.0,0.0
t63,-0.0,-0.0,-0.0,0.0
t64,-0.0,-0.0,-0.0,0.0
t65,1.355555555555553,0.0,-0.0,1.355555555555553
t66,2.040000000000001,-0.0,-0.0,2.040000000000001
t67,2.040000000000001,-0.0,0.0,2.040000000000001
t68,2.040000000000001,-0.0,-0.0,2.040000000000001
t69,2.040000000000001,-0.0,-0.0,2.040000000000001
t70,2.040000000000001,-0.0,-0.0,2.040000000000001
t71,0.684444444444448,-0.0,-0.0,0.684444444444448
t72,-0.0,0.0,-0.0,0.0
t73,-0.0,-0.0,-0.0,0.0
t74,-0.0,-0.0,-0.0,0.0
t75,0.0,-0.0,-0.0,0.0
t76,-0.0,-0.0,-0.0,0.0
t77,-0.0,-0.0,-0.0,0.0
t78,-0.0,-0.0,-0.0,0.0
t79,-0.0,0.0,-0.0,0.0
t80,-0.0,-0.0,0.0,0.0
t81,-0.0,-0.0,-0.0,0.0
t82,-0.0,-0.0,-0.0,0.0
t83,-0.0,-0.0,-0.0,0.0
t84,-0.0,-0.0,-0.0,0.0
t85,-0.0,1.3140550431220606,-0.0,1.3140550431220606
t86,0.509099285439986,1.3140550431220606,-0.0,1.8231543285620466
t87,0.509099285439986,2.223362489062073,-0.0,2.7324617745020587
t88,3.03090072320842,2.223362489062073,-0.0,5.254263212270493
t89,3.940170940170946,2.223362489062073,-0.0,6.163533429233019
t90,3.940170940170946,2.223362489062073,-0.0,6.163533429233019
t91,3.940170940170946,0.9093074459400122,-0.0,4.849478386110959
t92,3.4310716547309603,0.9093074459400122,-0.0,4.340379100670972
t93,3.4310716547309603,-0.0,-0.0,3.4310716547309603
t94,0.9092702169625262,-0.0,-0.0,0.9092702169625262
t95,-0.0,-0.0,-0.0,0.0
t96,-0.0,-0.0,-0.0,0.0
t97,-0.0,-0.0,-0.0,0.0
t98,-0.0,-0.0,-0.0,0.0
t99,-0.0,-0.0,-0.0,0.0
t100,-0.0,-0.0,-0.0,0.0
t101,-0.0,-0.0,-0.0,0.0
t102,0.0,-0.0,-0.0,0.0
t103,-0.0,0.40849260723242153,0.0,0.40849260723242153
t104,-0.0,0.40849260723242153,-0.0,0.40849260723242153
t105,-0.0,0.40849260723242153,-0.0,0.40849260723242153
t106,-0.0,0.4084926072324215,-0.0,0.4084926072324215
t107,-0.0,0.40849260723242153,-0.0,0.40849260723242153
t108,-0.0,0.40849260723242153,-0.0,0.40849260723242153
t109,-0.0,-0.0,-0.0,0.0
t110,-0.0,-0.0,-0.0,0.0
t111,0.0,-0.0,-0.0,0.0
t112,-0.0,-0.0,-0.0,0.0
t113,-0.0,-0.0,-0.0,0.0
t114,-0.0,-0.0,-0.0,0.0
t115,-0.0,-0.0,-0.0,0.0
t116,-0.0,-0.0,-0.0,0.0
t117,-0.0,0.5164063861466962,0.0,0.5164063861466962
t118,-0.0,0.5164063861466962,-0.0,0.5164063861466962
t119,-0.0,0.5164063861466962,-0.0,0.5164063861466962
t120,0.0,0.5164063861466962,-0.0,0.5164063861466962
t121,-0.0,0.5164063861466962,-0.0,0.5164063861466962
t122,-0.0,0.5164063861466962,-0.0,0.5164063861466962
t123,-0.0,-0.0,-0.0,0.0
t124,-0.0,-0.0,-0.0,0.0
t125,-0.0,-0.0,-0.0,0.0
t126,-0.0,-0.0,-0.0,0.0
t127,-0.0,-0.0,-0.0,0.0
t128,0.0,-0.0,-0.0,0.0
t129,-0.0,0.0,-0.0,0.0
t130,-0.0,-0.0,-0.0,0.0
t131,-0.0,-0.0,-0.0,0.0
t132,-0.0,-0.0,-0.0,0.0
t133,-0.0,-0.0,-0.0,0.0
