Costs,Total,Zone1,Zone2,Zone3
cTotal,6.63820342174598e9,1.4543474120775826e9,2.9737240699855075e9,2.1371271838864512e9
cFix,6.214826230612216e9,1.2170591921903884e9,2.8963170368309994e9,2.1014500015908275e9
cVar,7.051887201505882e7,3.95117229854263e7,2.0810744835561655e7,1.0196404194071144e7
cFuel,2.7454684393167794e8,1.9416288493800762e8,5.523247567104849e7,2.5151483322610818e7
cNSE,0.0,0.0,0.0,0.0
cStart,5.306719390599806e6,3.61361196376006e6,1.3638126478979334e6,329294.77894180984
cUnmetRsv,0.0,-,-,-
cNetworkExp,7.30047557956944e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
