Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,3.068798578234708e6,0.0,1.2198472948500449e7,0.0,0.0,0.0,1.5267271526735157e7
t1,0.0,0.0,0.0,0.0,315.04712646012933,0.0,6522.684503584607,0.0,0.0,0.0,6837.731630044736
t2,0.0,0.0,0.0,0.0,1222.9941473384933,0.0,4878.260841622743,0.0,0.0,0.0,6101.254988961236
t3,0.0,0.0,0.0,0.0,344.06845753505877,0.0,6358.684264704649,0.0,0.0,0.0,6702.7527222397075
t4,0.0,0.0,0.0,0.0,1714.8744389371534,0.0,6265.42079446998,0.0,0.0,0.0,7980.295233407133
t5,0.0,0.0,0.0,0.0,0.0,0.0,5522.382654929684,0.0,0.0,0.0,5522.382654929684
t6,0.0,0.0,0.0,0.0,0.0,0.0,4817.762400849109,0.0,0.0,0.0,4817.762400849109
t7,0.0,0.0,0.0,0.0,0.0,0.0,3875.5958944089757,0.0,0.0,0.0,3875.5958944089757
t8,0.0,0.0,0.0,0.0,0.0,0.0,3123.2423978664006,0.0,0.0,0.0,3123.2423978664006
t9,0.0,0.0,0.0,0.0,0.0,0.0,1531.5109983549648,0.0,0.0,0.0,1531.5109983549648
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,711.3470727913933,0.0,0.0,0.0,711.3470727913933
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,5907.2732489248165,0.0,0.0,0.0,5907.2732489248165
t21,0.0,0.0,0.0,0.0,0.0,0.0,5850.38726134259,0.0,0.0,0.0,5850.38726134259
t22,0.0,0.0,0.0,0.0,5375.862287288177,0.0,6886.391804240939,0.0,0.0,0.0,12262.254091529116
t23,0.0,0.0,0.0,0.0,0.0,0.0,6904.355339462754,0.0,0.0,0.0,6904.355339462754
t24,0.0,0.0,0.0,0.0,2969.7549791952015,0.0,6958.703598584986,0.0,0.0,0.0,9928.458577780188
t25,0.0,0.0,0.0,0.0,0.0,0.0,6444.616061262613,0.0,0.0,0.0,6444.616061262613
t26,0.0,0.0,0.0,0.0,0.0,0.0,6167.455528867381,0.0,0.0,0.0,6167.455528867381
t27,0.0,0.0,0.0,0.0,0.0,0.0,5970.467419790795,0.0,0.0,0.0,5970.467419790795
t28,0.0,0.0,0.0,0.0,0.0,0.0,6874.339884190069,0.0,0.0,0.0,6874.339884190069
t29,0.0,0.0,0.0,0.0,0.0,0.0,7541.9284334209215,0.0,0.0,0.0,7541.9284334209215
t30,0.0,0.0,0.0,0.0,2257.660010916595,0.0,6666.088617534184,0.0,0.0,0.0,8923.74862845078
t31,0.0,0.0,0.0,0.0,0.0,0.0,5407.593123370797,0.0,0.0,0.0,5407.593123370797
t32,0.0,0.0,0.0,0.0,0.0,0.0,8.433076389772864,0.0,0.0,0.0,8.433076389772864
t33,0.0,0.0,0.0,0.0,0.0,0.0,6276.758398179469,0.0,0.0,0.0,6276.758398179469
t34,0.0,0.0,0.0,0.0,5429.216182619865,0.0,7528.706127654809,0.0,0.0,0.0,12957.922310274675
t35,0.0,0.0,0.0,0.0,718.869394485397,0.0,7934.505355358804,0.0,0.0,0.0,8653.3747498442
t36,0.0,0.0,0.0,0.0,1019.7403089770596,0.0,7132.573658480718,0.0,0.0,0.0,8152.313967457778
t37,0.0,0.0,0.0,0.0,1033.333554792712,0.0,6420.786041480548,0.0,0.0,0.0,7454.11959627326
t38,0.0,0.0,0.0,0.0,7969.0500322993685,0.0,7409.817427063794,0.0,0.0,0.0,15378.867459363162
t39,0.0,0.0,0.0,0.0,356.4893629892634,0.0,6969.192199380909,0.0,0.0,0.0,7325.681562370172
t40,0.0,0.0,0.0,0.0,0.0,0.0,6008.723352239036,0.0,0.0,0.0,6008.723352239036
