Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
AnnualSum,1.0643446043544235e7,3.51658549179707e6,916398.1849263341,1.1454685681438271e7,5.0260394522369966e7,5.358068017507604e6,4.002364383663769e7,5.279271876472039e6,9.872512703381795e6,6.326754364462806e6,1.436517607225378e8
t1,-0.0,-0.0,-0.0,-0.0,8087.010593966436,-0.0,5109.307694,0.0,0.0,0.0,13196.318287966436
t2,-0.0,-0.0,-0.0,-0.0,7965.010593966436,-0.0,6274.972890039168,0.0,0.0,0.0,14239.983484005605
t3,-0.0,-0.0,-0.0,-0.0,9889.570516793246,-0.0,4956.876690514639,0.0,0.0,0.0,14846.447207307887
t4,-0.0,-0.0,-0.0,-0.0,7829.010593966435,-0.0,4771.700866414154,0.0,0.0,0.0,12600.71146038059
t5,-0.0,-0.0,-0.0,-0.0,5628.0577378700245,-0.0,4983.307693999999,0.0,0.0,0.0,10611.365431870025
t6,-0.0,-0.0,-0.0,-0.0,3605.6102418749465,-0.0,4999.307694,0.0,1528.8874196227948,0.0,10133.805355497741
t7,-0.0,-0.0,-0.0,-0.0,4325.2185738686785,-0.0,5035.307694,0.0,1149.5231775439158,0.0,10510.049445412593
t8,-0.0,-0.0,-0.0,-0.0,5581.320966596228,-0.0,5068.307693999999,0.0,200.35532416682412,0.0,10849.98398476305
t9,-0.0,-0.0,-0.0,1309.7464000590512,4855.060333947506,668.8462683395627,5122.307694,0.0,0.0,0.0,11955.96069634612
t10,-0.0,-0.0,-0.0,3158.410374510022,0.22407650261019374,1409.4858205997473,1001.2644721350812,0.0,6218.0382881088335,135.73552786491882,11923.158559721214
t11,-0.0,-0.0,-0.0,4231.828166126716,0.6707553203134088,1928.0670760821943,316.1881738563013,0.0,4920.248400235988,852.8118261436988,12249.814397765213
t12,-0.0,-0.0,-0.0,4773.690645296732,8.43294227323258,2171.830319161516,82.72689487816878,0.0,4234.240755570351,1098.2731051218313,12369.194662301832
t13,-0.0,-0.0,-0.0,4570.4922156079765,1279.6213739902648,2058.964598393282,153.0253620026766,0.0,3336.140144779684,1033.9746379973235,12432.218332771206
t14,-0.0,-0.0,-0.0,4387.908119365905,5028.418579637525,2071.987566174232,239.8182530951497,0.0,0.0,605.1441649946278,12333.27668326744
t15,-0.0,-0.0,-0.0,3690.7019131512216,4814.297294814546,1713.0211465711218,440.0437977321619,0.0,826.0732919414329,724.9562022678382,12209.093646478323
t16,-0.0,-0.0,-0.0,2437.644930070556,5679.002105671584,1124.9840629236078,1129.7414949821307,0.0,1495.024425371244,431.6896710209841,12298.086690040107
t17,-0.0,-0.0,-0.0,472.65721688471655,3825.2419659277393,356.62896384755516,2514.9051364239467,1979.8326175589361,4356.1396641911415,0.0,13505.405564834036
t18,-0.0,-0.0,-0.0,-0.0,12063.491861301161,-0.0,5433.307694,490.7849885146266,0.0,0.0,17987.58454381579
t19,-0.0,-0.0,-0.0,-0.0,13966.071681345566,-0.0,8795.595538752794,430.7849885146261,0.0,0.0,23192.452208612987
t20,-0.0,-0.0,-0.0,-0.0,13034.634765181187,-0.0,5382.307694,119.78498851462618,0.0,0.0,18536.727447695815
t21,-0.0,-0.0,-0.0,-0.0,12724.825634450446,-0.0,5333.307694,0.0,0.0,0.0,18058.133328450447
t22,-0.0,-0.0,-0.0,-0.0,8410.010593966437,-0.0,5264.307693999999,0.0,0.0,0.0,13674.318287966436
t23,-0.0,-0.0,-0.0,-0.0,14349.774638277071,-0.0,5178.307694,0.0,0.0,0.0,19528.08233227707
t24,-0.0,-0.0,-0.0,-0.0,8029.010593966436,-0.0,5081.307693999999,0.0,0.0,0.0,13110.318287966435
t25,-0.0,-0.0,-0.0,-0.0,6384.204633021882,-0.0,5000.307694,0.0,0.0,0.0,11384.512327021883
t26,-0.0,-0.0,-0.0,-0.0,7423.701690734392,-0.0,4807.332339917367,0.0,0.0,0.0,12231.03403065176
t27,-0.0,-0.0,-0.0,-0.0,12098.89668580733,-0.0,4272.126141342843,0.0,0.0,0.0,16371.022827150173
t28,-0.0,-0.0,-0.0,-0.0,12707.260749150839,-0.0,4227.352034218351,0.0,0.0,0.0,16934.61278336919
t29,-0.0,-0.0,-0.0,-0.0,9370.484610708703,-0.0,4391.170578107532,0.0,0.0,0.0,13761.655188816236
t30,-0.0,-0.0,-0.0,-0.0,7838.010593966435,-0.0,4809.355880134879,0.0,0.0,0.0,12647.366474101314
t31,-0.0,-0.0,-0.0,-0.0,10991.38198704688,-0.0,5064.307694,0.0,0.0,0.0,16055.689681046879
t32,-0.0,-0.0,-0.0,-0.0,4090.5663826871664,-0.0,10733.091550978279,0.0,2241.359885648014,0.0,17065.01781931346
t33,-0.0,-0.0,-0.0,1177.961911239169,9657.056919667515,539.2844350316494,5200.307693999999,0.0,0.0,0.0,16574.610959938334
t34,-0.0,-0.0,-0.0,2516.421132884675,7012.500038833358,1423.5105551330785,4661.510454359139,0.0,0.0,0.0,15613.942181210252
t35,-0.0,-0.0,-0.0,3645.792115285228,13870.569878917822,1903.3568295234684,3983.8607488142275,0.0,0.0,0.0,23403.579572540748
t36,-0.0,-0.0,-0.0,4162.622903841414,13656.442678797233,2164.484029644057,3652.1060525999947,0.0,0.0,0.0,23635.655664882695
t37,-0.0,-0.0,-0.0,4206.060249318359,13708.541616930559,2108.385091510733,3589.508790059711,0.0,0.0,0.0,23612.49574781936
t38,-0.0,-0.0,-0.0,3985.9286171555386,6772.825139423901,1806.1854545425338,3741.7593123748507,0.0,0.0,0.0,16306.698523496823
t39,-0.0,-0.0,-0.0,3443.3299117909964,14362.741241797103,1428.1854666441886,4260.532538504231,0.0,0.0,0.0,23494.78915873652
t40,-0.0,-0.0,-0.0,2350.7702391166667,14114.873338888905,1136.0034971997966,5360.307693999999,0.0,0.0,0.0,22961.954769205367
t41,-0.0,-0.0,-0.0,738.4348731080541,13044.965458529026,434.4328482824618,5483.307693999999,123.35011540657295,0.0,0.0,19824.490989326114
t42,-0.0,-0.0,-0.0,-0.0,10287.746594736713,-0.0,5609.307694,1780.7849885146277,0.0,0.0,17677.83927725134
t43,-0.0,-0.0,-0.0,-0.0,7843.907830323609,-0.0,5595.307694,1679.7849885146268,1261.1027636428255,0.0,16380.10327648106
t44,-0.0,-0.0,-0.0,-0.0,2641.284157976828,-0.0,5558.307694,1403.784988514627,6384.726435989609,0.0,15988.103276481064
t45,-0.0,-0.0,-0.0,-0.0,6790.475263269395,-0.0,11104.09155097828,953.7849885146276,2106.5353306970396,0.0,20954.887133459342
t46,-0.0,-0.0,-0.0,-0.0,8490.751224691601,-0.0,5399.307694,244.78498851462618,204.25936927483514,0.0,14339.103276481062
t47,-0.0,-0.0,-0.0,-0.0,7755.470893654063,-0.0,5280.307693999999,0.0,46.47182423689333,0.0,13082.250411890955
t48,-0.0,-0.0,-0.0,-0.0,8217.010593966435,-0.0,5171.307693999999,0.0,0.0,0.0,13388.318287966435
t49,-0.0,-0.0,-0.0,-0.0,8066.010593966435,-0.0,5099.307694,0.0,0.0,0.0,13165.318287966435
t50,-0.0,-0.0,-0.0,-0.0,10128.455193754304,-0.0,5063.307694,0.0,0.0,0.0,15191.762887754303
t51,-0.0,-0.0,-0.0,-0.0,7954.010593966435,-0.0,5046.307693999999,0.0,0.0,0.0,13000.318287966435
t52,-0.0,-0.0,-0.0,-0.0,7959.010593966436,-0.0,5048.307694,0.0,0.0,0.0,13007.318287966436
t53,-0.0,-0.0,-0.0,-0.0,11886.494981755632,-0.0,5084.307693999999,0.0,0.0,0.0,16970.80267575563
t54,-0.0,-0.0,-0.0,-0.0,11814.480656188012,-0.0,5191.307694,0.0,0.0,0.0,17005.788350188013
t55,-0.0,-0.0,-0.0,-0.0,10851.883838473163,-0.0,5382.307694,113.78498851462773,0.0,0.0,16347.976520987791
t56,-0.0,-0.0,-0.0,-0.0,9301.480649760524,-0.0,10019.460690025318,894.7849885146265,0.0,0.0,20215.726328300472
t57,-0.0,-0.0,-0.0,1580.67763964406,10781.33955795579,634.1183542570293,5506.307694,0.0,0.0,0.0,18502.44324585688
t58,-0.0,-0.0,-0.0,3209.9462081267357,7501.475304300028,1437.5352896664092,5516.307694,0.0,0.0,0.0,17665.264496093172
t59,-0.0,-0.0,-0.0,4260.54098771317,14282.232423162264,1905.6942852790235,5033.690693016915,0.0,0.0,0.0,25482.158389171374
t60,-0.0,-0.0,-0.0,4652.949549394718,14004.400276740096,2188.526431701195,4654.850533000266,0.0,0.0,0.0,25500.726790836277
t61,-0.0,-0.0,-0.0,4749.3951808774245,13970.027485936924,2210.899222504366,4504.5973612339885,0.0,0.0,0.0,25434.919250552703
t62,-0.0,-0.0,-0.0,4569.755989413452,6775.832218535081,2180.1783754313556,4669.50445964881,0.0,0.0,0.0,18195.271043028697
t63,-0.0,-0.0,-0.0,4052.1889746627417,14250.218289143222,1913.70841929807,5150.5308057179045,0.0,0.0,0.0,25366.646488821938
t64,-0.0,-0.0,-0.0,2783.6712414970616,14736.753328322984,1378.09712902515,5538.307694,0.0,0.0,0.0,24436.829392845197
t65,158.5999999999997,-0.0,-0.0,1009.3661126930631,8654.994711347492,576.0158826189444,5655.307693999999,955.8188758215648,0.0,0.0,17010.103276481062
t66,484.9999999999999,-0.0,-0.0,-0.0,14562.576141983425,-0.0,5784.307694,2576.7849885146265,0.0,0.0,23408.668824498054
t67,510.0000000000002,-0.0,-0.0,-0.0,14741.87517172327,-0.0,5787.307694,2576.7849885146265,0.0,0.0,23615.967854237897
t68,294.0000000000009,-0.0,-0.0,-0.0,9445.010593966437,-0.0,5758.307694,2576.7849885146265,0.0,0.0,18074.103276481066
t69,238.68000000000012,-0.0,-0.0,-0.0,14741.87517172327,-0.0,11310.091550978279,2222.1049885146267,0.0,0.0,28512.751711216177
t70,238.68000000000012,-0.0,-0.0,-0.0,14690.103091856445,-0.0,5604.307693999999,1503.1049885146274,0.0,0.0,22036.195774371074
t71,80.08000000000041,-0.0,-0.0,-0.0,14708.432446576833,-0.0,5473.307694,700.704988514627,0.0,0.0,20962.52512909146
t72,-0.0,-0.0,-0.0,-0.0,8608.010593966435,-0.0,5358.307693999999,0.0,0.0,0.0,13966.318287966435
t73,-0.0,-0.0,-0.0,-0.0,14741.87517172327,-0.0,5286.307693999999,0.0,0.0,0.0,20028.18286572327
t74,-0.0,-0.0,-0.0,-0.0,14727.974394239469,-0.0,5249.307694,0.0,0.0,0.0,19977.28208823947
t75,-0.0,-0.0,-0.0,-0.0,14222.95765711232,-0.0,5230.307693999999,0.0,0.0,0.0,19453.26535111232
t76,-0.0,-0.0,-0.0,-0.0,8344.010593966435,-0.0,5232.307693999999,0.0,0.0,0.0,13576.318287966435
t77,-0.0,-0.0,-0.0,-0.0,13359.527384557005,-0.0,5265.307694,0.0,0.0,0.0,18624.835078557004
t78,-0.0,-0.0,-0.0,-0.0,11930.998580069041,-0.0,5366.307693999999,0.0,0.0,0.0,17297.30627406904
t79,-0.0,-0.0,-0.0,-0.0,9011.010593966435,-0.0,5550.307694,1349.7849885146268,0.0,0.0,15911.10327648106
t80,-0.0,-0.0,-0.0,-0.0,7088.033777797431,-0.0,5650.307693999999,2085.7849885146275,2132.9768161690054,0.0,16957.103276481062
t81,-0.0,-0.0,-0.0,1676.3870449322426,5583.511093281116,735.9646407490745,10405.65999007195,423.3979435823837,2905.534859936246,0.0,21730.455572553015
t82,-0.0,-0.0,-0.0,3314.490327749212,5656.2762520349825,1480.945182269576,5648.307694,0.0,817.6594687941288,0.0,16917.678924847896
t83,-0.0,-0.0,-0.0,4451.22357209501,6441.946037208868,1883.6554167266468,5644.307694,0.0,0.0,0.0,18421.132720030524
