BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.209813172498176e7,5.279271876472039e6,-6.237324995831725e6,0.0,0.0,0.0,0.0,6.183963843882235e7,-485403.0444464167,-8.2494314e7,5.913504803167474e7,9.872512703381795e6,-1.1664121814014466e7,0.0,0.0,0.0,0.0,-3.3572247039736114e7,-207115.8813078422,-2.3564076e7,4.094004202156398e7,6.326754364462806e6,-7.474898823798294e6,0.0,0.0,0.0,0.0,-2.8267391399089467e7,-278287.16313855955,-1.1246219e7
t1,0.0,0.0,-1884.2150114853728,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-7850.0,8087.010593966436,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2242.0,5109.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1070.0
t2,0.0,0.0,-2310.215011485372,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-7424.0,7965.010593966436,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2120.0,6274.972890039168,0.0,-1223.6651960391682,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1012.0
t3,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9758.336136497852,-74.55114798322373,-7107.0,9889.570516793246,0.0,-2015.5599228268125,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2029.0,4956.876690514639,0.0,-0.0,0.0,0.0,0.0,0.0,-3949.069486771947,-38.80720374269218,-969.0
t4,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9596.748224447609,-72.96323593298126,-6947.0,7829.010593966435,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-1984.0,4771.700866414154,0.0,-0.0,0.0,0.0,0.0,0.0,-3787.4815747217044,-37.21929169244972,-947.0
t5,0.0,0.0,-645.0954783723673,0.0,0.0,0.0,0.0,7628.7304551211955,-61.63497674882862,-6922.0,5628.0577378700245,0.0,-0.0,0.0,0.0,0.0,0.0,-3628.730455121196,-22.327282748828626,-1977.0,4983.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-944.0
t6,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7103.402677748872,-58.402677748870566,-7045.0,3605.6102418749465,1528.8874196227948,-0.0,0.0,0.0,0.0,0.0,-3103.4026777488707,-19.094983748870565,-2012.0,4999.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-960.0
t7,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7367.024722706297,-60.02472270629694,-7307.0,4325.2185738686785,1149.5231775439158,-0.0,0.0,0.0,0.0,0.0,-3367.0247227062973,-20.717028706296947,-2087.0,5035.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-996.0
t8,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7605.491992381525,-61.491992381526146,-7544.0,5581.320966596228,200.35532416682412,-0.0,0.0,0.0,0.0,0.0,-3605.4919923815255,-22.184298381526148,-2154.0,5068.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1029.0
t9,1309.7464000590512,0.0,-539.5359022792147,0.0,0.0,0.0,0.0,7235.001899253616,-59.2123970334527,-7946.0,5523.906602287068,0.0,-0.0,0.0,0.0,0.0,0.0,-3235.001899253616,-19.90470303345271,-2269.0,5122.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1083.0
t10,3158.410374510022,0.0,-0.0,0.0,0.0,0.0,0.0,5213.668905350584,-32.07927986060636,-8340.0,1409.7098971023577,6218.0382881088335,-0.0,0.0,0.0,0.0,0.0,-5213.668905350584,-32.07927986060636,-2382.0,1001.2644721350812,135.73552786491882,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1137.0
t11,4231.828166126716,0.0,-0.0,0.0,0.0,0.0,0.0,4373.07903275589,-26.907198882605822,-8578.0,1928.7378314025077,4920.248400235988,-0.0,0.0,0.0,0.0,0.0,-4373.07903275589,-26.907198882605822,-2449.0,316.1881738563013,852.8118261436988,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1169.0
t12,4773.690645296732,0.0,-0.0,0.0,0.0,0.0,0.0,3916.4066858541837,-24.097331150915895,-8666.0,2180.2632614347485,4234.240755570351,-0.0,0.0,0.0,0.0,0.0,-3916.4066858541837,-24.097331150915895,-2474.0,82.72689487816878,1098.2731051218313,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1181.0
t13,4570.4922156079765,0.0,-0.0,0.0,0.0,0.0,0.0,4162.116950777628,-25.609166385603253,-8707.0,3338.585972383547,3336.140144779684,-0.0,0.0,0.0,0.0,0.0,-4162.116950777628,-25.609166385603253,-2487.0,153.0253620026766,1033.9746379973235,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1187.0
t14,4387.908119365905,0.0,-0.0,0.0,0.0,0.0,0.0,4273.730222267815,-31.638341633719495,-8630.0,7100.406145811757,0.0,-0.0,0.0,0.0,0.0,0.0,-4608.053170211777,-28.352975599979693,-2464.0,239.8182530951497,605.1441649946278,-0.0,0.0,0.0,0.0,0.0,334.3229479439622,-3.2853660337397987,-1176.0
t15,3690.7019131512216,0.0,-0.0,0.0,0.0,0.0,0.0,4883.344910087941,-30.046823239160926,-8544.0,6527.318441385668,826.0732919414329,-0.0,0.0,0.0,0.0,0.0,-4883.344910087941,-30.046823239160926,-2440.0,440.0437977321619,724.9562022678382,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1165.0
t16,2437.644930070556,0.0,-0.0,0.0,0.0,0.0,0.0,6195.898414949496,-39.54334502005374,-8594.0,6803.986168595192,1495.024425371244,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2454.0,1129.7414949821307,431.6896710209841,-0.0,0.0,0.0,0.0,0.0,-386.63176522359265,-3.7994007795222053,-1171.0
t17,472.65721688471655,1979.8326175589361,-0.0,0.0,0.0,0.0,0.0,7026.212947973365,-47.70278241701752,-9431.0,4181.870929775294,4356.1396641911415,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2693.0,2514.9051364239467,0.0,-0.0,0.0,0.0,0.0,0.0,-1216.9462982474606,-11.958838176485978,-1286.0
t18,0.0,490.7849885146266,-0.0,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-10225.0,12063.491861301161,0.0,-3298.4812673347255,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2920.0,5433.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1394.0
t19,0.0,430.7849885146261,-0.0,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-10165.0,13966.071681345566,0.0,-5218.06108737913,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2903.0,8795.595538752794,0.0,-3370.287844752794,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1386.0
t20,0.0,119.78498851462618,-0.0,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-9854.0,13034.634765181187,0.0,-4374.624171214749,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2815.0,5382.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1343.0
t21,0.0,0.0,-244.2150114853728,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-9490.0,12724.825634450446,0.0,-4169.815040484011,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2710.0,5333.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1294.0
t22,0.0,0.0,-752.2150114853737,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-8982.0,8410.010593966437,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2565.0,5264.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1225.0
t23,0.0,0.0,-1381.2150114853732,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-8353.0,14349.774638277071,0.0,-6119.764044310635,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2385.0,5178.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.0
t24,0.0,0.0,-2086.215011485373,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-7648.0,8029.010593966436,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2184.0,5081.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1042.0
t25,0.0,0.0,-1227.4345569937043,0.0,0.0,0.0,0.0,8344.473442007793,-66.03888501408842,-7051.0,6384.204633021882,0.0,-0.0,0.0,0.0,0.0,0.0,-4344.473442007793,-26.731191014088427,-2013.0,5000.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-961.0
t26,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9337.409509583193,-71.62452106856651,-6689.0,7423.701690734392,0.0,-0.0,0.0,0.0,0.0,0.0,-5479.983797049824,-33.71789368456811,-1910.0,4807.332339917367,0.0,-0.0,0.0,0.0,0.0,0.0,-3857.4257125333684,-37.9066273839984,-912.0
t27,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9160.460861911952,-68.67587339732658,-6515.0,12098.89668580733,0.0,-4392.886091840895,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-1861.0,4272.126141342843,0.0,-0.0,0.0,0.0,0.0,0.0,-3351.194212186048,-32.93192915679506,-888.0
t28,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9121.073808349707,-68.28881983508002,-6476.0,12707.260749150839,0.0,-5013.250155184403,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-1849.0,4227.352034218351,0.0,-0.0,0.0,0.0,0.0,0.0,-3311.8071586238034,-32.54487559454848,-883.0
t29,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9264.483080294298,-69.6980917796702,-6618.0,9370.484610708703,0.0,-1635.4740167422665,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-1890.0,4391.170578107532,0.0,-0.0,0.0,0.0,0.0,0.0,-3455.216430568393,-33.95414753913865,-902.0
t30,0.0,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9630.07573130797,-73.29074279334377,-6980.0,7838.010593966435,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-1993.0,4809.355880134879,0.0,-0.0,0.0,0.0,0.0,0.0,-3820.8090815820665,-37.54679855281223,-951.0
t31,0.0,0.0,-2211.215011485373,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-7523.0,10991.38198704688,0.0,-2998.3713930804442,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2148.0,5064.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1025.0
t32,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8032.11698116759,-64.11698116759021,-7968.0,4090.5663826871664,2241.359885648014,-0.0,0.0,0.0,0.0,0.0,-4032.11698116759,-24.809287167590217,-2275.0,10733.091550978279,0.0,-5607.78385697828,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1086.0
t33,1177.961911239169,0.0,-2399.1769227245422,0.0,0.0,0.0,0.0,9809.266649725903,-75.05163824053155,-8513.0,10196.341354699165,0.0,-1920.3307607327274,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2431.0,5200.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1161.0
t34,2516.421132884675,0.0,-2576.7849885146265,0.0,0.0,0.0,0.0,9201.442451977762,-69.07859634781167,-9072.0,8436.010593966437,0.0,-0.0,0.0,0.0,0.0,0.0,-5809.266649725904,-35.74394424053154,-2591.0,4661.510454359139,0.0,-0.0,0.0,0.0,0.0,0.0,-3392.1758022518584,-33.334652107280135,-1236.0
