Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,1.0722045611193916e9,3.268380037411035e9,2.5420306119290156e9,6.882615210459442e9
t1,63763.11852507552,346850.8621111673,173599.5171313252,584213.497767568
t2,65888.51633564207,346850.8621111673,174725.28911168122,587464.6675584905
t3,68259.15852507552,348705.1772401679,174725.28911168122,591689.6248769247
t4,70629.80071450898,348705.1772401679,174725.28911168122,594060.2670663581
t5,71223.28855461156,348705.1772401679,174725.28911168122,594653.7549064606
t6,71223.28855461156,347043.34308840404,174725.28911168122,592991.9207546968
t7,71223.28855461156,345793.8613736824,174725.28911168122,591742.4390399752
t8,71223.28855461156,345576.0838474141,174725.28911168122,591524.6615137069
t9,71719.66158470843,345576.0838474141,174725.28911168122,592021.0345438038
t10,71719.66158470843,338817.34657773055,174577.75049443677,585114.7586568757
t11,71719.66158470843,333469.25049051753,173650.7811181936,578839.6931934196
t12,71719.66158470843,328866.81488663674,172457.00600393076,573043.4824752759
t13,71719.66158470843,325240.57559883274,171333.1205278467,568293.3577113879
t14,71719.66158470843,325240.57559883274,170675.35513111344,567635.5923146546
t15,71719.66158470843,324342.66984672245,169887.3592590832,565949.690690514
t16,71719.66158470843,322717.6432974059,169418.13135579953,563855.4362379139
t17,69567.66960910089,317982.70887980686,169418.13135579953,556968.5098447073
t18,69034.20766506325,321017.31164575485,169418.13135579953,559469.6506666177
t19,68565.96311232995,325817.9278461436,172518.7961729721,566902.6871314456
t20,68435.76203785752,329842.58208366117,172518.7961729721,570797.1402944907
t21,68660.43984842408,333678.8119209065,172518.7961729721,574858.0479423027
t22,69352.47765899063,333678.8119209065,172518.7961729721,575550.0857528691
t23,70623.19546955716,339308.99484167225,172518.7961729721,582450.9864842015
t24,72542.5132801237,339308.99484167225,172518.7961729721,584370.304294768
t25,73671.7530725579,339308.99484167225,172518.7961729721,585499.5440872023
t26,76042.39526199136,339308.99484167225,172518.7961729721,587870.1862766357
t27,78413.03745142481,343350.45004616585,172518.7961729721,594282.2836705628
t28,80783.67964085827,347962.6401889355,172518.7961729721,601265.1160027658
t29,83154.32183029172,349467.2762843384,172518.7961729721,605140.3942876022
t30,85524.96401972517,349467.2762843384,172518.7961729721,607511.0364770356
t31,87559.28183029173,352225.7779659724,172518.7961729721,612303.8559692362
t32,87559.28183029173,349789.5172207028,177677.9573213921,615026.7563723866
t33,89766.52459919831,351556.2215205769,177677.9573213921,619000.7034411674
t34,92137.16678863176,351556.2215205769,177677.9573213921,621371.3456306008
t35,94507.80897806521,358199.46434589376,177677.9573213921,630385.2306453511
t36,96878.45116749867,364842.7071712106,177677.9573213921,639399.1156601014
t37,99249.09335693212,371485.9499965275,177677.9573213921,648413.0006748517
t38,101619.73554636557,371485.9499965275,177677.9573213921,650783.6428642852
t39,103990.37773579903,378129.19282184436,177677.9573213921,659797.5278790356
t40,106196.5241663529,384237.86976459686,177677.9573213921,668112.3512523419
t41,106062.44795395444,388477.5864604143,177677.9573213921,672217.9917357608
t42,104126.81209687333,389539.0235811229,177677.9573213921,671343.7929993884
t43,102300.95884848785,388168.25970759813,177677.9573213921,668147.1758774781
t44,100775.1056001024,381228.33966847893,177677.9573213921,659681.4025899734
t45,99738.38278649954,378938.6273525039,182837.11846981215,661514.1286088156
t46,99472.31214680972,378716.6062989443,182837.11846981215,661026.0369155661
t47,99472.31214680972,378666.0934465129,182837.11846981215,660975.5240631348
t48,100788.10995737626,378666.0934465129,182837.11846981215,662291.3218737013
t49,102589.66776794281,378666.0934465129,182837.11846981215,664092.8796842678
t50,104633.18557850935,380633.4624783177,182837.11846981215,668103.7665266392
t51,106793.54338907589,380633.4624783177,182837.11846981215,670264.1243372058
t52,108940.10119964243,380633.4624783177,182837.11846981215,672410.6821477723
t53,110841.939010209,384177.7481150838,182837.11846981215,677856.8055951049
t54,112018.81682077552,387448.7805723276,182837.11846981215,682304.7158629153
t55,111895.13748543353,389468.0639572738,182837.11846981215,684200.3199125195
t56,110922.54510661328,389855.8164086044,187005.77922615543,687784.1407413732
t57,111432.12634565236,392153.46794139105,187005.77922615543,690591.3735131989
t58,113372.5546676955,392153.46794139105,187005.77922615543,692531.801835242
