Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,3.405824323184829e11
CT,CT_natural_gas_combined_cycle,2,1,1.0670513065558377e11
ME,ME_natural_gas_combined_cycle,3,1,2.7086762759872044e10
MA,MA_solar_pv,1,1,2.9306699153040576e11
CT,CT_onshore_wind,2,1,3.63170027039843e11
CT,CT_solar_pv,2,1,3.240297302569014e11
ME,ME_onshore_wind,3,1,4.579054621201374e11
MA,MA_battery,1,0,1.2973835480825854e11
CT,CT_battery,2,0,1.271679626057805e11
ME,ME_battery,3,0,1.5078669145387927e11
