region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.761228445270733e7,2.098288524198511e8,0.0,2.099348951004448e7,0.0,0.0,3.405824323184829e11,0.0,0.0,0.0,0.0,0.0,2.870086660794844e11,0.0,3.405824323184829e11,2.873257833479994e11,5.325664897048352e10
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,1.2501922180327384e7,5.703756056406376e7,0.0,6.315832337800216e6,0.0,0.0,1.0670513065558377e11,0.0,0.0,0.0,0.0,0.0,9.356725905126183e10,0.0,1.0670513065558377e11,9.36541567566817e10,1.305097389890207e10
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777831e6,0.0,0.0,4.116766349574087e6,2.5927415300732743e7,0.0,1.262048924416716e6,0.0,0.0,2.7086762759872044e10,0.0,0.0,0.0,0.0,0.0,2.1096138680889057e10,0.0,2.7086762759872044e10,2.1133034777805557e10,5.953727982066486e9
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9306699153040576e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9306699153040576e11,2.2590586242054912e8,2.928410856679852e11
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.9385952953060516e6,0.0,0.0,0.0,0.0,0.0,3.63170027039843e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63170027039843e11,4.867622727999238e8,3.626832647670431e11
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.470991254211371e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240297302569014e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240297302569014e11,2.470991254211371e8,3.237826311314803e11
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.7453903185919677e6,0.0,0.0,0.0,0.0,0.0,4.579054621201374e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579054621201374e11,5.903610360556546e8,4.573151010840817e11
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803371e7,1.6216724907967083e7,0.0,976217.466018466,0.0,1.136879614727285e6,0.0,1.0683499872997371e11,0.0,1.2973835480825854e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2973835480825854e11,1.0686750370703822e11,2.287085110122032e10
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.1804637508384157e7,3.638528499426992e7,0.0,938177.5511618061,0.0,1.0929490871423467e6,0.0,7.279613716518623e10,0.0,1.271679626057805e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.271679626057805e11,7.28663582143272e10,5.430160439145331e10
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.135622163449793e7,0.0,1.0481452622974127e6,0.0,1.2373239447528913e6,0.0,8.55132647875033e10,0.0,1.5078669145387927e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5078669145387927e11,8.557431517564857e10,6.52123762782307e10
