Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32137.07648302296,27263.64333763093,80295.37752810876
n2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31969.1264115752,27263.64333763093,80295.37752810876
n3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32033.01308579015,27263.64333763093,83784.56883055168
n4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32603.68034204862,27263.64333763093,87608.91546791756
n5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32603.68034204862,27020.574830976708,89466.36731769015
n6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31171.8850547917,27020.574830976708,91663.42527043867
n7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29909.51922644809,27020.574830976708,91663.42527043867
n8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28787.60519949862,27020.574830976708,91663.42527043867
n9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26164.736043880683,27020.574830976708,91663.42527043867
n10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28334.078184847996,29008.523126948086,91663.42527043867
n11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30998.254419728302,29540.116965989822,89163.24037691836
n12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33662.43065460861,31023.243278422076,84905.54218123516
n13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36326.60688948892,33083.33755574813,79928.75820978364
n14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38990.78312436923,36069.52393394778,74684.09741843896
n15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41654.95935924954,37071.344865113184,69229.61272435304
n16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42826.29424237842,37071.344865113184,64172.66716458881
n17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43727.17223021651,37071.344865113184,60371.71708807628
n18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43727.17223021651,33218.628435179424,59755.7806669231
n19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41746.57077669382,28855.78518114661,59755.7806669231
n20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39247.500015750134,28855.78518114661,59755.7806669231
n21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36099.843783613665,24596.874956829084,59755.7806669231
n22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32952.1875514772,23949.140880299365,59755.7806669231
n23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29804.531319340727,23338.872194451695,59755.7806669231
n24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29038.58367948655,23338.872194451695,59755.7806669231
n25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29038.58367948655,22849.731890153747,59755.7806669231
n26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29864.45178186309,22849.731890153747,59755.7806669231
n27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31613.429566147584,24684.396555506966,59755.7806669231
n28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33469.30457384397,25823.685229435137,59755.7806669231
n29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35319.60233510147,27442.618862889347,59755.7806669231
n30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36946.81023880372,29600.593635095385,64907.15993544776
n31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37894.523618035644,30726.77967118262,64907.15993544776
n32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35842.376264286206,30726.77967118262,64907.15993544776
n33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32694.720032149737,26015.088171988922,70058.53920397241
n34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29547.063800013268,25257.916462960147,70058.53920397241
n35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31913.783417199837,27872.44455889462,75209.91847249707
n36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34335.877680025595,27872.44455889462,75209.91847249707
n37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36954.92368410474,27872.44455889462,75209.91847249707
n38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39479.00810495503,28523.647324081496,75209.91847249707
n39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41256.31977497134,31390.46356126528,75209.91847249707
n40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42890.72660024727,32737.06453792293,75209.91847249707
n41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43330.65062132752,33821.890044503896,75209.91847249707
n42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40182.99438919105,31746.22064832722,75209.91847249707
n43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37662.06424003008,30605.300676988074,80361.29774102173
n44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35015.48977315762,30605.300676988074,80361.29774102173
n45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33019.51311284848,31163.01555556245,80361.29774102173
n46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31620.97305909874,32294.482731451775,85512.67700954639
n47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31101.0162502893,33203.5179984486,85512.67700954639
n48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31593.25450367927,33927.01327838512,85512.67700954639
n49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32930.445592559714,35901.88125007474,85512.67700954639
n50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34804.91142171903,38251.463423949375,85512.67700954639
n51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37019.589283650086,40738.90866485002,85512.67700954639
n52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39400.65499767443,43308.62160281528,85512.67700954639
n53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41824.479601063525,44425.83230974798,90664.05627807105
n54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42192.54551871884,44425.83230974798,90664.05627807105
n55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40312.806485032794,44425.83230974798,90664.05627807105
n56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37165.150252896325,44066.034758820584,95815.4355465957
n57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34017.494020759856,43413.240723677634,95815.4355465957
n58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34735.01912580329,44531.10031045524,95815.4355465957
n59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37399.195360683596,47461.93582885164,95815.4355465957
n60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40063.371595563905,53439.51836362456,95815.4355465957
