Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.059500970498798e7,4732.443096374386,0.25557116463728724
CT_natural_gas_combined_cycle,2,3.5019389860861017e6,1138.6255246114902,0.3510941181258492
ME_natural_gas_combined_cycle,3,914836.9665720195,343.1260414816667,0.30435883916489354
MA_solar_pv,1,1.8358780848521866e7,12041.890320924793,0.17403839285714345
CT_onshore_wind,2,2.938595295306051e7,11198.326061905283,0.2995591323958762
CT_solar_pv,2,2.053861995295156e7,13171.595171702402,0.1780035970029785
ME_onshore_wind,3,3.745390318591967e7,13577.494404283363,0.31490049615275334
MA_battery,1,6.508116440123108e6,2895.8437335655512,0.0
CT_battery,2,6.254517007745375e6,6497.372320405344,0.0
ME_battery,3,6.987635081982752e6,5599.325291874628,0.0
