BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.8953790553510025e7,6.508116440123108e6,-7.579197431515247e6,0.0,0.0,589383.2077184959,0.0,5.4456061245396234e7,-433840.015232491,-8.249431400000015e7,5.3426511892098166e7,6.254517007745375e6,-7.286327247615639e6,0.0,0.0,151712.32003557702,0.0,-2.8804303302703783e7,-178034.6695596163,-2.3564075999999933e7,3.836874015249161e7,6.987635081982752e6,-8.248826298352615e6,0.0,0.0,46233.352243478774,0.0,-2.5651757942692507e7,-255805.34567287267,-1.1246219000000006e7
t1,0.0,154.51406573194183,-0.0,0.0,0.0,0.0,0.0,8765.976272103517,-68.63235757518676,-8851.857980260273,7323.711739515172,0.0,-0.0,0.0,0.0,0.0,0.0,-4765.976272103517,-29.324663575186765,-2528.4108038364684,5246.691072485813,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1207.3833784858127
t2,0.0,0.0,-69.44203719016517,0.0,0.0,0.0,0.0,8699.547242628683,-68.22362517079401,-8561.881580267725,7174.008395735631,0.0,-0.0,0.0,0.0,0.0,0.0,-4699.547242628684,-28.91593117079402,-2445.5452219361523,8999.886170538592,0.0,-3792.5992417857888,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1167.979234752803
t3,0.0,0.0,-620.2904959331219,0.0,0.0,0.0,0.0,9113.511629534149,-70.77071430532581,-8422.4504192957,7550.0976367023,0.0,-0.0,0.0,0.0,0.0,0.0,-5113.511629534148,-31.463020305325802,-2405.1229868628275,9343.978194432342,0.0,-4156.898518875955,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8427.366725293481,-66.54892063034268,-8360.817804663138,6619.9390186354385,223.62302612188404,-0.0,0.0,0.0,0.0,0.0,-4427.366725293481,-27.241226630342677,-2388.9540928334977,7197.966176204547,0.0,-2018.9694019267258,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1139.6890802778216
t5,0.0,1317.2516642763678,-0.0,0.0,0.0,0.0,0.0,7157.874368250327,-58.73783762108326,-8416.388194905612,5581.416942857406,0.0,-0.0,0.0,0.0,0.0,0.0,-3157.874368250328,-19.430143621083257,-2404.1124309859947,7575.1861459352185,0.0,-2388.10647037883,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1147.7719815563876
t6,0.0,1161.3765620761194,-0.0,0.0,0.0,0.0,0.0,7545.488585228753,-61.12279630759282,-8645.742350997278,6037.102250516493,0.0,-0.0,0.0,0.0,0.0,0.0,-3545.488585228753,-21.81510230759282,-2469.7985629801474,5217.390555351009,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1178.0828613510105
t7,0.0,1032.1609047935144,-0.0,0.0,0.0,0.0,0.0,8084.187849315193,-64.43736897552667,-9051.911385133179,6695.330013106676,0.0,-0.0,0.0,0.0,0.0,0.0,-4084.1878493151935,-25.12967497552667,-2586.012488815956,5273.9708643009735,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1234.6631703009734
t8,0.0,2413.039623168503,-0.0,0.0,0.0,0.0,0.0,7142.075512453439,-58.64062854897174,-9496.474507072971,5873.740420422508,0.0,-0.0,0.0,0.0,0.0,0.0,-3142.075512453439,-19.332934548971746,-2712.3319734200963,5334.592623890218,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1295.2849298902192
